base_rdkit_smiles,compound_name,pIC50,relation,active
CC(C)COCC(CN(Cc1ccccc1)c1ccccc1)N1CCCC1,CHEMBL1008,4.783570169123749,>,1
CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)C3CC12,CHEMBL198,3.0,<,0
C[C@]12C[C@H](O)[C@@]3(F)C(CCC4=CC(=O)C=C[C@@]43C)C1C[C@@H](O)[C@]2(O)C(=O)CO,CHEMBL3039453,3.627824713884936,,1
Nc1nc2cc(Cl)ccc2o1,CHEMBL472566,3.0,<,0
CCCCNc1ccc(C(=O)OCCN(C)C)cc1,CHEMBL698,3.2899673009342463,,1
COc1cc([C@@H]2c3cc4c(cc3[C@@H](O[C@@H]3O[C@@H]5CO[C@@H](C)O[C@H]5[C@H](O)[C@H]3O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1O,CHEMBL44657,3.8761483590329133,<,0
CC(=O)[C@H]1[C@H](C#N)C[C@H]2[C@@H]3CC=C4CC(O)CC[C@]4(C)[C@H]3CC[C@@]21C,CHEMBL4063685,3.8761483590329133,<,0
Nc1nc(NCCN2CCOCC2)nc2nc(-c3ccco3)nn12,CHEMBL4081477,3.0,<,0
CC(=O)NC[C@H]1CN(c2cc(F)c(C3=CCN(C(=O)CO)CC3)c(F)c2)C(=O)O1,CHEMBL4085547,3.0,<,0
NS(=O)(=O)c1cc2c(cc1C(F)(F)F)NC(Cc1ccccc1)NS2(=O)=O,CHEMBL1684,4.1577028656719355,,1
CCCc1nc(C(C)(C)O)c(C(=O)OCc2oc(=O)oc2C)n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,CHEMBL1200692,5.325138859262188,,1
NCCCC[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1CCC[C@H]1C(=O)O,CHEMBL1237,3.8761483590329133,<,0
N[C@H](Cc1cc(I)c(Oc2cc(I)c(O)c(I)c2)c(I)c1)C(=O)[O-],CHEMBL1200777,5.0,>,1
CNCC(O)c1ccc(O)cc1,CHEMBL33720,3.0,<,0
CC1(COc2ccc(CC3SC(=O)NC3=O)cc2)CCCCC1,CHEMBL7002,4.422508200162776,,1
COc1cc([C@@H]2c3cc4c(cc3[C@@H](O[C@@H]3O[C@@H]5CO[C@@H](c6cccs6)O[C@H]5[C@H](O)[C@H]3O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1O,CHEMBL452231,3.8761483590329133,<,0
C#C[C@]1(O)C=C[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21CC,CHEMBL1213583,3.8761483590329133,<,0
CCN(CC)CCNC(=O)c1ccc(N)cc1,CHEMBL640,3.8761483590329133,<,0
CCN(CC)CCNC(=O)c1ccc(NS(C)(=O)=O)cc1,CHEMBL95804,3.0,<,0
Nc1cc(-c2ccncc2)c[nH]c1=O,CHEMBL12856,3.4303852022786874,,1
Cc1ccc(Nc2c(F)cccc2Cl)c(CC(=O)O)c1,CHEMBL404108,3.8761483590329133,<,0
O=C(O)CCNC(=O)c1ccccc1,CHEMBL1231530,3.8761483590329133,<,0
C[C@](O)(C(=O)Nc1ccc(C(=O)c2ccccc2)cc1)C(F)(F)F,CHEMBL18861,4.669789215428471,,1
Cc1ccc(NC(=O)c2cccc3c2oc2ccccc23)cc1NC(=O)c1cccc(CN2CCN(C)CC2)c1,CHEMBL4084846,5.0,>,1
N=C(N)NCCC[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H]1CSSC[C@H](N)C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CC(N)=O)C(=O)N1)C(=O)NCC(N)=O,CHEMBL373742,3.8761483590329133,<,0
CCN1CCN(C(=O)N[C@@H](C(=O)N[C@@H]2C(=O)N3[C@@H](C(=O)[O-])C(C)(C)S[C@H]23)c2ccccc2)C(=O)C1=O,CHEMBL1200820,3.8761483590329133,<,0
CN1CCN(CC(=O)N2c3ccccc3C(=O)Nc3cccnc32)CC1,CHEMBL9967,3.0,<,0
Cc1ccc(S(=O)(=O)NC(=O)NN2CC3CCCC3C2)cc1,CHEMBL427216,3.071407478318245,,1
O=C(O)Cc1ccccc1Oc1ccc(Cl)cc1Cl,CHEMBL15677,3.6276404174756767,,1
CC(O)(P(=O)([O-])O)P(=O)([O-])O,CHEMBL1201042,3.8761483590329133,<,0
CC[C@H](C)[C@@H]1NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@@H](N)CSSC[C@@H](C(=O)N2CCC[C@H]2C(=O)N[C@@H](CC(C)C)C(=O)NCC(N)=O)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CCC(N)=O)NC1=O,CHEMBL3185709,3.8761483590329133,<,0
Cc1ccc2c(c1)c(-c1ccnc3c(C)cccc13)c(C)n2CC(=O)O,CHEMBL209689,5.0,>,1
CC1(C)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O,CHEMBL403,3.8761483590329133,<,0
Nc1nc(O)c2ncn(COCCO)c2n1,CHEMBL184,3.0,<,0
O=C(NO)C(CCc1ccccc1)CS(=O)(=O)N1CCN(c2ccc(F)cc2)CC1,CHEMBL4100888,5.0,>,1
COc1cc(C(=O)N2CCOCC2)cc(OC)c1OC,CHEMBL1697853,3.0,<,0
CC1(C)O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,CHEMBL1504,3.8761483590329133,<,0
Cc1ccnc(NS(=O)(=O)c2ccc(N)cc2)n1,CHEMBL438,3.0,<,0
OCc1ccccc1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,CHEMBL462997,3.0,<,0
CCN1CCCC1CNC(=O)c1cc(S(=O)(=O)CC)c(N)cc1OC,CHEMBL243712,3.8761483590329133,<,0
COc1ccc2cc(C(C)CO)ccc2c1,CHEMBL4078616,4.010639186223752,,1
Cc1cccc(C)c1CNc1cc(C(=O)NCCO)cn2c(C)c(C)nc12,CHEMBL497011,5.0,>,1
O=C(c1ccc(F)cc1)C1CCN(CCn2c(=O)[nH]c3ccccc3c2=O)CC1,CHEMBL51,3.8761483590329133,<,0
CC[C@H](C)C(=O)O[C@H]1C[C@H](O)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)[O-])[C@H]21,CHEMBL690,3.8761483590329133,<,0
CCCCCC(C)(O)/C=C/[C@H]1[C@H](O)C[C@H](O)[C@@H]1C/C=C\CCCC(=O)O,CHEMBL4059601,3.483200295918375,,1
Oc1ccc(C(O)CNCCCCCCNCC(O)c2ccc(O)c(O)c2)cc1O,CHEMBL1589896,3.0,<,0
Cc1ccc(CCCN[C@H](C)CO)cc1C(=O)NCC12CC3CC(CC(C3)C1)C2,CHEMBL4088943,4.183361055101538,,1
NNc1nnc(NN)c2ccccc12,CHEMBL35505,3.0,<,0
CN1[C@H]2CC[C@@H]1C[C@H](OC(c1ccccc1)c1ccccc1)C2,CHEMBL1201203,3.72445831159869,,1
C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(Cl)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,CHEMBL1586,4.806482258682873,,1
Cc1cn([C@@H]2C[C@@H](O)[C@H](CO)O2)c(=O)[nH]c1=O,CHEMBL374731,3.8761483590329133,<,0
CCCc1c2nc(C(=O)O)cc(NC)c2cc2c(=O)cc(C(=O)O)oc12,CHEMBL1207579,3.0,<,0
CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,CHEMBL1464,3.9381706927053006,,1
CC(SC(=O)c1cccs1)C(=O)NCC(=O)O,CHEMBL2107531,3.8761483590329133,<,0
CC1CCCC(C)N1NC(=O)c1ccc(Cl)c(S(N)(=O)=O)c1,CHEMBL1361347,3.8761483590329133,<,0
CC1CC(OC(=O)C(O)c2ccccc2)CC(C)(C)C1,CHEMBL1480987,4.823041019413092,,1
CN(C/C=C/C#CC(C)(C)C)Cc1cccc2ccccc12,CHEMBL1200832,3.8761483590329133,<,0
CCCCOCCOCCOCc1cc2c(cc1CCC)OCO2,CHEMBL1201131,5.0,>,1
C[C@]12CC(=O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO,CHEMBL1499,3.96617430604669,,1
CC(C)C(=O)OCC(=O)[C@@]12O[C@H](C3CCCCC3)O[C@@H]1C[C@H]1[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]12C,CHEMBL2040682,3.8761483590329133,<,0
CC(C)(C)NC(=O)[C@@H]1CN(Cc2cccnc2)CCN1C[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O,CHEMBL115,4.673664139071248,,1
CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1,CHEMBL633,4.671034634926369,,1
CCC1(C)CC(=O)NC1=O,CHEMBL696,3.0,<,0
C[C@]12CC[C@H]3[C@@H](CC[C@H]4NC(=O)C=C[C@]34C)[C@@H]1CC[C@@H]2C(=O)Nc1cc(C(F)(F)F)ccc1C(F)(F)F,CHEMBL1200969,4.525783735923745,,1
CC(C)(S)[C@@H](N)C(=O)O,CHEMBL1430,3.0,<,0
COCC1=C(C(=O)OC(C)OC(=O)OC(C)C)N2C(=O)[C@@H](NC(=O)/C(=N\OC)c3csc(N)n3)[C@H]2SC1,CHEMBL1201016,4.087777943467585,,1
COc1ncnc(NS(=O)(=O)c2ccc(N)cc2)c1OC,CHEMBL1539,3.0,<,0
C[C@H]1C[C@H]2[C@@H]3CC[C@](O)(C(=O)CO)[C@@]3(C)C[C@H](O)[C@@H]2[C@@]2(C)C=CC(=O)C=C12,CHEMBL650,4.033177457455519,,1
O=C(O)c1cc2cc(O)ccc2n1Cc1ccc(Cl)c(Cl)c1,CHEMBL376981,4.302421966348886,,1
COc1cccc([C@]2(O)CCCC[C@H]2CN(C)C)c1,CHEMBL4059722,3.8761483590329133,<,0
CN1C(=O)CC(=O)N(c2ccccc2)c2cc(Cl)ccc21,CHEMBL70418,3.8761483590329133,<,0
O=C(NCCNCC(O)COc1ccc(O)cc1)N1CCOCC1,CHEMBL75753,3.8761483590329133,<,0
CCN(CC)C(=S)SSC(=S)N(CC)CC,CHEMBL964,4.438074197530259,,1
