base_rdkit_smiles,compound_id,pIC50,relation,active
CC(C)N1CCC(NC(=O)c2ccc(OC3CCN(C4CCC4)CC3)cc2)C1,CHEMBL3754205,4.5228787452803365,<,0
Cc1cccc(NC(=O)c2cc(Oc3cncc(F)c3)cc(C)n2)n1,CHEMBL4076771,4.5228787452803365,<,0
C[C@]1(CS(=O)(=O)N2CCC(Oc3ccc(OCc4ccccn4)cc3)CC2)NC(=O)NC1=O,CHEMBL2409691,5.0,<,0
COc1ccc(-c2ccc(Oc3cccc4c3CCCC4)c(NC(=O)Nc3ccccc3Cl)c2)cc1C(=O)O,CHEMBL4060089,5.522878745280337,<,0
CN(C)[C@H]1C[C@@H](c2nc(-c3ccc4ccc(-c5ccccc5)nc4c3)c3c(N)nccn32)C1,CHEMBL430051,4.721246399047171,,1
CN(Cc1cccn1C)C(=O)C12CC3CC(CC(C3)C1)C2,CHEMBL2159084,4.7329869469719315,,1
CC(C)c1nc(CN(C)C(=O)N[C@H](C(=O)N(CCCN(Cc2ccccc2)C(=O)OCc2cncs2)Cc2ccccc2)C(C)C)cs1,CHEMBL3114729,6.522878745280337,,1
COc1cc(Nc2ncc(F)c(Nc3ccc4c(n3)N(COP(=O)(O)O)C(=O)C(C)(C)O4)n2)cc(OC)c1OC,CHEMBL2103830,4.301029995663981,<,0
CN[C@@H](C)C(=O)Nc1ccc(-c2c(-c3cccnc3OC)nc3cc(C)ccn23)c(C#Cc2ccc3c(C)nccc3c2)n1,CHEMBL3895473,4.301029995663981,<,0
COc1cc([C@@H](O)CN2CCN(C[C@H](O)c3ccc4c(c3C)COC4=O)CC2)ncc1C#N,CHEMBL3612810,4.301029995663981,<,0
N#Cc1ccc(-c2ccc(NC(=O)Nc3ccc(-c4ccnc5[nH]cnc45)cc3)cc2)cc1,CHEMBL1951444,7.958607314841775,,1
O=C(N[C@@H](CC[C@@H](Cc1ccccc1)NC(=O)[C@H](CO)NC(=O)N(Cc1cncs1)C1CC1)Cc1ccccc1)OCc1cncs1,CHEMBL3115190,7.096910013008058,,1
Cc1cccc(C(C)(O)c2nc(-n3ccc(NC(=O)c4cscn4)cc3=O)c[nH]2)c1,CHEMBL3810414,4.5228787452803365,<,0
CCCCN1C(=O)[C@@H]([C@@H](O)C2CCCCC2)NC(=O)C12CCN(Cc1ccc(Oc3ccc(C(=O)O)cc3)cc1)CC2,CHEMBL1668020,4.5228787452803365,<,0
Cc1cc(Cl)cc2c(C(O)c3ncco3)c3c(C)n[nH]c3nc12,CHEMBL1950089,5.565384140134512,,1
Cc1cc(C)n(CC(NC(=O)NC2CCN(Cc3ccn(-c4ccc(C(F)(F)F)cc4)c3)CC2)c2ccccc2)n1,CHEMBL539475,6.102372908709557,,1
N#CC1(NC(=O)[C@H](Cc2ccc(Cl)c(Cl)c2)NC(=O)c2cnn(-c3ccc(F)cc3)n2)CC1,CHEMBL4073014,4.301029995663981,<,0
CCCCN1C(=O)[C@H]([C@@H](O)C2CCCCC2)NC(=O)C12CCN(Cc1ccc(Oc3ccc(C(=O)O)cc3)cc1)CC2,CHEMBL1668022,4.5228787452803365,<,0
N=C(N)c1ccc(OCCCCCOc2ccc(C(=N)N)cc2)cc1,CHEMBL55,4.0,<,0
Fc1cc(OC(F)(F)C(F)F)cc([C@@](Cc2ccccc2)(Nc2nc3cc(F)ccc3[nH]2)c2ccc(Cl)cn2)c1,CHEMBL3116155,4.4463950151760665,,1
N[C@H]1CC(C(=O)N2CCn3c(nnc3C(F)(F)F)C2)=CC[C@@H]1c1cc(F)c(F)c(F)c1,CHEMBL437341,4.5228787452803365,<,0
NC(=O)c1sc(N2CCOCC2)nc1CC(=O)N1CCc2c(Cl)cccc21,CHEMBL3125389,4.3979400086720375,<,0
CN(C/C=C\CN)C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@@H](F)[C@@H]1O,CHEMBL443705,5.301029995663981,<,0
COc1ccc2[nH]cc(C(=O)OCC34CCN(CC3)CC4)c2c1Cl,CHEMBL3917789,5.0,<,0
Cc1cc(C)cc(-c2[nH]c3ccc(C(C)(C)C(=O)N4C5CCC4CC5)cc3c2[C@H](C)CNCCc2ccc3ncoc3c2)c1,CHEMBL263004,6.0,,1
CC(C)CN(CC[C@H](Cc1ccccc1)NC(=O)[C@H](CCN1CCOCC1)NC(=O)N(C)Cc1csc(C(C)C)n1)C(=O)OCc1cncs1,CHEMBL3114734,6.455931955649724,,1
COc1cc(OC)c(Cl)c(NC(=O)N(C)c2cc(Nc3ccc(OCCN4CCCC4)cc3)ncn2)c1Cl,CHEMBL1834659,5.172126821504752,,1
Oc1cccc(-c2ccc3c(-c4cccnc4)c(O)ccc3c2)c1,CHEMBL1650645,6.657577319177793,,1
N#CC1(c2cc(C[C@@H](O)CO)cc(-c3ccnc4[nH]nc(C(F)(F)F)c34)c2)CC1,CHEMBL3310295,4.698970004336019,<,0
CCNCCS(=O)(=O)CC[C@@H]1OCC[C@@]2(S(=O)(=O)c3ccc(Cl)cc3)c3c(F)ccc(F)c3OC[C@@H]12,CHEMBL3974964,5.181979163446802,,1
CCN(Cc1cccnc1)c1ccc(-c2ccc(F)cc2)cc1F,CHEMBL2448733,6.0,,1
O=C(OCC12CCN(CC1)CC2)c1c[nH]c2cc(F)ccc12,CHEMBL3951269,5.0,<,0
CC(=O)N1CCN(c2cccc(-c3cc(-c4ccnn4CC(F)(F)F)c4c(N)ncnn34)c2)C(=O)C1(C)C,CHEMBL4059848,4.698970004336019,<,0
CN1CCN(C(=O)[C@@H](COCC2(C)CC2)NC(=O)c2cccnc2Oc2ccc(C(F)(F)F)cc2Cl)CC1,CHEMBL1911824,4.698970004336019,<,0
