rdkit_smiles,compound_id,NofA,pKi_mean,pKi_std
C(#Cc1c2c(nc3ccccc13)CCCCC2)CCN1CCCCC1,CHEMBL66660,1,4.803188457337323,0.4719824216245228
C(#Cc1cccc(CN2CCOCC2)c1)CCN1CCCCC1,CHEMBL237087,1,5.0,0.18191956447112131
C(=C/c1ccccc1)\CN1CCN(C(c2ccccc2)c2ccccc2)CC1,CHEMBL43064,1,8.06439198148213,0.1639776038099834
C/C=C/C(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1,CHEMBL3357041,1,6.815308569182402,0.09566846312511786
C1=C(CCN2CCc3ccccc3C2)CCc2ccccc21,CHEMBL3970994,2,5.841271581492238,0.0012716503735377138
C1=C(N2CCNCC2)c2nccn2Cc2ccccc21,CHEMBL1222552,1,9.199970640755863,0.11408532748509612
C1C2C3CC4C2C2C1C3[C@H](NCC13C5C6C7C5C1C7C63)C42,CHEMBL2432039,1,5.324588306285137,0.18191956447112131
C1CCN(c2nc(N3CCCC3)nc(N3CCNCC3)n2)C1,CHEMBL1403257,1,5.720000163638921,0.18191956447112131
C=C(C)C(=O)c1ccc(OCCCN2CCN(C(=O)OCC)CC2)cc1,CHEMBL264761,1,6.009998764965339,0.09566846312511786
C=C(C)CN1CCN(c2ccc3c(c2)CN(C(=O)OCc2ccccc2)C3)CC1,CHEMBL4177497,1,6.525783735923746,0.09566846312511786
C=C(C)CN1CCN(c2ccc3c(c2)CN(C(=O)OCc2ccccc2)CC3)CC1,CHEMBL4173095,1,6.060980223551334,0.09566846312511786
C=C(CN1CCN(C2=Cc3ccccc3Cn3ccnc32)CC1)C(=O)O,CHEMBL1222625,1,7.500038134403809,0.40816916496270744
C=CCN(CC=C)CCc1c[nH]c2ccc(Br)cc12,CHEMBL3754166,2,6.0,1.0
C=CCN(CC=C)CCc1c[nH]c2ccc(C)cc12,CHEMBL3753318,2,5.58500095565131,0.5850009556513105
C=CCN(CC=C)CCc1c[nH]c2ccc(Cl)cc12,CHEMBL3752900,2,6.0,1.0
C=CCN(CC=C)CCc1c[nH]c2ccc(F)cc12,CHEMBL3754496,2,6.050007718725304,1.050007718725304
C=CCN(CC=C)CCc1c[nH]c2ccc(OC)cc12,CHEMBL2391541,4,5.807180042829572,0.4878795475360858
C=CCN(CC=C)CCc1c[nH]c2ccccc12,CHEMBL3752576,2,5.950004383227658,0.9500043832276583
C=CCn1c(=N)n(CC(=O)c2ccccc2)c2ccccc21,CHEMBL1617548,1,4.970000123715015,0.4719824216245228
C=Cc1ccc(N2CCN(Cc3c[nH]c4ncccc34)CC2)cc1,CHEMBL29808,1,5.0,0.18191956447112131
CC(=O)N1CCOc2cc3c(cc21)CCN(CCCSc1nnc(-c2cccc4nc(C)ccc24)n1C)CC3,CHEMBL272702,1,6.0,0.09566846312511786
CC(=O)N1CCc2cc(C(=O)NCCCN3CCN(C)CC3)ccc21,CHEMBL4162575,1,5.0,0.18191956447112131
CC(=O)NCc1ccc2c(c1)[C@@H](N1CCN(C)CC1)Cc1ccccc1S2,CHEMBL1259174,1,8.602059991327963,0.1639776038099834
CC(=O)NCc1ccc2c(c1)[C@H](N1CCN(C)CC1)Cc1ccccc1S2,CHEMBL1259173,1,8.443697499232712,0.1639776038099834
CC(=O)NCc1ccc2c(c1)c(C1CCN(CCN3CCNC3=O)CC1)cn2-c1ccc(F)cc1,CHEMBL1259187,1,7.1938200260161125,0.40816916496270744
CC(=O)c1ccc(OCCCN2CC[C@H](N)C2)cc1,CHEMBL319231,2,4.022878745280337,0.022878745280337398
CC(=O)c1ccc(OCCCN2CC[C@H](NC(=O)[C@@H](C)NC(=O)OC(C)(C)C)C2)cc1,CHEMBL103828,1,4.251811972993798,0.4719824216245228
CC(=O)c1ccc(OCCCN2CC[C@H](NC(=O)[C@@H](CO)NC(=O)OC(C)(C)C)C2)cc1,CHEMBL102390,1,4.096910013008056,0.4719824216245228
CC(=O)c1ccc(OCCCN2CC[C@H](NC(=O)[C@@H](N)CO)C2)cc1,CHEMBL104994,1,4.366531544420414,0.4719824216245228
CC(=O)c1ccc(OCCCN2CC[C@H](NC(=O)[C@H](C)NC(=O)OC(C)(C)C)C2)cc1,CHEMBL320174,1,4.221848749616356,0.4719824216245228
