,Ambit_InchiKey,Original_Entry_ID,Entrez_ID,Activity_Flag,pXC50,DB,Original_Assay_ID,Tax_ID,Gene_Symbol,Ortholog_Group,SMILES
0,BAAHTFHSCKWFDS-UHFFFAOYNA-N,CHEMBL3238444,3269,N,4.53,chembl20,1338137,9606,HRH1,2055,N1(CCCCC1)CCCOC=2C=CC(=CC2)N3C(=NN=C3C)C
1,BACLISNXCXJOMR-ZYMSVLFVNA-N,CHEMBL559664,3269,A,7.4,chembl20,745951,9606,HRH1,2055,N1(C)C(=O)N(C(=CC1=O)N2CCN(CC2)CCCN3C4=C(SC5=C3C=CC=C5)C=CC(=C4)CC(=O)O)C
2,BDMUROBIUYESLK-UHFFFAOYNA-N,CHEMBL157273,3269,A,6.4,chembl20,84547,9606,HRH1,2055,N=1C=CC(=CC1)CCCCCCCCCCCCN
3,BDOFZYNAHBHVET-YLHGWYNBNA-N,CHEMBL1774498,3269,A,7.27,chembl20,745951,9606,HRH1,2055,C1CC=2C(N(CCCN3CCN(CCC3)C4=CC(N(C(N4C)=O)C)=O)C5=CC(=CC=C15)CC(=O)O)=CC=CC2
4,BDRCTGAXOWRNQU-UHFFFAOYNA-N,CHEMBL271073,3269,A,5.6,chembl20,465005,9606,HRH1,2055,O1C=NC(C)=C1C=2N(C(SCCCCN3CCC=4C(=CC5=C(OC(=N5)C)C4)CC3)=NN2)C
5,BDSUMBDGCUOHGR-UHFFFAOYNA-N,120445,3269,A,7.1549,pubchem,454690,9606,HRH1,2055,N(CCCC(C1=CC=CC=C1)C2=CC=CC=C2)(C)C
6,BDSYECBSUUOPCT-UHFFFAOYNA-N,CHEMBL222301,24448,A,5.85,chembl20,428742,10116,HRH1,2055,C1(CCN(CC1)CC2CC2(C3=CC=C(C=C3)C)C(=O)OC)(C4=CC=CC=C4)O
7,BEAHZBHBRZMAIL-WNZYNEPFNA-N,49836526,3269,A,7.500039999999999,pubchem,537324,9606,HRH1,2055,O=C(O)CC1CN(C2C[C@]3(CC2)CC=4C(CC=5C3=CC=CC5)=CC=CC4)CC1
8,AYPGYVOWMUSFPT-INJWHBOMNA-N,CHEMBL2158790,3269,A,7.5,chembl20,856370,9606,HRH1,2055,C([C@@](C)(N1CCC(CN2CCC(OC=3C=CC(=C(C3C)Cl)Cl)CC2)CC1)CC4=CC=C(C=C4)F)(O)=O
9,AYWYOYAKLYFQAR-LJQZMZBDNA-N,CHEMBL1278113,3269,A,7.0,chembl20,685205,9606,HRH1,2055,[C@@]12(C3=C(C=CC=C3)CC4=C(C1)C=CC=C4)CCC(C2)N5CC(NCC5)C(=O)O
