Compound ID,Uniprot ID,Compound Name,Standard inchi key,Max Phase,Target Pref Name,Gene Names,Target Class,Wild type or mutant,Mutation information,PubMed ID,End Point Standard Type,End Point Standard Relation,End Point Standard Value,End Point Standard Units,Endpoint Mode of Action,Assay Format,Assay Type,Assay Sub Type,Inhibitor Type,Detection Technology,Compound concentration value,Compound concentration value units,Substrate type,Substrate Type Standard Relation,Substrate Type Standard Value,Substrate Type Standard Units,Assay cell line,Assay Description,Activity Comments,Title,Journal,Year,Volume,Issue,Authors,Annotation Comments,Assay ID,DTC Tid,DTC Activity ID,DTC Molregno,Record ID,DTC Document ID
CHEMBL100086,P46098,,OSVMSQACZRYAPT-UHFFFAOYSA-N,0,SEROTONIN 3A (5-HT3A) RECEPTOR,HTR3A,Ion channel,,,12482441,IC50,>,100000,NM,,,,,,,,,,,,,,Inhibitory concentration required against 5-HT3 receptor in bovine area postrema using [3H]GR-65630,,Development of a presynaptic 5-HT1A antagonist.,Bioorg. Med. Chem. Lett.,2003,13,2,"Mattson RJ, Catt JD, Sloan CP, Gao Q, Carter RB, Gentile A, Mahle CD, Matos FF, McGovern R, VanderMaelen CP, Yocca FD",,3062,DTCT0023221,1489397,DTCC00263953,917398,5847
CHEMBL104700,P46098,,SCDKHPSUXHBJDJ-UHFFFAOYSA-N,0,SEROTONIN 3A (5-HT3A) RECEPTOR,HTR3A,Ion channel,,,22607684,KI,,,,,,,,,,,,,,,,,Inhibition of 5-HT3 receptor,Not Determined,7-Azabicyclo[2.2.1]heptane as a scaffold for the development of selective sigma-2 (s(2)) receptor ligands.,Bioorg. Med. Chem. Lett.,2012,22,12,"Banister SD, Rendina LM, Kassiou M",,820298,DTCT0023221,10478126,DTCC00272114,931177,48255
CHEMBL1079079,P46098,,WGIPGQAPFNVWIX-XXFZXMJFSA-N,0,SEROTONIN 3A (5-HT3A) RECEPTOR,HTR3A,Ion channel,,,19767206,INHIBITION,<,50,%,,,,,,,,,,,,,,Displacement of [3H]LY278584 from 5HT3 (receptor) at 10 uM by scintillation counting,,Synthesis and in vitro autoradiographic evaluation of a novel high-affinity radioiodinated ligand for imaging brain cannabinoid subtype-1 receptors.,Bioorg. Med. Chem. Lett.,2009,19,21,"Donohue SR, Varnäs K, Jia Z, Gulyás B, Pike VW, Halldin C",,619795,DTCT0023221,3267809,DTCC00632772,857661,37697
CHEMBL108,P46098,CARBAMAZEPINE,FFGPTBGBLSHEPO-UHFFFAOYSA-N,4,SEROTONIN 3A (5-HT3A) RECEPTOR,HTR3A,Ion channel,,,19144451,INHIBITION,<=,50,%,,cell_based,,,,,,,,,,,HEK293,Antagonist activity at human 5HT3A receptor expressed in HEK293 cells assessed as inhibition of serotonin-induced inward Na+ current at >= 10 uM,,Molecular properties of psychopharmacological drugs determining non-competitive inhibition of 5-HT3A receptors.,Eur. J. Med. Chem.,2009,44,6,"Kornhuber J, Terfloth L, Bleich S, Wiltfang J, Rupprecht R",,572131,DTCT0023221,2849452,DTCC00144764,229550,34292
CHEMBL1082723,P46098,NITD609,CKLPLPZSUQEDRT-WPCRTTGESA-N,0,SEROTONIN 3A (5-HT3A) RECEPTOR,HTR3A,Ion channel,,,20813948,IC50,>,10000,NM,,,,,,,,,,,,,,Binding affinity to human recombinant serotonin 5HT3 receptor,,"Spiroindolones, a potent compound class for the treatment of malaria.",Science,2010,329,5996,"Rottmann M, McNamara C, Yeung BK, Lee MC, Zou B, Russell B, Seitz P, Plouffe DM, Dharia NV, Tan J, Cohen SB, Spencer KR, González-Páez GE, Lakshminarayana SB, Goh A, Suwanarusk R, Jegla T, Schmitt EK, Beck HP, Brun R, Nosten F, Renia L, Dartois V, Keller TH, Fidock DA, Winzeler EA, Diagana TT",,658586,DTCT0023221,3467863,DTCC00031143,1686650,40818
CHEMBL1083485,P46098,,YOCUJVXRRWEPDN-UHFFFAOYSA-N,0,SEROTONIN 3A (5-HT3A) RECEPTOR,HTR3A,Ion channel,,,20465311,IC50,>,30000,NM,,cell_based,,,,,,,,,,,HEK293,Agonist activity at human 5HT3A receptor expressed in HEK293 cells by FLIPR assay,,"Novel alpha-7 nicotinic acetylcholine receptor agonists containing a urea moiety: identification and characterization of the potent, selective, and orally efficacious agonist 1-[6-(4-fluorophenyl)pyridin-3-yl]-3-(4-piperidin-1-ylbutyl) urea (SEN34625/WYE-103914).",J. Med. Chem.,2010,53,11,"Ghiron C, Haydar SN, Aschmies S, Bothmann H, Castaldo C, Cocconcelli G, Comery TA, Di L, Dunlop J, Lock T, Kramer A, Kowal D, Jow F, Grauer S, Harrison B, La Rosa S, Maccari L, Marquis KL, Micco I, Nencini A, Quinn J, Robichaud AJ, Roncarati R, Scali C, Terstappen GC, Turlizzi E, Valacchi M, Varrone M, Zanaletti R, Zanelli U",,634700,DTCT0023221,3345977,DTCC00645978,1654372,39082
CHEMBL1083787,P46098,,LMGUUVWYFJIKCD-UHFFFAOYSA-N,0,SEROTONIN 3A (5-HT3A) RECEPTOR,HTR3A,Ion channel,,,20465311,IC50,>,30000,NM,,cell_based,,,,,,,,,,,HEK293,Agonist activity at human 5HT3A receptor expressed in HEK293 cells by FLIPR assay,,"Novel alpha-7 nicotinic acetylcholine receptor agonists containing a urea moiety: identification and characterization of the potent, selective, and orally efficacious agonist 1-[6-(4-fluorophenyl)pyridin-3-yl]-3-(4-piperidin-1-ylbutyl) urea (SEN34625/WYE-103914).",J. Med. Chem.,2010,53,11,"Ghiron C, Haydar SN, Aschmies S, Bothmann H, Castaldo C, Cocconcelli G, Comery TA, Di L, Dunlop J, Lock T, Kramer A, Kowal D, Jow F, Grauer S, Harrison B, La Rosa S, Maccari L, Marquis KL, Micco I, Nencini A, Quinn J, Robichaud AJ, Roncarati R, Scali C, Terstappen GC, Turlizzi E, Valacchi M, Varrone M, Zanaletti R, Zanelli U",,634700,DTCT0023221,3345978,DTCC00645979,1395966,39082
CHEMBL1083788,P46098,,DFBQTBNRGSIKHN-UHFFFAOYSA-N,0,SEROTONIN 3A (5-HT3A) RECEPTOR,HTR3A,Ion channel,,,20465311,IC50,>,30000,NM,,cell_based,,,,,,,,,,,HEK293,Agonist activity at human 5HT3A receptor expressed in HEK293 cells by FLIPR assay,,"Novel alpha-7 nicotinic acetylcholine receptor agonists containing a urea moiety: identification and characterization of the potent, selective, and orally efficacious agonist 1-[6-(4-fluorophenyl)pyridin-3-yl]-3-(4-piperidin-1-ylbutyl) urea (SEN34625/WYE-103914).",J. Med. Chem.,2010,53,11,"Ghiron C, Haydar SN, Aschmies S, Bothmann H, Castaldo C, Cocconcelli G, Comery TA, Di L, Dunlop J, Lock T, Kramer A, Kowal D, Jow F, Grauer S, Harrison B, La Rosa S, Maccari L, Marquis KL, Micco I, Nencini A, Quinn J, Robichaud AJ, Roncarati R, Scali C, Terstappen GC, Turlizzi E, Valacchi M, Varrone M, Zanaletti R, Zanelli U",,634700,DTCT0023221,3345979,DTCC00645980,652015,39082
CHEMBL1084363,P46098,,MMXFWZCBTFHARB-UHFFFAOYSA-N,0,SEROTONIN 3A (5-HT3A) RECEPTOR,HTR3A,Ion channel,,,20465311,IC50,>,30000,NM,,cell_based,,,,,,,,,,,HEK293,Agonist activity at human 5HT3A receptor expressed in HEK293 cells by FLIPR assay,,"Novel alpha-7 nicotinic acetylcholine receptor agonists containing a urea moiety: identification and characterization of the potent, selective, and orally efficacious agonist 1-[6-(4-fluorophenyl)pyridin-3-yl]-3-(4-piperidin-1-ylbutyl) urea (SEN34625/WYE-103914).",J. Med. Chem.,2010,53,11,"Ghiron C, Haydar SN, Aschmies S, Bothmann H, Castaldo C, Cocconcelli G, Comery TA, Di L, Dunlop J, Lock T, Kramer A, Kowal D, Jow F, Grauer S, Harrison B, La Rosa S, Maccari L, Marquis KL, Micco I, Nencini A, Quinn J, Robichaud AJ, Roncarati R, Scali C, Terstappen GC, Turlizzi E, Valacchi M, Varrone M, Zanaletti R, Zanelli U",,634700,DTCT0023221,3345974,DTCC00645913,716354,39082
CHEMBL1084364,P46098,,FWCCJDYYJWWQOS-UHFFFAOYSA-N,0,SEROTONIN 3A (5-HT3A) RECEPTOR,HTR3A,Ion channel,,,20465311,IC50,>,30000,NM,,cell_based,,,,,,,,,,,HEK293,Agonist activity at human 5HT3A receptor expressed in HEK293 cells by FLIPR assay,,"Novel alpha-7 nicotinic acetylcholine receptor agonists containing a urea moiety: identification and characterization of the potent, selective, and orally efficacious agonist 1-[6-(4-fluorophenyl)pyridin-3-yl]-3-(4-piperidin-1-ylbutyl) urea (SEN34625/WYE-103914).",J. Med. Chem.,2010,53,11,"Ghiron C, Haydar SN, Aschmies S, Bothmann H, Castaldo C, Cocconcelli G, Comery TA, Di L, Dunlop J, Lock T, Kramer A, Kowal D, Jow F, Grauer S, Harrison B, La Rosa S, Maccari L, Marquis KL, Micco I, Nencini A, Quinn J, Robichaud AJ, Roncarati R, Scali C, Terstappen GC, Turlizzi E, Valacchi M, Varrone M, Zanaletti R, Zanelli U",,634700,DTCT0023221,3345975,DTCC00645914,1525122,39082
CHEMBL1084365,P46098,,HCBWAWNFHVHMOV-UHFFFAOYSA-N,0,SEROTONIN 3A (5-HT3A) RECEPTOR,HTR3A,Ion channel,,,20465311,IC50,>,30000,NM,,cell_based,,,,,,,,,,,HEK293,Agonist activity at human 5HT3A receptor expressed in HEK293 cells by FLIPR assay,,"Novel alpha-7 nicotinic acetylcholine receptor agonists containing a urea moiety: identification and characterization of the potent, selective, and orally efficacious agonist 1-[6-(4-fluorophenyl)pyridin-3-yl]-3-(4-piperidin-1-ylbutyl) urea (SEN34625/WYE-103914).",J. Med. Chem.,2010,53,11,"Ghiron C, Haydar SN, Aschmies S, Bothmann H, Castaldo C, Cocconcelli G, Comery TA, Di L, Dunlop J, Lock T, Kramer A, Kowal D, Jow F, Grauer S, Harrison B, La Rosa S, Maccari L, Marquis KL, Micco I, Nencini A, Quinn J, Robichaud AJ, Roncarati R, Scali C, Terstappen GC, Turlizzi E, Valacchi M, Varrone M, Zanaletti R, Zanelli U",,634700,DTCT0023221,3345976,DTCC00645915,652014,39082
CHEMBL1084631,P46098,,FTPAKCBSUUBRFU-UHFFFAOYSA-N,0,SEROTONIN 3A (5-HT3A) RECEPTOR,HTR3A,Ion channel,,,20465311,IC50,=,5800,NM,,cell_based,,,,,,,,,,,HEK293,Agonist activity at human 5HT3A receptor expressed in HEK293 cells by FLIPR assay,,"Novel alpha-7 nicotinic acetylcholine receptor agonists containing a urea moiety: identification and characterization of the potent, selective, and orally efficacious agonist 1-[6-(4-fluorophenyl)pyridin-3-yl]-3-(4-piperidin-1-ylbutyl) urea (SEN34625/WYE-103914).",J. Med. Chem.,2010,53,11,"Ghiron C, Haydar SN, Aschmies S, Bothmann H, Castaldo C, Cocconcelli G, Comery TA, Di L, Dunlop J, Lock T, Kramer A, Kowal D, Jow F, Grauer S, Harrison B, La Rosa S, Maccari L, Marquis KL, Micco I, Nencini A, Quinn J, Robichaud AJ, Roncarati R, Scali C, Terstappen GC, Turlizzi E, Valacchi M, Varrone M, Zanaletti R, Zanelli U",,634700,DTCT0023221,3345972,DTCC00645911,554947,39082
