compound_id,base_rdkit_smiles,relation,PIC50,active
WLYLIKBNGQZDFH-UHFFFAOYSA-N,O=C(NCCCN1CCOCC1)c1ccc2c(=O)n(Cc3ccc(Cl)cc3)c(=O)[nH]c2c1,,5.886056647693162,0
PNHTUMMCJLWVTR-UHFFFAOYSA-N,COc1ccc(-c2cc(NC(=O)CCCCN3CCCOCC3)n[nH]2)cc1,>,4.5228787452803365,0
PYCJRTFNOGPLEL-UHFFFAOYSA-N,Nn1c(CCCCN2CCN(c3ccc4ccccc4n3)CC2)nc2cc(Cl)ccc2c1=O,>,7.0,1
MMIPHEFKLSFNNB-MWGLOKQDSA-L,COc1ccc(C[N+]23CCC4C5C6C(CC42)C(=CCOC6N2c4ccccc4C46CC[N+]7(Cc8ccc(OC)c(OC)c8)CC8=CCOC(C(C8CC47)C26)N5c2ccccc2)C3)cc1OC,,4.5114393493046165,0
PWVBQEUMVVPFJT-UHFFFAOYSA-N,Nn1c(CCCCN2CCN(c3ccc4ccccc4n3)CC2)nc2cc(F)ccc2c1=O,>,7.0,1
POOPPNNSPMKABZ-UHFFFAOYSA-N,COC1Cc2ccccc2C2(CCN(Cc3ccccc3)CC2)O1,>,5.0,0
OSVMSQACZRYAPT-UHFFFAOYSA-N,COc1cccc(CN2CCN(C3CCC(O)(c4ccc5c(c4)OCO5)CC3)CC2)c1,>,4.0,0
TZSHYDBBXRRBCE-UHFFFAOYSA-N,Nn1c(CCCCN2CCN(c3ccc4ccccc4n3)CC2)nc2ccc(Cl)cc2c1=O,>,7.0,1
FKCDNDBJVOQPJB-UHFFFAOYSA-N,CCC1CCCCN1CCNC(=O)c1ccc2c(=O)n(Cc3ccc(Cl)cc3)c(=O)[nH]c2c1,,4.866461091629782,0
ZUTQCPBDRJBADG-UHFFFAOYSA-N,Fc1cccc(CCN2CCN(CCCc3c[nH]c4ccc(-n5cnnc5)cc34)CC2)c1,>,5.0,0
CZPMNOSNQHHGTD-UHFFFAOYSA-N,CCCCN1CCC(COc2nc3ccsc3n3cccc23)CC1,>,5.0,0
MIQNWMJNRQADMN-UHFFFAOYSA-N,O=C(CCCCN1CCCCC1)Nc1cc(-c2ccc(Br)cc2)[nH]n1,>,4.5228787452803365,0
HIKALAMHAXPLDW-RCCNGQCQSA-L,OCC=C1C[N+]2(C3C=CCCC3)CCC3C4C(=CN5c6ccccc6C67CC[N+]8(C9C=CCCC9)CC9=CCOC(C(C9CC68)C57)N4c4ccccc4)C1CC32,,4.5114393493046165,0
FCQFXDREOPQEAF-UHFFFAOYSA-N,CC1CCc2c(nc(CCCCN3CCN(c4ccc5ccccc5n4)CC3)n(N)c2=O)C1,,7.009217308196861,1
RPQHJWKLRRXKIS-UHFFFAOYSA-N,O=C(Cn1nc(C2CCCCC2)cc(Cc2ccco2)c1=O)NC1Cc2ccccc2C1,,5.100000128334196,0
HCPLJHRNFWGIEM-XSHQRCBMSA-L,O=[N+]([O-])c1ccc(C[N+]23CCC4C5C6C(CC42)C(=CCOC6N2c4ccccc4C46CC[N+]7(Cc8ccc([N+](=O)[O-])cc8)CC8=CCOC(C(C8CC47)C26)N5c2ccccc2)C3)cc1,>,4.0,0
QCJPMOOSRAYGGE-UHFFFAOYSA-N,Nn1c(CCCCN2CCN(c3ccc4cc(O)ccc4n3)CC2)nc2c(c1=O)CCCC2,>,7.0,1
