compound_id,Original_Entry_ID,Entrez_ID,Activity_Flag,PXC50,DB,Original_Assay_ID,Tax_ID,Gene_Symbol,Ortholog_Group,InChI,SMILES,rdkit_smiles,VALUE_NUM_mean,VALUE_NUM_std,Perc_Var,Remove_BadDuplicate
ABIDZKZAFOTHFB-CCUGXXBONA-N,CHEMBL1271790,3359,A,8.17,chembl20,674333,9606,HTR3A,2102,"InChI=1/C21H28N4O3/c1-13-11-27-12-14(2)25(13)21-23-19-16(4-3-5-18(19)28-21)20(26)22-17-10-24-8-6-15(17)7-9-24/h3-5,13-15,17H,6-12H2,1-2H3,(H,22,26)/t13-,14-,17+/m0/s1/f/h22H",C1C2CCN(C1)C[C@H]2NC(C3=C4N=C(OC4=CC=C3)N5[C@H](COC[C@@H]5C)C)=O,C[C@H]1COC[C@H](C)N1c1nc2c(C(=O)N[C@@H]3CN4CCC3CC4)cccc2o1,8.17,,0.0,0
ABSDJNLAUZQHJY-UHFFFAOYNA-N,CHEMBL2205048,3359,A,7.21,chembl20,880265,9606,HTR3A,2102,"InChI=1/C17H20N2OS/c1-20-14-5-4-6-15(13-14)21-17-8-3-2-7-16(17)19-11-9-18-10-12-19/h2-8,13,18H,9-12H2,1H3",N1(CCNCC1)C=2C(=CC=CC2)SC=3C=C(C=CC3)OC,COc1cccc(Sc2ccccc2N2CCNCC2)c1,7.21,,0.0,0
ACKJXXOVSOCBPX-PHLAQJRANA-N,11376655,79246,A,8.25181,pubchem,652569,10116,HTR3A,2102,"InChI=1/C36H46N6O/c1-26-33(27-14-6-9-17-30(27)40-35(26)42-24-22-41(2)23-25-42)36(43)38-21-13-5-3-4-12-20-37-34-28-15-7-10-18-31(28)39-32-19-11-8-16-29(32)34/h6-7,9-10,14-15,17-18H,3-5,8,11-13,16,19-25H2,1-2H3,(H,37,39)(H,38,43)/f/h37-38H",O=C(NCCCCCCCNC=1C=2CCCCC2N=C3C1C=CC=C3)C4=C(C(N5CCN(CC5)C)=NC=6C4=CC=CC6)C,Cc1c(N2CCN(C)CC2)nc2ccccc2c1C(=O)NCCCCCCCNc1c2c(nc3ccccc13)CCCC2,8.250905,0.0012798632739475571,0.010968493759184792,0
ADYMTDFOOCWUHC-UHFFFAOYNA-N,CHEMBL305582,3359,A,8.13,chembl20,3480,9606,HTR3A,2102,"InChI=1/C19H22N4/c1-2-6-16(7-3-1)10-13-23-18-9-5-4-8-17(18)21-19(23)22-14-11-20-12-15-22/h1-9,20H,10-15H2",C=1(N(C2=CC=CC=C2N1)CCC3=CC=CC=C3)N4CCNCC4,c1ccc(CCn2c(N3CCNCC3)nc3ccccc32)cc1,8.13,,0.0,0
AFLJKKMTBWNZFE-KAASGWQYNA-N,CHEMBL378349,3359,A,6.76,chembl20,851152,9606,HTR3A,2102,"InChI=1/C16H18N2OS/c19-16(13-2-1-12-5-8-20-15(12)9-13)17-14-10-18-6-3-11(14)4-7-18/h1-2,5,8-9,11,14H,3-4,6-7,10H2,(H,17,19)/t14-/m0/s1/f/h17H",C1N2CCC([C@@H](NC(C3=CC4=C(C=C3)C=CS4)=O)C2)C1,O=C(N[C@H]1CN2CCC1CC2)c1ccc2ccsc2c1,6.76,,0.0,0
AFUWQWYPPZFWCO-SRFFZEJWNA-N,CHEMBL1643880,3359,A,8.27,chembl20,700635,9606,HTR3A,2102,"InChI=1/C15H17N3O2S/c19-13-10(7-16-11-3-6-21-14(11)13)15(20)17-12-8-18-4-1-9(12)2-5-18/h3,6-7,9,12H,1-2,4-5,8H2,(H,16,19)(H,17,20)/t12-/m0/s1/f/h17,19H",C1(C(=O)N[C@H]2CN3CCC2CC3)=CN=C4C(SC=C4)=C1O,O=C(N[C@H]1CN2CCC1CC2)c1cnc2ccsc2c1O,8.27,,0.0,0
AGVRILRKGQDLBR-GOSISDBHNA-N,CHEMBL1641625,3359,A,8.62,chembl20,700634,9606,HTR3A,2102,"InChI=1/C20H26N4O/c1-13(2)10-24-17-5-3-4-15-19(17)16(21-24)11-23(20(15)25)18-12-22-8-6-14(18)7-9-22/h3-5,13-14,18H,6-12H2,1-2H3/t18-/m1/s1",C1=C2C=3C(CN(C2=O)[C@H]4C5CCN(C4)CC5)=NN(C3C=C1)CC(C)C,CC(C)Cn1nc2c3c(cccc31)C(=O)N([C@@H]1CN3CCC1CC3)C2,8.62,,0.0,0
AJEBHUMZPBDLQF-MIHJWAIRNA-N,46233635,3359,A,9.17393,pubchem,461556,9606,HTR3A,2102,"InChI=1/C18H24N4O2/c1-21-12-5-3-6-13(21)10-11(9-12)19-18(24)16-14-7-4-8-15(23)17(14)22(2)20-16/h4,7-8,11-13,23H,3,5-6,9-10H2,1-2H3,(H,19,24)/t12-,13-/m0/s1/f/h19H",O=C(NC1C[C@H]2N([C@H](C1)CCC2)C)C3=NN(C=4C3=CC=CC4O)C,CN1[C@H]2CCC[C@H]1CC(NC(=O)c1nn(C)c3c(O)cccc13)C2,9.17393,,0.0,0
AJMDHGFXFDUETC-UHFFFAOYNA-N,11230291,15561,A,6.7904800000000005,pubchem,460741,10090,HTR3A,2102,"InChI=1/C13H16N4O/c1-4-14-9-12-11(1)15-13(18-12)17-8-7-16-5-2-10(17)3-6-16/h1,4,9-10H,2-3,5-8H2",O1C(N2C3CCN(CC3)CC2)=NC=4C1=CN=CC4,c1cc2nc(N3CCN4CCC3CC4)oc2cn1,6.7904800000000005,,0.0,0
AJOIVAKMJVSBOV-WYGZFEBSNA-N,CHEMBL1272176,3359,A,7.74,chembl20,674333,9606,HTR3A,2102,"InChI=1/C17H22N4O2/c1-20(2)17-19-15-12(4-3-5-14(15)23-17)16(22)18-13-10-21-8-6-11(13)7-9-21/h3-5,11,13H,6-10H2,1-2H3,(H,18,22)/t13-/m1/s1/f/h18H",C1C2[C@@H](CN(C1)CC2)NC(C3=C4C(=CC=C3)OC(=N4)N(C)C)=O,CN(C)c1nc2c(C(=O)N[C@@H]3CN4CCC3CC4)cccc2o1,7.74,,0.0,0
AJQZLGNJRZQIRM-UHFFFAOYNA-N,CHEMBL607857,15561,A,7.77,chembl20,611799,10090,HTR3A,2102,"InChI=1/C15H19N3O/c1-11-2-3-13-14(10-11)19-15(16-13)18-9-8-17-6-4-12(18)5-7-17/h2-3,10,12H,4-9H2,1H3",C12CCN(CCN1C3=NC4=C(O3)C=C(C=C4)C)CC2,Cc1ccc2nc(N3CCN4CCC3CC4)oc2c1,7.77,,0.0,0
AJTVQZWUKUPHIP-LQFNOIFHNA-N,CHEMBL1210703,3359,A,6.0,chembl20,643571,9606,HTR3A,2102,"InChI=1/C23H24N2O2S/c1-16-8-9-20(17(2)14-16)24-22(26)21-15-19(18-6-4-3-5-7-18)23(28-21)25-10-12-27-13-11-25/h3-9,14-15H,10-13H2,1-2H3,(H,24,26)/f/h24H",C1(NC(C=2SC(=C(C3=CC=CC=C3)C2)N4CCOCC4)=O)=C(C=C(C=C1)C)C,Cc1ccc(NC(=O)c2cc(-c3ccccc3)c(N3CCOCC3)s2)c(C)c1,6.0,,0.0,0
ANTKBACNWQHQJE-UHFFFAOYNA-N,CHEMBL1242950,3359,A,6.0,chembl20,659608,9606,HTR3A,2102,"InChI=1/C20H31NO/c1-3-4-9-18-12-15-21(16-13-18)14-7-11-20(22)19-10-6-5-8-17(19)2/h5-6,8,10,18H,3-4,7,9,11-16H2,1-2H3",C1(CCCC)CCN(CCCC(C=2C(=CC=CC2)C)=O)CC1,CCCCC1CCN(CCCC(=O)c2ccccc2C)CC1,6.0,,0.0,0
AOOSJYIINXVNHV-UHFFFAOYNA-N,CHEMBL68131,3359,A,6.8,chembl20,564428,9606,HTR3A,2102,"InChI=1/C19H27ClN2O4/c1-2-3-6-22-7-4-13(5-8-22)12-26-19(23)14-11-15(20)16(21)18-17(14)24-9-10-25-18/h11,13H,2-10,12,21H2,1H3",O1CCOC=2C1=C(C(=CC2C(=O)OCC3CCN(CC3)CCCC)Cl)N,CCCCN1CCC(COC(=O)c2cc(Cl)c(N)c3c2OCCO3)CC1,6.8,,0.0,0
AOWDEXMOARHNIR-UHFFFAOYNA-N,53237900,3359,A,7.49485,pubchem,712522,9606,HTR3A,2102,"InChI=1/C18H22N2O2S/c1-21-14-7-8-18(16(13-14)22-2)23-17-6-4-3-5-15(17)20-11-9-19-10-12-20/h3-8,13,19H,9-12H2,1-2H3",S(C=1C(N2CCNCC2)=CC=CC1)C3=C(OC)C=C(OC)C=C3,COc1ccc(Sc2ccccc2N2CCNCC2)c(OC)c1,7.49485,,0.0,0
APHNFVMFNAFHIP-SMJXOZEZNA-N,CHEMBL2402888,3359,N,4.7,chembl20,971714,9606,HTR3A,2102,"InChI=1/C23H34N6O4S/c1-34(32,33)28-9-7-27(8-10-28)13-19(30)14-29-17-5-6-18(29)12-16(11-17)26-23(31)20-3-2-4-21-22(20)25-15-24-21/h2-4,15-19,30H,5-14H2,1H3,(H,24,25)(H,26,31)/t16-,17+,18-,19?/f/h24,26H",OC(CN1CCN(CC1)S(=O)(=O)C)CN2[C@@H]3C[C@H](C[C@H]2CC3)NC(=O)C4=C5C(=CC=C4)NC=N5,CS(=O)(=O)N1CCN(CC(O)CN2[C@H]3CC[C@@H]2C[C@H](NC(=O)c2cccc4[nH]cnc24)C3)CC1,4.7,,0.0,0
ARXTZNGJWWBBMH-LQFNOIFHNA-N,44157937,79246,A,8.52288,pubchem,375321,10116,HTR3A,2102,"InChI=1/C18H21N5O2/c1-13-4-2-5-14-17(13)23-7-3-6-15(23)18(19-14)22-10-8-21(9-11-22)12-16(24)20-25/h2-7,25H,8-12H2,1H3,(H,20,24)/f/h24H",OC(=NO)CN1CCN(CC1)C2=NC=3C(N4C2=CC=C4)=C(C=CC3)C,Cc1cccc2nc(N3CCN(CC(O)=NO)CC3)c3cccn3c12,8.52288,,0.0,0
ASQVLAWCAVGHRV-UHFFFAOYNA-N,CHEMBL576046,79246,A,7.65,chembl20,592418,10116,HTR3A,2102,"InChI=1/C20H21FN6/c21-16-3-4-18-17(14-16)23-20(19-2-1-6-27(18)19)26-12-10-24(11-13-26)8-9-25-7-5-22-15-25/h1-7,14-15H,8-13H2",N1(C=NC=C1)CCN2CCN(C3=NC4=CC(=CC=C4N5C3=CC=C5)F)CC2,Fc1ccc2c(c1)nc(N1CCN(CCn3ccnc3)CC1)c1cccn12,7.65,,0.0,0
ATBPRFXCCZLQCU-KHCWMJRFNA-N,CHEMBL40260,3359,A,8.48,chembl20,3470,9606,HTR3A,2102,"InChI=1/C13H13N5S/c14-13(15)17-6-12-18-11(7-19-12)9-5-16-10-4-2-1-3-8(9)10/h1-5,7,16H,6H2,(H4,14,15,17)/f/h14-15H2",C1(C=2N=C(CN=C(N)N)SC2)=CNC=3C1=CC=CC3,NC(N)=NCc1nc(-c2c[nH]c3ccccc23)cs1,8.48,,0.0,0
