compound_id,standard_inchi_key,compound_name,synonym,target_id,target_pref_name,gene_names,wildtype_or_mutant,mutation_info,pubmed_id,standard_type,standard_relation,standard_value,standard_units,activity_comment,ep_action_mode,assay_format,assaytype,assay_subtype,inhibitor_type,detection_tech,assay_cell_line,compound_concentration_value,compound_concentration_value_unit,substrate_type,substrate_relation,substrate_value,substrate_units,assay_description,title,journal,doc_type,annotation_comments
CHEMBL12,AAOVKJBEBIDNHE-UHFFFAOYSA-N,DIAZEPAM,,P35367,HISTAMINE H1 RECEPTOR,HRH1,,,,IC50,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),,,,,,,CHO-K1,,,,,,,"DRUGMATRIX: Histamine H1, Central radioligand binding (ligand: [3H] Pyrilamine)",DrugMatrix in vitro pharmacology data,,DATASET,
CHEMBL12,AAOVKJBEBIDNHE-UHFFFAOYSA-N,DIAZEPAM,,P35367,HISTAMINE H1 RECEPTOR,HRH1,,,,KI,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),,,,,,,CHO-K1,,,,,,,"DRUGMATRIX: Histamine H1, Central radioligand binding (ligand: [3H] Pyrilamine)",DrugMatrix in vitro pharmacology data,,DATASET,
CHEMBL1090526,ABDWUBPDHWDFCV-CYBMUJFWSA-N,,,P35367,HISTAMINE H1 RECEPTOR,HRH1,,,20227880.0,KI,=,0.7,NM,,,,,,,,,,,,,,,Binding affinity at histamine H1 receptor,Selectivity profiling of novel indene H(1)-antihistamines for the treatment of insomnia.,Bioorg. Med. Chem. Lett.,PUBLICATION,
CHEMBL1090526,ABDWUBPDHWDFCV-CYBMUJFWSA-N,,,P35367,HISTAMINE H1 RECEPTOR,HRH1,,,20800486.0,KI,=,0.7,NM,,,,,,,,,,,,,,,Inhibition of histamine H1 receptor,Identification of a novel selective H1-antihistamine with optimized pharmacokinetic properties for clinical evaluation in the treatment of insomnia.,Bioorg. Med. Chem. Lett.,PUBLICATION,
CHEMBL60435,ABEZUHIZVKNNOT-HXUWFJFHSA-N,,,P35367,HISTAMINE H1 RECEPTOR,HRH1,,,12113836.0,KI,=,95499.26,NM,,,,,,,,,,,,,,,Binding affinity towards Histamine H1 receptor of human membranes.,Structure-activity relationships of non-imidazole H(3) receptor ligands. Part 2: binding preference for D-amino acids motifs.,Bioorg. Med. Chem. Lett.,PUBLICATION,
CHEMBL990,ABJKWBDEJIDSJZ-UHFFFAOYSA-N,BUTENAFINE,,P35367,HISTAMINE H1 RECEPTOR,HRH1,,,,IC50,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),,,,,,,CHO-K1,,,,,,,"DRUGMATRIX: Histamine H1, Central radioligand binding (ligand: [3H] Pyrilamine)",DrugMatrix in vitro pharmacology data,,DATASET,
CHEMBL990,ABJKWBDEJIDSJZ-UHFFFAOYSA-N,BUTENAFINE,,P35367,HISTAMINE H1 RECEPTOR,HRH1,,,,KI,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),,,,,,,CHO-K1,,,,,,,"DRUGMATRIX: Histamine H1, Central radioligand binding (ligand: [3H] Pyrilamine)",DrugMatrix in vitro pharmacology data,,DATASET,
CHEMBL3577956,ABJWJGMTLYSISP-UHFFFAOYSA-N,,,P35367,HISTAMINE H1 RECEPTOR,HRH1,,,25893048.0,ACTIVITY,,,,Not Active,,,,,,,,,,,,,,Binding affinity to human histamine H1 receptor at 1 uM,,ACS Med. Chem. Lett.,PUBLICATION,
CHEMBL2205816,ABONQAUMSMWLEK-UHFFFAOYSA-N,,,P35367,HISTAMINE H1 RECEPTOR,HRH1,,,22959245.0,INHIBITION,<,50,%,,,,,,,,,,,,,,,Binding affinity to Histamine H1 receptor at 10 uM,"A s(1) receptor pharmacophore derived from a series of N-substituted 4-azahexacyclo[5.4.1.0(2,6).0(3,10).0(5,9).0(8,11)]dodecan-3-ols (AHDs).",Bioorg. Med. Chem. Lett.,PUBLICATION,
CHEMBL2205816,ABONQAUMSMWLEK-UHFFFAOYSA-N,,,P35367,HISTAMINE H1 RECEPTOR,HRH1,,,23981939.0,INHIBITION,<,50,%,,,,,,,,,,,,,,,Inhibition of histamine H1 receptor (unknown origin) at 10 uM by PDSP assay relative to control,"N-substituted 8-aminopentacyclo[5.4.0.0(2,6).0(3,10).0(5,9)]undecanes as s receptor ligands with potential neuroprotective effects.",Bioorg. Med. Chem.,PUBLICATION,
CHEMBL270853,ABOWDNIHZHLENL-UHFFFAOYSA-N,,,P35367,HISTAMINE H1 RECEPTOR,HRH1,,,18248991.0,KI,>,2511.89,NM,,,,,,,,,,,,,,,Antagonist activity at histamine H1 receptor by FLIPR assay,New fused benzazepine as selective D3 receptor antagonists. Synthesis and biological evaluation. Part one: [h]-fused tricyclic systems.,Bioorg. Med. Chem. Lett.,PUBLICATION,
