compound_id,base_rdkit_smiles,relation_SLC6A2,avg_pKi_SLC6A2,relation_SLC6A3,avg_pKi_SLC6A3,relation_SLC6A4,avg_pKi_SLC6A4
CHEMBL100879,COc1cc2c(cc1OC)C1=NO[C@@H](CN3CCN(C/C=C(\C)c4cccs4)CC3)[C@@H]1CO2,,,,,,7.130768280269024
CHEMBL101055,COc1cccc(C(CN(C)C)C2(O)CCCCC2)c1,,6.5003129173815966,,,,
CHEMBL101361,COc1cc2c(cc1OC)C1=NO[C@@H](CN3CCN(C/C=C(\C)c4ccccc4OC)CC3)[C@@H]1CO2,,,,,,7.292429823902063
CHEMBL101411,COc1cc2c(cc1OC)C1=NO[C@@H](CN3CCN(C/C=C/c4ccc(Cl)cc4)CC3)[C@@H]1CO2,,,,,,8.886056647693163
CHEMBL101596,COc1cc2c(cc1OC)C1=NO[C@@H](CN3CCN(C/C(C)=C/c4ccsc4)CC3)[C@@H]1CO2,,,,,,8.721246399047171
CHEMBL1016,CCOc1nc2cccc(C(=O)O)c2n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,,5.517154989336545,,,,
CHEMBL101899,CN(C)CC(c1cccc(Cl)c1)C1(O)CCCCC1,,6.826813731587726,,,,
CHEMBL103936,COC(=O)c1ccccc1-c1ccc2ccccc2c1,,4.330683119433888,,5.391473966422806,,3.207608310501746
CHEMBL104,Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1,,5.104025267640935,,5.35320431122153,,5.51427857351842
CHEMBL104144,C1=C(c2c[nH]c3ccccc23)CCN(CCOc2cccc3c2OCCO3)C1,,,,,,7.346787486224656
CHEMBL104673,CN(C)Cc1ccccc1Sc1ccc(C(F)(F)F)cc1N,,5.919012953089113,,5.690795820329592,,9.481486060122112
CHEMBL105204,Fc1ccc2c(C3=CCN(CCOc4cccc5c4OCCO5)CC3)c[nH]c2c1,,,,,,7.703334809738469
CHEMBL105390,Fc1ccc2[nH]cc(C3=CCN(CCOc4cccc5c4OCCO5)CC3)c2c1,,,,,,7.328827157284917
CHEMBL1059,CC(C)C[C@H](CN)CC(=O)O,<,5.0,,,,
CHEMBL1062,CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,,,,5.26074419673149,,
CHEMBL106939,CN(C)Cc1ccccc1Sc1ccc(C#N)cc1N,,5.556707402205786,,5.334612856197373,,8.955998869004455
CHEMBL1070,COc1ccc2cc(CCC(C)=O)ccc2c1,,5.732124580681102,,,,
CHEMBL107077,COc1ccc(Sc2ccccc2CN(C)C)c(N)c1,,5.70071066591232,,5.576590272266906,,8.723538195826755
CHEMBL1076586,O=C(c1ccc(-c2ccccc2)cc1)N1CCN(C(=O)c2ccc3cc[nH]c3c2)CC1,<,5.0,<,5.0,<,5.0
CHEMBL1077638,CC(C)CN(C(=O)c1cccc(C(F)(F)F)c1Cl)[C@H]1CCNC1,,6.987162775294828,,5.684029654543083,,7.958607314841775
CHEMBL1077647,CC(C)CN(C(=O)c1cc(Cl)ccc1Cl)[C@H]1CCNC1,,6.703334809738469,,5.614393726401688,,7.267606240177032
CHEMBL1078073,CC(C)CN(C(=O)c1cccc(Cl)c1F)[C@H]1CCNC1,,6.856985199745905,,5.59176003468815,,8.0
CHEMBL1078074,CC(C)CN(C(=O)c1cccc(F)c1C(F)(F)F)[C@H]1CCNC1,,7.585026652029182,,,,7.602059991327962
CHEMBL1078076,CC(C)CN(C(=O)c1ccc(F)cc1Cl)[C@H]1CCNC1,,6.580044251510242,,5.5951662833800615,,8.154901959985743
CHEMBL1078162,Cc1c(Cl)cccc1C(=O)N(CC(C)C)[C@H]1CCNC1,,7.5376020021010435,,6.287350298372789,,8.522878745280337
CHEMBL1078163,Cc1c(F)cccc1C(=O)N(CC(C)C)[C@H]1CCNC1,,7.161150909262744,,5.79317412396815,,7.886056647693163
CHEMBL1078164,CC(C)CN(C(=O)c1cccc(F)c1Cl)[C@H]1CCNC1,,7.173925197299173,,5.6252516539898965,,7.823908740944319
CHEMBL1078169,CC(C)CN(C(=O)c1ccccc1C(C)C)[C@H]1CCNC1,,7.187086643357144,,5.444905551421681,,5.87942606879415
CHEMBL1078170,CC(C)CN(C(=O)c1cccc(Cl)c1Cl)[C@@H]1CCNC1,,6.772113295386326,,5.510041520575165,,7.886056647693163
CHEMBL1078312,CCN(C(=O)c1cccc(Cl)c1Cl)[C@H]1CCNC1,,6.66354026615147,,5.962573502059376,,7.5376020021010435
CHEMBL1078741,CC(C)CN(C(=O)c1cc(Cl)cc(Cl)c1)[C@H]1CCNC1,,7.366531544420414,,5.512861624522813,,8.221848749616356
CHEMBL1078742,CC(C)CN(C(=O)c1ccc(Cl)c(Cl)c1)[C@H]1CCNC1,,7.301029995663981,,6.366531544420414,,8.397940008672037
CHEMBL1078743,CC(C)CN(C(=O)c1cccc(Cl)c1)[C@H]1CCNC1,,6.8696662315049934,,5.876148359032914,,7.721246399047171
CHEMBL1079263,O=C(c1cccc(Cl)c1Cl)N(C1=CCOC=C1)[C@H]1CCNC1,,8.0,,6.024568191490737,,8.221848749616356
CHEMBL1079264,O=C(c1cccc(Cl)c1Cl)N(c1ccccc1)[C@H]1CCNC1,,7.958607314841775,,6.300162274132754,,8.522878745280337
CHEMBL1079265,CC(C)CN(C(=O)c1ccc(Cl)cc1Cl)[C@H]1CCNC1,,7.431798275933005,,5.619788758288394,,8.522878745280337
CHEMBL1079460,O=S1(=O)N(CCN2CC=C(c3c[nH]c4cc(F)ccc34)CC2)c2cccc3c2N1CCC3,,,,,,8.638272163982407
CHEMBL1080069,CCCN(C(=O)c1cccc(Cl)c1Cl)[C@H]1CCNC1,,7.443697499232712,,6.200659450546418,,7.795880017344075
CHEMBL1080155,C[C@H]1CN(C(=O)c2ccc(-c3cccc(OC(F)(F)F)c3)cc2)CCN1C(=O)c1ccc2cc[nH]c2c1,<,5.0,<,5.0,<,5.0
CHEMBL1080389,C[C@H]1CN(C(=O)c2ccc(-c3ccccc3F)cc2)CCN1C(=O)c1ccc2cc[nH]c2c1,<,5.0,<,5.0,<,5.0
CHEMBL1080556,C[C@H]1CN(C(=O)c2ccc(-c3ccccc3Cl)cc2)CCN1C(=O)c1ccc2cc[nH]c2c1,<,5.0,<,5.0,<,5.0
CHEMBL1080735,C[C@H]1CN(C(=O)c2ccc(-c3ccccc3C(F)(F)F)cc2)CCN1C(=O)c1ccc2cc[nH]c2c1,<,5.0,<,5.0,<,5.0
CHEMBL1080755,C[C@H]1CN(C(=O)c2ccc(-c3ccc(OC(F)(F)F)cc3)cc2)CCN1C(=O)c1ccc2cc[nH]c2c1,<,5.0,<,5.0,<,5.0
CHEMBL1080787,CC(C)CN(C(=O)c1cccc(Cl)c1Cl)[C@H]1CCNC1,,7.67778070526608,,6.2644011003018205,,8.221848749616356
CHEMBL1080788,O=C(c1cccc(Cl)c1Cl)N(CC(F)(F)F)[C@H]1CCNC1,,7.022276394711152,,5.428291168191312,,7.4089353929735005
CHEMBL1080789,O=C(c1cccc(Cl)c1Cl)N(CCC1CC1)[C@H]1CCNC1,,7.619788758288394,,6.393618634889395,,7.823908740944319
CHEMBL1080790,CC(C)(C)CN(C(=O)c1cccc(Cl)c1Cl)[C@H]1CCNC1,,7.886056647693163,,6.563837352959244,,8.397940008672037
CHEMBL1080884,Fc1ccc(OC[C@@H]2CNCCO2)c2c1CCC2,,,,,,7.67778070526608
CHEMBL1080907,Cc1ccccc1-c1ccc(C(=O)N2CCN(C(=O)c3ccc4cc[nH]c4c3)[C@@H](C)C2)cc1,<,5.0,<,5.0,<,5.0
CHEMBL1080926,C[C@H]1CN(C(=O)c2ccc(-c3ccc(F)cc3)cc2)CCN1C(=O)c1ccc2cc[nH]c2c1,<,5.0,<,5.0,<,5.0
CHEMBL1080968,O=C(c1cccc(Cl)c1Cl)N(C1CCCC1)[C@H]1CCNC1,,7.958607314841775,,6.007446482167865,,8.221848749616356
CHEMBL1080969,CCC(CC)N(C(=O)c1cccc(Cl)c1Cl)[C@H]1CCNC1,,7.431798275933005,,5.585026652029182,,7.698970004336019
CHEMBL1081212,COc1ccccc1-c1ccc(C(=O)N2CCN(C(=O)c3ccc4cc[nH]c4c3)[C@@H](C)C2)cc1,<,5.0,<,5.0,<,5.0
CHEMBL1081254,COc1ccc(-c2ccc(C(=O)N3CCN(C(=O)c4ccc5cc[nH]c5c4)[C@@H](C)C3)cc2)cc1,<,5.0,<,5.0,<,5.0
CHEMBL1081648,COc1cccc(-c2ccc(C(=O)N3CCN(C(=O)c4ccc5cc[nH]c5c4)[C@@H](C)C3)cc2)c1,<,5.0,<,5.0,<,5.0
CHEMBL1081649,COc1cccc(-c2ccc(C(=O)N3CCN(C(=O)c4ccc5cc[nH]c5c4)[C@H](C)C3)cc2)c1,<,5.0,<,5.0,<,5.0
CHEMBL1082209,C[C@H]1CN(C(=O)c2ccc(-c3cccc(C(F)(F)F)c3)cc2)CCN1C(=O)c1ccc2cc[nH]c2c1,<,5.0,<,5.0,<,5.0
CHEMBL1082210,C[C@H]1CN(C(=O)c2ccc(-c3cccc(F)c3)cc2)CCN1C(=O)c1ccc2cc[nH]c2c1,<,5.0,<,5.0,<,5.0
