molecule_chembl_id,smiles,standard_type,standard_relation,standard_value,standard_units
CHEMBL379021,[2H]C([2H])([2H])Oc1cccc([C@@]2(O)CCCC[C@@H]2CN(C([2H])([2H])[2H])C([2H])([2H])[2H])c1,IC50,'=',2000.0,nM
CHEMBL403090,CNCc1cc(N2CCCS2(=O)=O)ccc1Oc1ccc(Cl)cc1C,IC50,'=',11.0,nM
CHEMBL41,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,IC50,'=',563.0,nM
CHEMBL440230,Clc1cccc(CN(Cc2ccccn2)[C@@H]2CCNC2)c1Cl,IC50,'=',5.0,nM
CHEMBL381046,CN1C2C=C(c3ccccc3-c3ccccc3)CC1CC2,IC50,'=',6430.0,nM
CHEMBL563897,CCn1c(=O)n([C@@H](c2ccccc2)[C@H](O)CNC)c2ccccc21,IC50,'=',17.5,nM
CHEMBL562476,CNC[C@@H](O)[C@H](c1ccccc1)n1ccc2ccccc21,IC50,'=',28.0,nM
CHEMBL458639,NCC1CCC(c2ccccc2)O1,IC50,'=',23.0,nM
CHEMBL508678,NCC1CCC(CCc2cccnc2)O1,IC50,'>',10000.0,nM
CHEMBL482295,CN(C)Cc1cc(NS(C)(=O)=O)ccc1Sc1ccc(C(F)(F)F)cc1,IC50,'=',6400.0,nM
CHEMBL259209,CCN(CC)C(=O)C1(c2ccccc2)CC1CN,IC50,'=',77.0,nM
CHEMBL256841,CC(C)N(C(=O)C1(c2ccccc2)CC1CNC(=O)CN)C(C)C,IC50,'>',10000.0,nM
CHEMBL404364,CCCN(CC)C(=O)C1(c2ccccc2)CC1CN,IC50,'=',41.0,nM
CHEMBL401621,CCN(CC)C(=O)C1(c2ccccc2)CC1CNCc1ccccn1,IC50,'=',8100.0,nM
CHEMBL272074,CCN(CC)C(=O)C1(c2ccccc2)CC1CNCc1ccco1,IC50,'>',10000.0,nM
CHEMBL258180,C=CCN(CC)C(=O)[C@@]1(c2ccc3c(c2)CCO3)C[C@H]1CN,IC50,'=',18.0,nM
CHEMBL405462,CCN(CC)C(=O)C1(c2ccccc2)CC1(C)CN,IC50,'>',10000.0,nM
CHEMBL260440,NCC1CC1(C(=O)N1CCc2ccccc21)c1ccccc1,IC50,'=',4.4,nM
CHEMBL1085233,CNC[C@@H](C)CN1c2ccccc2N(c2ccccc2F)S1(=O)=O,IC50,'=',57.0,nM
CHEMBL1084828,CNC[C@H](O)CCN1c2ccccc2N(c2ccc(F)cc2)S1(=O)=O,IC50,'=',244.0,nM
CHEMBL600424,CNC[C@@H](O)[C@H](c1cc(F)cc(F)c1)N1CC(C)(C)c2ccccc21.Cl,IC50,'=',4.1,nM
CHEMBL591928,CNC[C@@H](O)[C@H](c1ccccc1)N1CC(C)(C)c2cccc(F)c21.Cl,IC50,'=',1.6,nM
CHEMBL600220,CNC[C@@H](O)[C@H](c1ccccc1)N1CC(C)(C)c2ccccc21.Cl,IC50,'=',5.7,nM
CHEMBL599608,CNC[C@@H](O)[C@H](c1ccccc1)N1CCc2ccccc21.Cl,IC50,'=',9.7,nM
CHEMBL14370,CCOc1ccccc1OC(c1ccccc1)C1CNCCO1,IC50,'=',3.2,nM
CHEMBL600674,CNC[C@@H](O)[C@H](c1cccc(F)c1)N1CCc2cccc(C)c21.Cl,IC50,'=',170.0,nM
CHEMBL602550,CNC[C@@H](O)[C@H](c1cccc(F)c1)N1CC2(CCCCC2)c2ccccc21.Cl,IC50,'=',39.0,nM
CHEMBL1173532,COC[C@@]12CNCC[C@]1(c1ccc(Cl)c(Cl)c1)C2,IC50,'=',1.995,nM
CHEMBL567479,CC(C)(C)NC(CCC1CCCCC1)C(=O)c1cccc(Cl)c1,IC50,'>',10000.0,nM
CHEMBL549825,Clc1cccc(OC(c2cccnc2)[C@@H]2CCCNC2)c1Cl,IC50,'=',35.0,nM
CHEMBL469811,Fc1ccc2cc(CO[C@@H]3CCNC3)ccc2c1,IC50,'=',10600.0,nM
CHEMBL453838,CNCCC(c1ccccc1)n1ccc2ccccc21,IC50,'=',47.0,nM
CHEMBL514193,CCCn1c(=O)n([C@@H](CCNC)c2ccccc2)c2ccccc21,IC50,'=',627.0,nM
CHEMBL466963,CCCC(=O)N(Cc1ccc(Cl)cc1Cl)[C@H]1CCNC1,IC50,'=',31.0,nM
CHEMBL512967,CCC(=O)N(Cc1ccc(Cl)cc1Cl)[C@H]1CCNC1,IC50,'=',60.0,nM
CHEMBL375685,Cc1ccc([C@H]2C[C@@H]3CC[C@H]([C@H]2c2ncc(-c4ccc(Br)cc4)s2)N3C)cc1,IC50,'=',1820.0,nM
CHEMBL540107,CCOc1ccccc1C[C@@H](c1ccccc1)N1CCNCC1.Cl,IC50,'=',19.0,nM
CHEMBL491753,CCN(CC)CCCn1c2ccccc2c(=O)c2ccccc21,IC50,'>',10000.0,nM
CHEMBL295467,CNCCC(Oc1ccccc1OC)c1ccccc1,IC50,'=',6.0,nM
CHEMBL453838,CNCCC(c1ccccc1)n1ccc2ccccc21,IC50,'=',47.0,nM
CHEMBL514515,CNCC[C@@H](c1ccccc1)N1C(=O)C2(CCCCC2)c2ccccc21,IC50,'>',3000.0,nM
CHEMBL259209,CCN(CC)C(=O)C1(c2ccccc2)CC1CN,IC50,'=',41.0,nM
CHEMBL637,COc1ccc(C(CN(C)C)C2(O)CCCCC2)cc1,IC50,'=',680.0,nM
CHEMBL511959,CN1CCN(C[C@@H](c2cccc(OC(F)(F)F)c2)C2(O)CCCCC2)CC1.Cl.Cl,IC50,'=',3474.0,nM
CHEMBL469460,COc1cccc(C(CN2CCNCC2)C2(O)CCCCC2)c1.Cl.Cl,IC50,'=',870.0,nM
CHEMBL520736,CN[C@@H]1Cc2ccccc2[C@@H](Oc2ccccc2C)C1,IC50,'=',200.0,nM
CHEMBL2407321,CS(=O)(=O)CC(c1ccc(Cl)c(Cl)c1)C1CCNCC1.Cl,IC50,'=',200.0,nM
CHEMBL152748,CCCN(c1ccnc2cc(Cl)ccc12)n1ccc2ccccc21.O=C(O)/C=C/C(=O)O,IC50,'=',6900.0,nM
CHEMBL155109,CCCCN(c1ccncc1)n1ccc2ccccc21,IC50,'=',430.0,nM
CHEMBL603620,COc1cccc(C(=O)C(C)NC(C)(C)C)c1,IC50,'>',100.0,nM
CHEMBL154297,Cc1cc2ccccc2n1Nc1ccncc1,IC50,'=',3600.0,nM
CHEMBL1830884,O=S1(=O)N(CCC2CCCNC2)c2ccccc2N1c1ccccc1,IC50,'=',30.0,nM
CHEMBL1830883,CN1CCOC(CN2c3ccccc3N(c3ccccc3)S2(=O)=O)C1,IC50,'=',2304.0,nM
CHEMBL1830880,O=S1(=O)N(CC2CNCCO2)c2ccccc2N1c1ccccc1,IC50,'=',74.0,nM
CHEMBL1830876,CNC[C@@H](CCN1c2ccccc2N(c2ccccc2)S1(=O)=O)OC,IC50,'=',13.0,nM
CHEMBL1830876,CNC[C@@H](CCN1c2ccccc2N(c2ccccc2)S1(=O)=O)OC,IC50,'=',27.0,nM
CHEMBL1082458,CNC[C@@H](O)CCN1c2ccccc2N(c2ccccc2F)S1(=O)=O,IC50,'=',4.0,nM
CHEMBL1830890,O=S1(=O)N(CCC2CNCCO2)c2cc(F)ccc2N1c1ccccc1F,IC50,'=',14.0,nM
CHEMBL1830892,O=S1(=O)N(CCC2CNCCO2)c2cccc(F)c2N1c1ccccc1F,IC50,'=',7.0,nM
CHEMBL1830892,O=S1(=O)N(CCC2CNCCO2)c2cccc(F)c2N1c1ccccc1F,IC50,'=',13.0,nM
