molecule_chembl_id,smiles,standard_type,standard_relation,standard_value,standard_units
CHEMBL1170211,Fc1cc(N2CCNCC2Cc2ccccc2)cc2cc[nH]c12,Ki,'=',6.31,nM
CHEMBL1170794,Cn1ccc2cc(N3CCNCC3Cc3ccccc3)ccc21,Ki,'=',50.12,nM
CHEMBL1083426,Fc1ccccc1C(Cc1ccccc1OC(F)(F)F)N1CCNCC1,Ki,'=',17.0,nM
CHEMBL356531,CN([C@H]1C[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc21)C(C)(C)C,Ki,'=',2200.0,nM
CHEMBL2113279,COc1ccc(-c2cnc([C@H]3[C@@H](c4ccc(C)cc4)C[C@@H]4CC[C@H]3N4C)s2)cc1OC,Ki,'=',1390.0,nM
CHEMBL226984,Cc1ccc([C@H]2C[C@@H]3CC[C@H]([C@H]2c2ncc(-c4cccc([N+](=O)[O-])c4)s2)N3C)cc1,Ki,'=',990.0,nM
CHEMBL229381,Cc1ccc([C@H]2C[C@@H]3CC[C@H]([C@H]2c2ncc(-c4ccc(Cl)cc4)s2)N3C)cc1,Ki,'=',2870.0,nM
CHEMBL388759,CN1[C@H]2CC[C@@H]1[C@@H](c1ncc(-c3ccc(Br)cc3)s1)[C@@H](c1ccc(Cl)cc1)C2,Ki,'=',3290.0,nM
CHEMBL458488,CCOc1ccc([C@H]2C[C@H]3CC[C@H]([C@H]2C(=O)OC)N3C)cc1.Cl,Ki,'=',1690.0,nM
CHEMBL370805,COC(=O)[C@H]1[C@@H](OC(=O)c2ccccc2)C[C@@H]2CC[C@H]1N2C,Ki,'=',1740.0,nM
CHEMBL132676,OC1(c2ccc3ccccc3c2)c2ccccc2C2=NCCN21,Ki,'=',11.0,nM
CHEMBL448912,NCCC1CCC(Cc2ccccc2)O1,Ki,'>',10000.0,nM
CHEMBL450907,COc1ccc(F)cc1CCCC1CCC(CCN)O1,Ki,'=',10600.0,nM
CHEMBL460204,COc1ccc(F)cc1CCCCC1CCC(CCN)O1,Ki,'=',4064.0,nM
CHEMBL463431,COc1ccc(C2=NN(CCCCCBr)C(=O)[C@@H]3CC=CC[C@H]23)cc1OC,Ki,'=',39119.0,nM
CHEMBL401683,CNCc1cc(C(=O)N2CCCN(C3CC3)CC2)ccc1Oc1ccccc1,Ki,'=',470.0,nM
CHEMBL403148,CNCc1cc(C(=O)N2CCN(C(C)C)CC2)ccc1Oc1cccc(OC)c1,Ki,'=',730.0,nM
CHEMBL402644,CNCc1cc(C(=O)N2CCN(C3CC3)CC2)ccc1Oc1ccc(Cl)c(Cl)c1,Ki,'=',3200.0,nM
CHEMBL409877,CNCc1cc(C(=O)N2CCN(C3CC3)CC2)ccc1Oc1ccc(SC)c(C)c1,Ki,'=',4800.0,nM
CHEMBL270165,CNCc1cc(C(=O)N2CCN(C3CC3)CC2)ccc1Oc1ccc(SC)cc1,Ki,'=',3700.0,nM
CHEMBL174088,COC(=O)[C@@H]1C2CCC(C[C@@H]1c1ccc(/C=C\I)cc1)N2,Ki,'=',24.0,nM
CHEMBL1224092,CCCC1(C(=O)c2ccc3[nH]ncc3c2)CCCN1,Ki,'=',12.59,nM
CHEMBL1224401,CC(C)(C)CCC1(C(=O)c2cc(F)c(Cl)c(Cl)c2)CCNC1,Ki,'=',10.0,nM
CHEMBL72,CNCCCN1c2ccccc2CCc2ccccc21,Ki,'=',2.1,nM
CHEMBL1173530,OC[C@@]12CNCC[C@]1(c1ccc(Cl)c(Cl)c1)C2,Ki,'=',100.0,nM
CHEMBL1172850,COC[C@@]12CCNC[C@]1(c1ccc(Cl)c(Cl)c1)C2,Ki,'=',1000.0,nM
CHEMBL575714,Fc1cccc(OCc2ccccc2N2CCNCC2)c1F,Ki,'=',80.0,nM
CHEMBL574347,Cc1ccc(C2CCNCC2)c(Oc2ccc(F)cc2)c1,Ki,'=',115.0,nM
CHEMBL582928,c1ccc(COc2ccccc2N2CCNCC2)cc1,Ki,'=',168.0,nM
CHEMBL574428,Fc1cccc(Oc2ccccc2)c1C1CCNCC1,Ki,'=',170.0,nM
CHEMBL596001,CN1C2CCC1[C@@H](C(=O)OCc1cn(CCCCCCOC(=O)[C@H]3C4CCC(C[C@@H]3c3ccc(Cl)cc3)N4C)nn1)[C@@H](c1ccc(Cl)cc1)C2,Ki,'=',8.5,nM
CHEMBL608703,COC(=O)[C@@H]1C2CCC(C[C@@H]1c1ccc(Cl)cc1)N2C,Ki,'=',39.0,nM
CHEMBL611961,CN1C2CCC1[C@@H](C(=O)NCc1ccc(CCNC(=O)[C@H]3C4CCC(C[C@@H]3c3ccc(Cl)cc3)N4C)cc1)[C@@H](c1ccc(Cl)cc1)C2,Ki,'=',100.0,nM
CHEMBL611960,CN1C2CCC1[C@@H](C(=O)Nc1ccc(CCNC(=O)[C@H]3C4CCC(C[C@@H]3c3ccc(Cl)cc3)N4C)cc1)[C@@H](c1ccc(Cl)cc1)C2,Ki,'=',180.0,nM
CHEMBL457930,N#Cc1cc2cc(C3(Cc4ccccc4)CCNC3)ccc2[nH]1,Ki,'=',10.0,nM
CHEMBL514447,c1ccc(CC2(c3c[nH]c4ccccc34)CCNC2)cc1,Ki,'=',60.0,nM
CHEMBL1175,CNCC[C@H](Oc1cccc2ccccc12)c1cccs1,Ki,'=',45.0,nM
CHEMBL403441,CCOc1ccccc1C[C@H](c1ccccc1)N1CCNCC1,Ki,'=',12.0,nM
CHEMBL443979,Cc1nc(C#Cc2ccc(-c3cccnc3)c(F)c2)cs1,Ki,'>',6000.0,nM
CHEMBL1214006,COC(=O)[C@@H]1C2CCC(C[C@@H]1c1ccc(Cl)cc1)N2C/C=C/CF,Ki,'=',142.0,nM
CHEMBL1626,CN1CCC[C@@H]1CCO[C@](C)(c1ccccc1)c1ccc(Cl)cc1,Ki,'=',3060.0,nM
CHEMBL1118,CN(C)CC(c1ccc(O)cc1)C1(O)CCCCC1,Ki,'>',650.0,nM
CHEMBL470082,Cl.Cl.OC1(C(CN2CCNCC2)c2cccc(C(F)(F)F)c2)CCCCC1,Ki,'=',58.0,nM
CHEMBL461095,CN(C)C[C@@H](c1cccc(Cl)c1)C1(O)CCCCC1,Ki,'=',41.0,nM
CHEMBL602235,CC(C)OC[C@H]1[C@@H]2CNC[C@@]21c1ccc(Cl)c(Cl)c1,Ki,'=',0.3981,nM
CHEMBL598202,FC(F)(F)COC[C@H]1[C@@H]2CNC[C@@]21c1ccc(Cl)c(Cl)c1,Ki,'=',3.981,nM
CHEMBL2021577,CCOC[C@H]1[C@@H]2CNC[C@@]21C,Ki,'=',199.53,nM
CHEMBL598825,CCCOC[C@@H]1[C@H]2CNC[C@]21c1ccc(Cl)c(Cl)c1,Ki,'=',0.631,nM
CHEMBL599845,CCCOC[C@H]1[C@@H]2CNC[C@@]21c1ccc(Cl)c(Cl)c1,Ki,'=',31.62,nM
CHEMBL356981,CC(C)N(C)[C@@H]1C[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc21,Ki,'=',260.0,nM
CHEMBL378377,COc1ccccc1C[C@@](O)(c1ccccc1)[C@@H]1CNCCO1,Ki,'=',160.8,nM
CHEMBL592375,OC[C@@H]1[C@@H]2CNC[C@]12c1ccc(Cl)c(Cl)c1,Ki,'=',181.97,nM
CHEMBL204814,N[C@H](Cc1ccccc1)CN1CCC(CCOC(c2ccc(F)cc2)c2ccc(F)cc2)CC1.O=C(O)C(=O)O.O=C(O)C(=O)O,Ki,'=',402.0,nM
CHEMBL600854,Clc1cccc(Oc2ncccc2C2CCNCC2)c1Cl,Ki,'=',25.0,nM
CHEMBL2206530,CN1Cc2cc(F)ccc2C(c2ccccc2)C1,Ki,'=',29.0,nM
CHEMBL1818543,Cc1nc(C)n(CC23CNCC[C@]2(c2ccc(Cl)c(Cl)c2)C3)n1,Ki,'=',1584.89,nM
CHEMBL219703,CCCCCC(c1ccc(Cl)cc1)C1CCCCN1,Ki,'=',160.0,nM
CHEMBL218568,CC(=O)c1cc(NC(=O)NCCC[C@H]2C[C@H](Cc3ccc(F)cc3)CCN2CCO)cc(C(C)=O)c1,Ki,'=',1390.0,nM
CHEMBL219334,CCC(CC)C(c1ccc(Cl)cc1)C1CCCCN1,Ki,'=',970.0,nM
CHEMBL217975,COc1cccc(C(CC(C)C)C2CCCCN2)c1,Ki,'=',3800.0,nM
CHEMBL459176,Cn1ccc2cc(C3(Cc4ccccc4)CCNC3)ccc21,Ki,'=',1.0,nM
CHEMBL504231,c1ccc(CCC2(c3ccc4[nH]ccc4c3)CCNC2)cc1,Ki,'=',16.0,nM
CHEMBL486538,c1ccc(CC2(c3cnc4[nH]ccc4c3)CCNC2)cc1,Ki,'=',41.0,nM
CHEMBL528995,Clc1ccc(C23CNCC2C3)cc1Cl,Ki,'=',63.0,nM
CHEMBL370805,COC(=O)[C@H]1[C@@H](OC(=O)c2ccccc2)C[C@@H]2CC[C@H]1N2C,Ki,'=',1116.0,nM
CHEMBL457966,NCCC1CCC(CCc2ccc(O)cc2)O1,Ki,'=',5947.0,nM
CHEMBL562569,O=C(c1ccccc1C1CCCC1)N(CC1CCC1)[C@H]1CCNC1,Ki,'=',18.0,nM
CHEMBL561599,CC(c1ccccc1)N(c1ccc2[nH]ccc2c1)C1CCNCC1,Ki,'=',1584.89,nM
CHEMBL560999,O=C(C1CCC1)N(Cc1ccccc1C(F)(F)F)[C@H]1CCNC1,Ki,'=',148.0,nM
CHEMBL196365,CNCCCC1Cc2ccccc2N(c2ccccc2)C1=O,Ki,'=',8.0,nM
