"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type"
"CHEMBL332098";"";"None";"313.42";"0";"4.34";"3";"CNCC[C@H](Oc1cccc2cc(O)ccc12)c1cccs1";"Ki";"'='";"163.5";"nM";"6.79";"";"";"UO_0000065";"21.65";"0.42";"2.45";"16.36";"0";"CHEMBL675647";"Ability to inhibit [3H]mazindol binding to cloned human dopamine (DA) transporter; Average of two experiments";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL238";"Dopamine transporter";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1149199";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2004";"None";"";""
"CHEMBL1170794";"";"None";"305.43";"0";"3.20";"9";"Cn1ccc2cc(N3CCNCC3Cc3ccccc3)ccc21";"Ki";"'='";"125.89";"nM";"6.90";"";"";"UO_0000065";"22.59";"0.41";"3.70";"34.16";"0";"CHEMBL1174566";"Displacement of [3H]-Vanoxerine from DAT expressed in HEK293 cells by scintillation proximity assay";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"HEK293";"None";"";"";"";"CHEMBL238";"Dopamine transporter";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1177766";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2010";"CHEMBL3307715";"";""
"CHEMBL395368";"";"None";"428.62";"1";"5.19";"(+)/-12p";"CSc1ccc(C2CN(C)Cc3cc(OCCCN4CCC(F)CC4)ccc32)cc1";"Ki";"'='";"46.0";"nM";"7.34";"";"";"UO_0000065";"17.12";"0.33";"2.15";"46.70";"0";"CHEMBL885471";"Inhibition of [3H]WIN-uptake in human DAT expressed in CHO cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO";"None";"";"";"";"CHEMBL238";"Dopamine transporter";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1138430";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2007";"CHEMBL3308072";"";""
"CHEMBL226984";"";"None";"419.55";"1";"5.76";"4p";"Cc1ccc([C@H]2C[C@@H]3CC[C@H]([C@H]2c2ncc(-c4cccc([N+](=O)[O-])c4)s2)N3C)cc1";"Ki";"'='";"14.0";"nM";"7.85";"";"";"UO_0000065";"18.72";"0.36";"2.09";"13.25";"0";"CHEMBL890740";"Displacement of [125I]RTI-55 from human DAT expressed in HEK cells after 90 mins";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL238";"Dopamine transporter";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1146223";"1";"Scientific Literature";"J Med Chem";"2007";"CHEMBL3307715";"";""
"CHEMBL229381";"";"None";"409.00";"1";"6.51";"4l";"Cc1ccc([C@H]2C[C@@H]3CC[C@H]([C@H]2c2ncc(-c4ccc(Cl)cc4)s2)N3C)cc1";"Ki";"'='";"212.0";"nM";"6.67";"";"";"UO_0000065";"16.32";"0.33";"0.16";"41.37";"0";"CHEMBL890740";"Displacement of [125I]RTI-55 from human DAT expressed in HEK cells after 90 mins";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL238";"Dopamine transporter";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1146223";"1";"Scientific Literature";"J Med Chem";"2007";"CHEMBL3307715";"";""
"CHEMBL388612";"";"None";"463.86";"1";"7.50";"4i";"CN1[C@H]2CC[C@@H]1[C@@H](c1ncc(-c3ccc(Cl)c(Cl)c3)s1)[C@@H](c1ccc(Cl)cc1)C2";"Ki";"'='";"66.0";"nM";"7.18";"";"";"UO_0000065";"15.48";"0.34";"-0.32";"44.52";"0";"CHEMBL890740";"Displacement of [125I]RTI-55 from human DAT expressed in HEK cells after 90 mins";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL238";"Dopamine transporter";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1146223";"1";"Scientific Literature";"J Med Chem";"2007";"CHEMBL3307715";"";""
"CHEMBL390743";"";"None";"412.96";"1";"6.34";"4b";"CN1[C@H]2CC[C@@H]1[C@@H](c1ncc(-c3ccc(F)cc3)s1)[C@@H](c1ccc(Cl)cc1)C2";"Ki";"'='";"12.0";"nM";"7.92";"";"";"UO_0000065";"19.18";"0.39";"1.58";"49.11";"0";"CHEMBL890740";"Displacement of [125I]RTI-55 from human DAT expressed in HEK cells after 90 mins";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL238";"Dopamine transporter";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1146223";"1";"Scientific Literature";"J Med Chem";"2007";"CHEMBL3307715";"";""
"CHEMBL1914696";"";"None";"420.78";"1";"5.18";"6a";"CN1C2CCC1[C@@H](CNc1cccc(Br)n1)[C@@H](c1ccc(Cl)cc1)C2";"Ki";"'='";"5.6";"nM";"8.25";"";"";"UO_0000065";"19.61";"0.45";"3.07";"29.30";"0";"CHEMBL1920093";"Displacement of [125I]-IPT from DAT transfected in pig LLC-PK1 cells by radioligand competition binding assay";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"LLC-PK1";"None";"";"";"";"CHEMBL238";"Dopamine transporter";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1914398";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2011";"CHEMBL3307655";"";""
"CHEMBL1914694";"";"None";"434.77";"0";"4.70";"5c";"CN1C2CCC1[C@@H](C(=O)Nc1ccnc(Br)c1)[C@@H](c1ccc(Cl)cc1)C2";"Ki";"'='";"82.2";"nM";"7.08";"";"";"UO_0000065";"16.30";"0.37";"2.39";"15.66";"0";"CHEMBL1920093";"Displacement of [125I]-IPT from DAT transfected in pig LLC-PK1 cells by radioligand competition binding assay";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"LLC-PK1";"None";"";"";"";"CHEMBL238";"Dopamine transporter";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1914398";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2011";"CHEMBL3307655";"";""
"CHEMBL2079586";"";"None";"277.34";"0";"2.57";"beta-CFT";"COC(=O)[C@H]1[C@@H](c2ccc(F)cc2)C[C@H]2CC[C@H]1N2C";"Ki";"'='";"14.7";"nM";"7.83";"";"";"UO_0000065";"28.24";"0.53";"5.26";"26.52";"0";"CHEMBL1920093";"Displacement of [125I]-IPT from DAT transfected in pig LLC-PK1 cells by radioligand competition binding assay";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"LLC-PK1";"None";"";"";"";"CHEMBL238";"Dopamine transporter";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1914398";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2011";"CHEMBL3307655";"";""
