compound_id,base_rdkit_smiles,relation,avg_pKi,active
CHEMBL2113217,C#CCC(C(=O)c1ccc(C)cc1)N1CCCC1,,5.636388020107856,0
CHEMBL220765,C#CCN1CC[C@@H](Cc2ccc(F)cc2)C[C@@H]1CCCNC(=O)Nc1cc(C(C)=O)cc(C(C)=O)c1,,6.20690839982342,0
CHEMBL1945248,C#CCN1[C@H]2CC[C@@H]1[C@@H](C(=O)OC)[C@@H](c1ccc(I)cc1)C2,,7.849857838151442,0
CHEMBL1479,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=Cc5oncc5C[C@]4(C)[C@H]3CC[C@@]21C,,5.264720551939544,0
CHEMBL691,C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C,,6.35261702988538,0
CHEMBL330666,C#Cc1ccc(C2CN3CCCC3c3ccccc32)cc1,,8.2839966563652,1
CHEMBL286312,C#Cc1ccc([C@@H]2CN3CCC[C@@H]3c3ccccc32)cc1,,8.795880017344075,1
CHEMBL394158,C#Cc1ccc([C@@H]2C[C@H]3CC[C@@H](N3)[C@H]2C(=O)OC)cc1,,8.645891560852599,1
CHEMBL4227753,C#Cc1ccc([C@H]2CN3CCC[C@H]3c3ccccc32)cc1,,7.129011186239425,0
CHEMBL43064,C(=C/c1ccccc1)\CN1CCN(C(c2ccccc2)c2ccccc2)CC1,,5.884722408604098,0
CHEMBL232498,C/C=C/C1=C(c2ccc(Cl)c(Cl)c2)CCCC1,,4.667679012221937,0
CHEMBL1945246,C/C=C/CN1[C@H]2CC[C@@H]1[C@@H](C(=O)OC)[C@@H](c1ccc(I)cc1)C2,,7.819874124835946,0
CHEMBL2326690,C1=CCC(c2cc3ccccc3o2)CNC1,,7.638272163982407,0
CHEMBL2322001,C1=CCC(c2ccc3ccccc3c2)CNC1,,8.0,1
CHEMBL2432039,C1C2C3CC4C2C2C1C3[C@H](NCC13C5C6C7C5C1C7C63)C42,,6.899629454882437,0
