"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type"
"CHEMBL402851";"";"None";"261.75";"0";"4.19";"10";"CN(C)Cc1ccccc1Oc1ccccc1Cl";"IC50";"'='";"282.0";"nM";"6.55";"";"";"UO_0000065";"25.02";"0.50";"2.36";"52.52";"0";"CHEMBL948896";"Inhibition of [3H]5HT uptake at human 5HT transporter expressed in HEK293 cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL228";"Serotonin transporter";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1141595";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2008";"CHEMBL3307715";"";""
"CHEMBL256816";"";"None";"282.17";"0";"4.51";"18";"CNCc1ccccc1Oc1ccc(Cl)cc1Cl";"IC50";"'='";"56.0";"nM";"7.25";"";"";"UO_0000065";"25.70";"0.55";"2.74";"34.11";"0";"CHEMBL948896";"Inhibition of [3H]5HT uptake at human 5HT transporter expressed in HEK293 cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL228";"Serotonin transporter";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1141595";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2008";"CHEMBL3307715";"";""
"CHEMBL399740";"";"None";"738.62";"2";"9.56";"10";"CN1C2CCC1[C@@H](COC(=O)CCCCCCC(=O)OC[C@@H]1C3CCC(C[C@@H]1c1ccc(Cl)c(Cl)c1)N3C)[C@@H](c1ccc(Cl)c(Cl)c1)C2";"IC50";"'='";"31.0";"nM";"7.51";"";"";"UO_0000065";"10.17";"0.21";"-2.05";"12.71";"0";"CHEMBL948024";"Displacement of [3H]-citalopram from human SERT expressed in HEK293 cell membrane";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL228";"Serotonin transporter";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1143239";"1";"Scientific Literature";"Bioorg Med Chem";"2008";"CHEMBL3307715";"";""
"CHEMBL2114227";"";"None";"342.22";"0";"2.91";"19";"COC(=O)[C@@H]1C[C@@H](c2ccc(Cl)c(Cl)c2)C2CC(=O)C1N2C";"IC50";"'='";"290.0";"nM";"6.54";"";"";"UO_0000065";"19.10";"0.41";"3.63";"14.03";"0";"CHEMBL882391";"Inhibition of [3H]citalopram binding to the serotonin transporter in rhesus (Macaca mulatta) or cynomolgus monkey (Macaca fascicularis) caudate-putamen.";"B";"BAO_0000221";"tissue-based format";"Cercopithecidae";"CHEMBL3638267";"Caudate-putamen";"None";"None";"";"";"";"CHEMBL228";"Serotonin transporter";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1134553";"1";"Scientific Literature";"J Med Chem";"2001";"None";"";""
"CHEMBL41";"FLUOXETINE";"4.0";"309.33";"0";"4.44";"Fluoxetine";"CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1";"IC50";"'='";"10.0";"nM";"8.00";"";"";"UO_0000065";"25.86";"0.50";"3.56";"37.63";"0";"CHEMBL966884";"Inhibition of serotonin uptake at human SERT expressed in human JAR cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"JAR";"None";"";"";"";"CHEMBL228";"Serotonin transporter";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1138600";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2009";"CHEMBL3307657";"";""
"CHEMBL467512";"";"None";"300.40";"0";"2.45";"10j";"CNC[C@@H](O)[C@H](c1ccccc1)N(C)c1cccc(OC)c1";"IC50";"'='";"17.0";"nM";"7.77";"";"";"UO_0000065";"25.86";"0.48";"5.32";"17.37";"0";"CHEMBL966884";"Inhibition of serotonin uptake at human SERT expressed in human JAR cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"JAR";"None";"";"";"";"CHEMBL228";"Serotonin transporter";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1138600";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2009";"CHEMBL3307657";"";""
"CHEMBL506874";"";"None";"320.44";"0";"3.60";"10l";"CNC[C@@H](O)[C@H](c1ccccc1)N(C)c1cccc2ccccc12";"IC50";"'='";"836.0";"nM";"6.08";"";"";"UO_0000065";"18.97";"0.35";"2.48";"17.12";"0";"CHEMBL966884";"Inhibition of serotonin uptake at human SERT expressed in human JAR cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"JAR";"None";"";"";"";"CHEMBL228";"Serotonin transporter";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1138600";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2009";"CHEMBL3307657";"";""
"CHEMBL247733";"";"None";"288.44";"0";"2.65";"12b";"Cc1cccc(CN(C2CCOCC2)[C@H]2CCNC2)c1C";"IC50";"'='";"9.0";"nM";"8.05";"";"";"UO_0000065";"27.89";"0.52";"5.40";"32.84";"1";"CHEMBL902422";"Inhibition of [3H]5-HT from human SERT expressed in HEK293 cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL228";"Serotonin transporter";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1139125";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2007";"CHEMBL3307715";"";""
"CHEMBL316342";"";"None";"315.20";"0";"3.82";"6h (O-1114)";"COC(=O)C1C2CCC(CC1c1ccc(Cl)c(Cl)c1)O2";"IC50";"'='";"58.0";"nM";"7.24";"";"";"UO_0000065";"22.96";"0.49";"3.42";"20.37";"0";"CHEMBL801382";"Inhibition of [3H]citalopram binding to the serotonin transporter (5-HT) in monkey caudate-putamen.";"B";"BAO_0000221";"tissue-based format";"Cercopithecidae";"CHEMBL3638267";"Caudate-putamen";"None";"None";"";"";"";"CHEMBL228";"Serotonin transporter";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1130119";"1";"Scientific Literature";"J Med Chem";"1997";"None";"";""
"CHEMBL226984";"";"None";"419.55";"1";"5.76";"4p";"Cc1ccc([C@H]2C[C@@H]3CC[C@H]([C@H]2c2ncc(-c4cccc([N+](=O)[O-])c4)s2)N3C)cc1";"IC50";"'='";"2380.0";"nM";"5.62";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL890744";"Inhibition of human SERT in HEK cells assessed as [3H]serotonin reuptake";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL228";"Serotonin transporter";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1146223";"1";"Scientific Literature";"J Med Chem";"2007";"CHEMBL3307715";"";""
