compound_id,base_rdkit_smiles,avg_pKi,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
CHEMBL451652,COc1ccc(C2CCC(CN)O2)cc1,5.162600975657978,8.458418957860921,-3.7750773573318233,8.458418957860921,0.7619374658597242,0.8225861162585166,207.27300000000014,190.13699999999997,207.125928784,82,0,0.11848129249287172,-0.49676819179251647,0.49676819179251647,0.11848129249287172,1.8,2.6666666666666665,3.4,2.8873313584358256,900.0825788193058,25.45566544670048,24.263710176427686,7.263710176427685,14.010360346571066,12.184530569677623,3.7901033786777054,2.428299979802716,2.428299979802716,1.5264176815920534,1.5264176815920534,0.8965209134119925,0.8965209134119925,-1.06,2142617.147871348,2.288028884778872,4.639729076899705,2.3015953784577294,114.18281757570333,15.193442883326371,8.573195989940306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.08483741532659,30.394138709682345,14.721411021337264,31.53481551831454,32.85878840680979,0.0,0.0,0.0,5.719716975726273,24.905885856558733,13.534812143198533,29.733126322350174,0.0,5.749511833283905,10.456579929526322,0.0,5.749511833283905,0.0,19.614830170148522,4.736862953800049,0.0,44.950697663859074,24.16967483065318,2.8236841566564013,0.0,0.0,44.480000000000004,79.64305313111763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.736862953800049,28.121925453009744,141.1875977634128,0.0,0.0,0.0,-2.0205457425037148,-1.0649291776895937,-4.842313135130595,-14.878497850529106,-3.6855837430817147,-3.1957281144781158,0.5,15,2,3,0,1,1,1,0,1,3,1,3,5,0,1,1,2,1.8739999999999999,58.896400000000035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHEMBL516094,CN(C)C(=O)N(Cc1ccccc1-c1ccccc1)[C@H]1CCNC1,5.300162274132754,14.21032690160035,-4.575295322604351,14.21032690160035,0.8381389602060598,0.9377137346264125,323.43999999999954,298.24,323.1997624200007,126,0,0.31957945534390186,-0.3307553867085229,0.3307553867085229,0.31957945534390186,1.375,2.125,2.8333333333333335,2.7601821005599416,1672.3229029755148,38.73760430703402,36.74988907696374,11.749889076963738,21.621578903249574,18.69019212273172,6.242978527231764,4.124214972334929,4.124214972334929,2.6592962785224867,2.6592962785224867,1.6656789151881035,1.6656789151881035,-2.329999999999999,4102307565.5731034,3.9085635002215717,7.49291709706352,3.595229445039978,178.81557384769675,15.109632814989332,1.4118420783282006,0.0,0.0,0.0,6.031114512338072,0.0,4.794537184071822,0.0,0.0,54.38176836896965,29.56013906073631,49.4123683115887,16.44910267404264,39.10458461048531,6.031114512338072,0.0,15.109632814989332,0.0,18.88767705399497,26.94537316919638,59.94521986066665,0.0,11.126902983393991,5.309813353288376,4.794537184071822,0.0,0.0,48.79419961158505,6.496859684315945,0.0,44.83458174111168,54.38176836896965,1.4118420783282006,11.126902983393991,0.0,35.580000000000005,138.0459203945794,4.794537184071822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.310047426413476,205.37605763006533,0.0,12.08348855012365,-0.8381389602060598,-4.223239441609977,0.0,-18.64030755519099,-4.327926744880434,-21.013266811634875,0.0,0.35,24,1,4,0,1,1,2,0,2,2,1,4,6,0,1,1,3,3.1991000000000014,97.77870000000006,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CHEMBL1221,Clc1ccc(CSC(Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1,7.1249387366083,9.260330985274766,-3.4840986963200935,9.260330985274766,0.15271484210968356,0.4710605975806781,397.75799999999975,382.63800000000003,396.00215252000044,124,0,0.10430135477809117,-0.3360400174100837,0.3360400174100837,0.10430135477809117,1.1666666666666667,1.9166666666666667,2.625,2.48390397123653,1454.0686013048064,30.15181786940711,26.43656890049146,14.520852319474551,17.645182265363854,13.5932289887276,8.043618988683008,3.982818792102631,5.933208792058039,2.3939899111226874,3.861149340118121,1.4283792683657384,2.7034996775241655,-1.1299999999999997,108462640.6424143,6.881312159552407,8.303540110509548,4.700155880145588,181.38666397189837,4.567099647791355,1.3707585561702202,0.0,0.0,0.0,0.0,0.0,4.9839785209472085,0.0,11.761884949391115,52.930075793687436,35.29657781404717,48.95377227001413,21.381715831838644,20.561378342553297,46.56470462008866,0.0,9.551078168738563,0.0,17.427806238649964,0.0,87.14089601385677,0.0,0.0,0.0,0.0,0.0,46.56470462008866,9.551078168738563,12.201816569466104,0.0,36.914270995131155,60.946093089238815,15.067899941223978,0.0,0.0,17.82,104.56870225250677,1.3707585561702202,0.0,16.32898459718247,0.0,0.0,0.0,0.0,0.0,4.9839785209472085,53.99343945708067,125.01533863350738,17.623197791773784,3.377071252360754,-5.38966370917309,-5.114442825998711,0.0,-6.205052042302821,-2.90568373718055,-3.4840986963200935,0.0,0.16666666666666666,24,0,2,0,0,0,2,1,3,3,0,6,6,0,0,0,3,6.518000000000003,104.17700000000002,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
CHEMBL190860,CN(C)Cc1ccccc1Sc1ccc(F)cc1N,8.835647144215564,14.217318011941027,-3.6422465410955223,14.217318011941027,0.04134212018140504,0.8648189570197108,276.3799999999996,259.2439999999999,276.1096477640005,100,0,0.15625522182632,-0.3977271912264025,0.3977271912264025,0.15625522182632,1.368421052631579,2.210526315789474,3.0,3.056834818113226,1179.0341366852547,28.290010549841313,26.18063995447301,9.997136535400733,16.078033144536573,13.13608490896831,5.558154298896119,3.1201129928343794,4.140733718994037,1.8098241881078851,2.8196699345691045,1.1068264957049978,1.861517060626303,-1.5199999999999998,14472810.666779028,3.7712786345166123,6.08275427644793,3.7193273675436243,140.97230523158782,10.619626706576751,5.817220841045895,2.8236841566564013,0.0,0.0,0.0,0.0,4.39041504767482,0.0,0.0,29.889141072381,43.68478012291467,32.94128135939681,9.59530989319154,27.775477546884513,17.44927122407468,0.0,4.899909730850478,0.0,16.287826635351493,19.671370776290765,53.67760328638595,0.0,0.0,5.719716975726273,10.077801322358383,0.0,11.761884949391115,18.85156353141497,6.496859684315945,5.817220841045895,26.124829834250292,52.08789790467861,2.8236841566564013,0.0,0.0,29.259999999999998,94.504379727836,4.39041504767482,0.0,17.48160192511739,0.0,0.0,0.0,0.0,0.0,0.0,23.385062499209695,147.08169423895208,0.04134212018140504,-2.1323638930880993,0.0,-2.385652006172839,-1.5644938601078124,-7.540563822751324,0.0,-10.916629443680087,0.0,0.2,19,2,2,0,0,0,2,0,2,3,1,4,7,0,0,0,2,3.620700000000002,78.76840000000003,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHEMBL606809,CN1C2CCC1[C@@H](C(=O)OCCCCCn1ccnn1)[C@@H](c1ccc(Cl)cc1)C2,7.698970004336019,14.645124865311473,-5.121772929901994,14.645124865311473,0.3305630749305828,0.48193591224035365,416.95299999999963,387.7210000000002,416.1979038480008,156,0,0.31065185896302067,-0.4654117891804976,0.4654117891804976,0.31065185896302067,1.4137931034482758,2.2758620689655173,3.0344827586206895,2.1515671508830647,2039.8869786162584,45.97217330464553,42.98331543593679,14.739244381955242,25.34581788973742,22.042995458700283,7.920959931709511,5.049843967026687,5.427808440035914,3.346966308724757,3.5359485452293704,2.181287440568332,2.275778558820638,-1.9199999999999995,228506017496.51724,5.276948562224019,9.264269687287662,4.641438745900099,217.46367135786934,4.736862953800049,0.0,0.0,0.0,0.0,5.969305287951849,14.376249850067484,0.0,0.0,5.098681808301038,28.89916240121397,62.8616652152821,61.66654339816864,32.333423700796324,49.283398266808284,17.570245178184365,0.0,19.89377956995157,5.893957685363079,62.66415171435458,13.534812143198534,47.10155005772102,0.0,0.0,0.0,0.0,0.0,11.600939890232516,51.43368193780124,16.028259822187813,5.893957685363079,89.44695671397268,36.5154652522827,5.022633313741326,0.0,0.0,60.25,140.06368661943958,8.906812852582483,0.0,4.681802935145185,0.0,0.0,0.0,0.0,0.0,15.048929857755954,47.24066235065827,250.53889476213624,5.847130695230926,13.681029042916583,4.953133925446964,-1.8962819626188032,-13.060179427349624,-15.496729995539734,-30.3321669430301,-13.373718986081492,0.0,0.5909090909090909,29,0,6,0,2,2,1,1,2,6,0,7,9,0,2,2,4,3.911500000000003,111.70500000000006,0,0,0,0,0,3,0,0,0,0,1,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHEMBL894,CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1,5.0,13.336303697404883,-4.410571499433108,13.336303697404883,0.9146000645628616,0.8204937720146613,239.74600000000012,221.60199999999995,239.107691876,88,0,0.17900807689284562,-0.30264536022536415,0.30264536022536415,0.17900807689284562,1.6875,2.4375,3.0625,4.265942187627526,909.4669549430221,27.61880215351701,25.73342635897305,8.489355304991502,14.740810621445155,12.78753357273646,4.21828445024573,2.6889267749864816,3.0668912479957093,1.3161379702599878,1.5051202067646017,0.7712787956953213,0.9130154730737817,-0.86,2988495.1792928185,2.756256848562945,4.980637186859673,3.950731413547198,127.34817406606558,5.309813353288376,1.4118420783282006,5.783244946364939,0.0,0.0,0.0,4.794537184071822,0.0,0.0,0.0,23.685777305559107,39.4924058845093,32.574112731864304,12.871685249200745,29.50927471729376,17.384184836597456,0.0,5.309813353288376,0.0,38.96438618991571,0.0,34.7557596360915,0.0,0.0,5.309813353288376,0.0,0.0,11.600939890232516,17.34006266709793,0.0,0.0,61.06845259984533,24.16967483065318,6.434475392069527,0.0,0.0,29.1,84.81320412566052,4.794537184071822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.31567742345446,139.02386652809273,5.692863297325101,13.336303697404883,-2.073732638888889,-5.822700656651551,-2.2546064814814812,-8.866098041068282,0.0,-16.758117926954736,0.0,0.46153846153846156,16,1,2,0,0,0,1,0,1,2,1,3,4,0,0,0,1,3.2993000000000023,68.13320000000003,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHEMBL245715,COc1cccc(OC(CCN(C)C)c2ccc(OCCCN3CCCCC3)cc2)c1,7.958607314841775,9.360646718173879,-4.859559325175745,9.360646718173879,1.133369215768397,0.44521565609569486,426.6009999999995,388.2970000000002,426.2882430760011,170,0,0.12493825843261504,-0.49662480610495985,0.49662480610495985,0.12493825843261504,1.1290322580645162,1.935483870967742,2.7096774193548385,2.531061408996118,2256.826205868135,55.204224112214405,53.119172062391506,15.119172062391506,29.924933138852115,26.816385657891466,7.816385657891464,4.842778860141483,4.842778860141483,2.82791008310161,2.82791008310161,1.663911211550354,1.663911211550354,-2.2399999999999998,10323551037122.559,4.687659620549984,12.57473751968552,8.0757439907522,240.84103780888842,24.010408323101103,23.328553526801702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.500181024319264,75.7972741955347,58.307268325709906,32.78755748818195,66.29941399586858,0.0,0.0,9.799819461700956,0.0,37.944642533596884,53.536030239627145,53.90280115300335,0.0,17.248535499851716,14.210588861400147,0.0,17.248535499851716,0.0,63.3358497013281,0.0,0.0,95.5969191597622,48.33934966130636,0.0,0.0,0.0,34.17,172.4318288877801,1.3707585561702202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.736862953800049,60.1917924858983,327.71568395746255,0.0,-2.269747407522155,0.0,-2.027154578229859,-5.173427351030966,-13.927728822953295,-27.14102585063377,-31.58357273067302,-3.593027216419472,0.5384615384615384,31,0,5,0,1,1,2,0,2,5,0,5,15,0,1,1,3,5.021800000000005,126.37900000000008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHEMBL1079263,O=C(c1cccc(Cl)c1Cl)N(C1=CCOC=C1)[C@H]1CCNC1,8.221848749616356,14.01065365961199,-3.992025502330562,14.01065365961199,0.3774127614008571,0.9193846863542028,339.2219999999998,323.0940000000001,338.0588831120005,116,0,0.2596355377390371,-0.49697431820800847,0.49697431820800847,0.2596355377390371,1.5909090909090908,2.4545454545454546,3.227272727272727,2.573431685157595,1285.6092638570137,29.712660280651683,26.466852717946097,11.978710609983006,16.94000491133265,13.555584492954877,6.364299843473372,3.7323372440155027,4.488266190033957,2.4690476814228774,3.227217558398696,1.554091182351773,1.871152528209488,-1.4900000000000002,50529664.19662082,5.264209467558799,6.732452539838394,2.997785428932902,161.41883616408475,14.946586037938904,9.34158587741471,0.0,0.0,5.907179729351506,0.0,4.794537184071822,0.0,0.0,0.0,29.24429848812833,37.05876549304305,20.418450334393096,38.83081112451354,31.504620558753363,29.10905950981654,0.0,10.209723084138854,0.0,12.390817369679024,19.55270461154818,57.77528913491897,0.0,0.0,5.309813353288376,0.0,0.0,23.20187978046503,36.3776865400998,4.736862953800049,0.0,37.292291919651504,42.16657101573932,11.457108705810853,0.0,0.0,41.57,100.93580419878606,4.794537184071822,0.0,4.899909730850478,0.0,0.0,0.0,0.0,0.0,4.736862953800049,45.17510020134655,134.33805748019373,11.962519246381678,13.633240898211133,-2.2783707500489907,-2.5928361992945317,-1.9312499999999992,-9.779035060783574,-5.245906718911846,-10.800863340192045,0.0,0.3125,22,1,4,0,2,2,1,0,1,3,1,6,3,0,1,1,3,3.2253000000000016,87.08120000000002,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHEMBL264418,Fc1cccc(O[C@H](c2ccccc2)[C@H]2CNCCO2)c1F,7.920818753952375,14.9277462968212,-4.220181996409676,14.9277462968212,0.7779515726043504,0.9414673102216793,305.32399999999967,288.188,305.12273522400045,116,0,0.20013334948899003,-0.47975361658630983,0.47975361658630983,0.20013334948899003,1.3636363636363635,2.1818181818181817,3.0,2.5501198293381697,1315.6714140135832,30.419767061838233,27.519639122446137,10.519639122446138,17.435786827114008,14.08888824493687,5.641674649436911,3.6319333231778876,3.6319333231778876,2.289834689609878,2.289834689609878,1.394474364484494,1.394474364484494,-1.9799999999999998,82300842.02179149,4.756752643770321,6.853283695835021,3.259265424758884,151.35795532758019,14.783539260888475,7.491860105278189,17.646750701279785,5.817220841045895,0.0,0.0,0.0,4.39041504767482,4.39041504767482,0.0,36.25451224597977,17.648288907023584,18.47675359331277,23.008087916958925,41.59853498000147,0.0,0.0,5.309813353288376,0.0,12.160036053899976,19.55270461154818,65.53724283509514,0.0,5.749511833283905,10.046676307088426,8.78083009534964,5.749511833283905,0.0,25.63272263849817,4.736862953800049,11.63444168209179,33.5756064173705,48.33934966130636,1.4118420783282006,0.0,0.0,30.49,108.3093086871156,8.78083009534964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.81770488465181,175.2401626951158,0.0,0.0,-0.7779515726043504,-1.5280324074074072,-6.145518943688588,-10.5550933686657,-8.380717238284205,-11.602849164465553,0.0,0.29411764705882354,22,1,3,0,1,1,2,0,2,3,1,5,4,0,1,1,3,3.0733000000000006,78.77870000000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHEMBL1744173,CCN(C)[C@H]1C[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc21,7.514362075630947,9.328830152431344,-4.085177867185972,9.328830152431344,0.6548587143509581,0.7193570582303349,320.2629999999997,301.11100000000005,319.0894549680005,110,0,0.06421096145199037,-0.29959611081209764,0.29959611081209764,0.06421096145199037,1.3333333333333333,2.142857142857143,2.9047619047619047,2.7671161309015693,1387.0524937954053,31.505553499465137,29.20314254151841,11.715000433555321,17.67820323027551,15.048784866259163,6.304713812277618,3.923784866259164,4.679713812277619,2.7278118171563523,3.3914905758798657,1.8252249441590997,2.0614527397898668,-1.02,95948261.16796967,4.285919325000162,5.999549820263681,2.7047845542142053,162.7331244855665,0.0,0.0,0.0,0.0,0.0,0.0,4.899909730850478,0.0,0.0,0.0,60.265865436077185,48.620803376345144,26.99019427158514,21.01133507684441,26.044412567234176,23.20187978046503,0.0,4.899909730850478,0.0,25.13666717233778,13.47268658459819,69.0325520562167,0.0,0.0,0.0,0.0,0.0,23.20187978046503,18.372596315448668,0.0,0.0,67.87143421466298,42.29693095364306,10.045266627482652,0.0,0.0,3.24,112.54181554400317,2.7415171123404405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.5047752353588,157.81148497084618,11.920123044496766,-0.6924274236443546,-1.4229537687307348,-3.620114480977575,-3.5347384416729666,-11.804137377173092,-3.975828294280677,-11.959186006641296,0.0,0.3333333333333333,21,0,1,1,0,1,2,0,2,1,0,3,5,0,0,0,3,5.521800000000005,90.40900000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
