base_rdkit_smiles,compound_id,pIC50,relation,active
O=C(C(O)C1([C@H]2COC[C@@H](C3CC3)N2S(=O)(=O)c2ccc(Cl)cc2)CC1)N1CC2CCC(C1)N2,CHEMBL3909015,4.648733498080713,,1
COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1[N+](=O)[O-],CHEMBL193,4.8842177518064975,,1
CCN1C[C@H]2CCCC[C@@]2(c2ccc(Cl)c(Cl)c2)C1,CHEMBL1813316,5.301029995663981,<,0
O=C(Nc1ccc(F)cn1)c1cc(Oc2cncc(F)c2)cn2cnnc12,CHEMBL4071447,4.749579997691106,,1
COc1ccccc1COCCCOc1ccc(N2C(=O)CNC[C@@H]2COc2ccc3c(c2)N(CCN(C)C(C)=O)CCC3)cc1,CHEMBL377512,7.744727494896693,,1
Cc1[nH]c2ccccc2c1CCN1Cc2ccc(/C=C/C(=O)NO)cc2C1,CHEMBL1088949,5.0,<,0
C[C@H](c1c(CCN(C)C)sc2ccccc12)n1cccn1,CHEMBL1093058,5.0,<,0
Cc1ccc(N/C=N/O)cc1,CHEMBL103320,4.0,<,0
CC(C)N1CCC(NC(=O)c2ccc(OC3CCN(C4CCC4)CC3)cc2)C1,CHEMBL3754205,4.5228787452803365,<,0
O=C(Cn1cnc([N+](=O)[O-])n1)N1CCN(Cc2ccc(Cl)c(Cl)c2)CC1,CHEMBL3633321,4.698970004336019,<,0
O=C(c1cccc(Cl)c1-n1nccn1)N1CCOC[C@H]1Cc1cc(-n2nccn2)ccc1F,CHEMBL3924060,4.5228787452803365,,1
Cc1cncc(-c2nnc3n2CCN(C(=O)c2ccc(-c4cccs4)cc2)[C@@H]3C)n1,CHEMBL3422008,5.698970004336019,,1
Cc1cccc(NC(=O)c2cc(Oc3cncc(F)c3)cc(C)n2)n1,CHEMBL4076771,4.5228787452803365,<,0
CCNc1nc(-c2ccoc2)c(-c2cnc3[nH]nc(C)c3n2)cc1OC[C@@H](N)Cc1ccccc1,CHEMBL593573,5.301029995663981,,1
C[C@]1(CS(=O)(=O)N2CCC(Oc3ccc(OCc4ccccn4)cc3)CC2)NC(=O)NC1=O,CHEMBL2409691,5.0,<,0
Cc1[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c(C)c1NC(=O)[C@H]1CCCN1,CHEMBL4093614,4.481486060122113,<,0
Cn1c(NCCc2ccc(Oc3ccc(Cl)cc3)cc2)nc2cc(Cl)ccc2c1=O,CHEMBL3948762,4.695736983211403,,1
