,Molecule_ChEMBL_ID,Molecule_Name,Molecule_Max_Phase,Molecular_Weight,#RO5_Violations,AlogP,Compound_Key,Smiles,Standard_Type,Standard_Relation,Standard_Value,Standard_Units,pChEMBL_Value,Data_Validity_Comment,Comment,Uo_Units,Ligand_Efficiency_BEI,Ligand_Efficiency_LE,Ligand_Efficiency_LLE,Ligand_Efficiency_SEI,Potential_Duplicate,Assay_ChEMBL_ID,Assay_Description,Assay_Type,BAO_Format_ID,BAO_Label,Assay_Organism,Assay_Tissue_ChEMBL_ID,Assay_Tissue_Name,Assay_Cell_Type,Assay_Subcellular_Fraction,Assay_Parameters,Assay_Variant_Accession,Assay_Variant_Mutation,Target_ChEMBL_ID,Target_Name,Target_Organism,Target_Type,Document_ChEMBL_ID,Source_ID,Source_Description,Document_Journal,Document_Year,Cell_ChEMBL_ID,Properties,Standard_Value_nM,base_rdkit_smiles
0,CHEMBL157217,,0.0,277.46,0.0,4.17,1j,c1nc(CCCCCCCCCCN2CCCC2)c[nH]1,Ki,'=',251188643150958.25,nM,,Outside typical range,,UO_0000065,,,,,False,CHEMBL692992,Inhibitory activity against human Histamine H1 receptor,B,BAO_0000357,single protein format,,,,,,,,,CHEMBL231,Histamine H1 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1145948,1,Scientific Literature,J. Med. Chem.,2003.0,,,251188643150958.25,c1nc(CCCCCCCCCCN2CCCC2)c[nH]1
2,CHEMBL444083,,0.0,562.66,2.0,5.04,1,NC(=O)N(O)CCC#Cc1ccc(OCCCCN2CCN(C(c3ccc(F)cc3)c3ccc(F)cc3)CC2)cc1,Ki,'=',3.63,nM,8.44,,,UO_0000065,15.0,0.28,3.4,10.26,False,CHEMBL828761,Binding affinity for recombinant human Histamine H1 receptor expressed in CHO K1 cells,B,BAO_0000219,cell-based format,Homo sapiens,,,CHO,,,,,CHEMBL231,Histamine H1 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1141893,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2005.0,CHEMBL3308072,,3.63,NC(=O)N(O)CCC#Cc1ccc(OCCCCN2CCN(C(c3ccc(F)cc3)c3ccc(F)cc3)CC2)cc1
3,CHEMBL101691,,0.0,428.55,0.0,3.1,33,O=C(c1ccc(OCCCN2CC[C@H](NS(=O)(=O)c3ccccc3)C2)cc1)C1CC1,Ki,'=',9100.0,nM,5.04,,,UO_0000065,11.76,0.23,1.94,6.66,False,CHEMBL691613,Binding affinity to the human Histamine H1 receptor,B,BAO_0000357,single protein format,,,,,,,,,CHEMBL231,Histamine H1 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1134928,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2002.0,,,9100.0,O=C(c1ccc(OCCCN2CC[C@H](NS(=O)(=O)c3ccccc3)C2)cc1)C1CC1
4,CHEMBL420108,,0.0,453.56,0.0,2.97,40,N#Cc1ccccc1S(=O)(=O)N[C@H]1CCN(CCCOc2ccc(C(=O)C3CC3)cc2)C1,Ki,'=',6200.0,nM,5.21,,,UO_0000065,11.48,0.22,2.24,5.23,False,CHEMBL691613,Binding affinity to the human Histamine H1 receptor,B,BAO_0000357,single protein format,,,,,,,,,CHEMBL231,Histamine H1 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1134928,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2002.0,,,6200.0,N#Cc1ccccc1S(=O)(=O)N[C@H]1CCN(CCCOc2ccc(C(=O)C3CC3)cc2)C1
6,CHEMBL172233,,0.0,324.44,0.0,4.49,20,CC(C1=C(CCN(C)CCF)Cc2ccccc21)c1ccccn1,Ki,'=',7.244,nM,8.14,,,UO_0000065,25.09,0.46,3.65,50.47,False,CHEMBL692990,Compound was evaluated for binding affinity towards cloned human histamine H1 receptors stably expressed in CHO-K1 cells using [3H]mepyramine,B,BAO_0000219,cell-based format,,,,CHO-K1,,,,,CHEMBL231,Histamine H1 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1136812,1,Scientific Literature,J. Med. Chem.,2003.0,CHEMBL3307512,,7.244,CC(C1=C(CCN(C)CCF)Cc2ccccc21)c1ccccn1
7,CHEMBL4553116,,0.0,312.46,0.0,3.15,2,C#CCNC1CCc2ccc(OCCCN3CCCCC3)cc21,Ki,,,,,,Not Determined,,,,,,False,CHEMBL4399685,Displacement of [3H] pyrilamine from human H1 histamine receptor,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL231,Histamine H1 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL4396932,1,Scientific Literature,Bioorg Med Chem Lett,2019.0,,,,C#CCNC1CCc2ccc(OCCCN3CCCCC3)cc21
8,CHEMBL294502,,0.0,374.53,0.0,3.77,30,CCCCCC(=O)c1ccc(OCCCN2CCN(C(=O)CC)CC2)cc1,Ki,'=',1905.46,nM,5.72,,,UO_0000065,15.27,0.29,1.95,11.47,False,CHEMBL692991,Binding affinity for the human Histamine H1 Receptor,B,BAO_0000357,single protein format,,,,,,,,,CHEMBL231,Histamine H1 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1135198,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2002.0,,,1905.46,CCCCCC(=O)c1ccc(OCCCN2CCN(C(=O)CC)CC2)cc1
9,CHEMBL106596,,0.0,336.44,0.0,3.45,22,N#Cc1ccc(-c2ccc(OCCCN3CCCC(O)C3)cc2)cc1,Ki,'=',7762.47,nM,5.11,,,UO_0000065,15.19,0.28,1.66,9.05,False,CHEMBL692986,Binding affinity of human cortical histamine H1 receptor,B,BAO_0000357,single protein format,,,,,,,,,CHEMBL231,Histamine H1 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1134931,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2002.0,,,7762.47,N#Cc1ccc(-c2ccc(OCCCN3CCCC(O)C3)cc2)cc1
10,CHEMBL153994,,0.0,319.45,0.0,3.98,18h,Cc1ccc(C(CCc2nc(CCN)c[nH]2)c2ccccc2)cc1,Ki,'=',316227766016837.94,nM,,Outside typical range,,UO_0000065,,,,,False,CHEMBL692992,Inhibitory activity against human Histamine H1 receptor,B,BAO_0000357,single protein format,,,,,,,,,CHEMBL231,Histamine H1 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1145948,1,Scientific Literature,J. Med. Chem.,2003.0,,,316227766016837.94,Cc1ccc(C(CCc2nc(CCN)c[nH]2)c2ccccc2)cc1
14,CHEMBL274768,,0.0,319.45,0.0,4.07,18d,NCCc1c[nH]c(CCCC(c2ccccc2)c2ccccc2)n1,Ki,'=',630957344480194.2,nM,,Outside typical range,,UO_0000065,,,,,False,CHEMBL692992,Inhibitory activity against human Histamine H1 receptor,B,BAO_0000357,single protein format,,,,,,,,,CHEMBL231,Histamine H1 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1145948,1,Scientific Literature,J. Med. Chem.,2003.0,,,630957344480194.2,NCCc1c[nH]c(CCCC(c2ccccc2)c2ccccc2)n1
