,Ambit_InchiKey,Original_Entry_ID,Entrez_ID,Activity_Flag,pXC50,DB,Original_Assay_ID,Tax_ID,Gene_Symbol,Ortholog_Group,SMILES,base_rdkit_smiles
0,BAAHTFHSCKWFDS-UHFFFAOYNA-N,CHEMBL3238444,3269,N,4.53,chembl20,1338137,9606,HRH1,2055,N1(CCCCC1)CCCOC=2C=CC(=CC2)N3C(=NN=C3C)C,Cc1nnc(C)n1-c1ccc(OCCCN2CCCCC2)cc1
1,BACLISNXCXJOMR-ZYMSVLFVNA-N,CHEMBL559664,3269,A,7.4,chembl20,745951,9606,HRH1,2055,N1(C)C(=O)N(C(=CC1=O)N2CCN(CC2)CCCN3C4=C(SC5=C3C=CC=C5)C=CC(=C4)CC(=O)O)C,Cn1c(N2CCN(CCCN3c4ccccc4Sc4ccc(CC(=O)O)cc43)CC2)cc(=O)n(C)c1=O
2,BDMUROBIUYESLK-UHFFFAOYNA-N,CHEMBL157273,3269,A,6.4,chembl20,84547,9606,HRH1,2055,N=1C=CC(=CC1)CCCCCCCCCCCCN,NCCCCCCCCCCCCc1ccncc1
3,BDOFZYNAHBHVET-YLHGWYNBNA-N,CHEMBL1774498,3269,A,7.27,chembl20,745951,9606,HRH1,2055,C1CC=2C(N(CCCN3CCN(CCC3)C4=CC(N(C(N4C)=O)C)=O)C5=CC(=CC=C15)CC(=O)O)=CC=CC2,Cn1c(N2CCCN(CCCN3c4ccccc4CCc4ccc(CC(=O)O)cc43)CC2)cc(=O)n(C)c1=O
4,BDRCTGAXOWRNQU-UHFFFAOYNA-N,CHEMBL271073,3269,A,5.6,chembl20,465005,9606,HRH1,2055,O1C=NC(C)=C1C=2N(C(SCCCCN3CCC=4C(=CC5=C(OC(=N5)C)C4)CC3)=NN2)C,Cc1nc2cc3c(cc2o1)CCN(CCCCSc1nnc(-c2ocnc2C)n1C)CC3
5,BDSUMBDGCUOHGR-UHFFFAOYNA-N,120445,3269,A,7.1549,pubchem,454690,9606,HRH1,2055,N(CCCC(C1=CC=CC=C1)C2=CC=CC=C2)(C)C,CN(C)CCCC(c1ccccc1)c1ccccc1
6,BDSYECBSUUOPCT-UHFFFAOYNA-N,CHEMBL222301,24448,A,5.85,chembl20,428742,10116,HRH1,2055,C1(CCN(CC1)CC2CC2(C3=CC=C(C=C3)C)C(=O)OC)(C4=CC=CC=C4)O,COC(=O)C1(c2ccc(C)cc2)CC1CN1CCC(O)(c2ccccc2)CC1
7,BEAHZBHBRZMAIL-WNZYNEPFNA-N,49836526,3269,A,7.5000399999999985,pubchem,537324,9606,HRH1,2055,O=C(O)CC1CN(C2C[C@]3(CC2)CC=4C(CC=5C3=CC=CC5)=CC=CC4)CC1,O=C(O)CC1CCN(C2CC[C@]3(Cc4ccccc4Cc4ccccc43)C2)C1
8,AYPGYVOWMUSFPT-INJWHBOMNA-N,CHEMBL2158790,3269,A,7.5,chembl20,856370,9606,HRH1,2055,C([C@@](C)(N1CCC(CN2CCC(OC=3C=CC(=C(C3C)Cl)Cl)CC2)CC1)CC4=CC=C(C=C4)F)(O)=O,Cc1c(OC2CCN(CC3CCN([C@@](C)(Cc4ccc(F)cc4)C(=O)O)CC3)CC2)ccc(Cl)c1Cl
9,AYWYOYAKLYFQAR-LJQZMZBDNA-N,CHEMBL1278113,3269,A,7.0,chembl20,685205,9606,HRH1,2055,[C@@]12(C3=C(C=CC=C3)CC4=C(C1)C=CC=C4)CCC(C2)N5CC(NCC5)C(=O)O,O=C(O)C1CN(C2CC[C@]3(Cc4ccccc4Cc4ccccc43)C2)CCN1
10,BDDPDGBPFDDYBY-UHFFFAOYNA-N,54582000,3269,A,5.5544,pubchem,600300,9606,HRH1,2055,N1(C2CCN(CC2)C)CC3=C(N(C4=C3C=C(C=C4)C)CCC5=CC=CN=C5)CC1,Cc1ccc2c(c1)c1c(n2CCc2cccnc2)CCN(C2CCN(C)CC2)C1
11,BFIAPIAYPVHYPQ-UHFFFAOYNA-N,CHEMBL256481,3269,A,5.6,chembl20,465005,9606,HRH1,2055,C=1(C=CC=C2C1C=CC(=N2)C)C=3N(C)C(=NN3)SCCCCN4CCC5=C(C6=C(C=C5CC4)N=C(O6)C)C,Cc1ccc2c(-c3nnc(SCCCCN4CCc5cc6nc(C)oc6c(C)c5CC4)n3C)cccc2n1
12,BHMPPLVSPUZBNL-UHFFFAOYNA-N,CHEMBL1092812,3269,A,6.92,chembl20,624292,9606,HRH1,2055,C1=CC=C2C(=C(CCN(C)C)SC2=C1)C(C)C=3C=CC(=NC3)OC,COc1ccc(C(C)c2c(CCN(C)C)sc3ccccc23)cn1
13,BHVDELPYDQJPHR-UHFFFAOYNA-N,CHEMBL15637,24448,A,7.0,chembl20,84709,10116,HRH1,2055,C1(N(C=2C=CC(=CC2S1)CCCCN3CCN(CC3)CC4=C(C=C(C=C4)Cl)Cl)C)=O,Cn1c(=O)sc2cc(CCCCN3CCN(Cc4ccc(Cl)cc4Cl)CC3)ccc21
14,BETHXCLHMRGYBW-UHFFFAOYNA-N,CHEMBL150161,3269,A,6.59,chembl20,490811,9606,HRH1,2055,N1(CC(CC1)(C2=CC=C(C=C2)Cl)O)CCCC(=O)C3=CC=C(F)C=C3,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)C1)c1ccc(F)cc1
15,BEYBSSSCFNIKNG-UHFFFAOYNA-N,CHEMBL94834,3269,A,8.2,chembl20,84418,9606,HRH1,2055,C=1(N(C2=CC=CC=C2N1)CC=3C=CC(=CC3)F)C(C4CCN(CC4)CCC5(CN(C(C=6C=C(OC)C(=C(C6)OC)OC)=O)CC5)C=7C=CC(C(F)(F)F)=CC7)=O,COc1cc(C(=O)N2CCC(CCN3CCC(C(=O)c4nc5ccccc5n4Cc4ccc(F)cc4)CC3)(c3ccc(C(F)(F)F)cc3)C2)cc(OC)c1OC
16,BFCDFTHTSVTWOG-UHFFFAOYNA-N,5354,3269,A,5.28594,pubchem,625269,9606,HRH1,2055,S(C1=CC=C(C(O)C(NCCCCCCCC)C)C=C1)C(C)C,CCCCCCCCNC(C)C(O)c1ccc(SC(C)C)cc1
17,BFCDFTHTSVTWOG-YLJYHZDGNA-N,CHEMBL588119,3269,A,5.61,chembl20,774767,9606,HRH1,2055,CCCCCCCCN[C@H](C)[C@@H](O)C1=CC=C(SC(C)C)C=C1,CCCCCCCCN[C@H](C)[C@@H](O)c1ccc(SC(C)C)cc1
18,BBPIYFSEHZGVJE-INIZCTEONA-N,CHEMBL1669420,3269,A,7.32,chembl20,718096,9606,HRH1,2055,C1=CC=C2C([C@H](C3=CN=CC=N3)C)=C(CC2=C1)CCN(CC=4SC=CN4)C,C[C@H](C1=C(CCN(C)Cc2nccs2)Cc2ccccc21)c1cnccn1
19,BBQVIKFUQPNVLK-LELJVTLKNA-N,46933091,3269,A,7.10002,pubchem,501928,9606,HRH1,2055,ClC=1N=C2N(CC=3C(C=C2N4CCN(CC4)CC(C)(C)C(O)=O)=CC=CC3)C1,CC(C)(CN1CCN(C2=Cc3ccccc3Cn3cc(Cl)nc32)CC1)C(=O)O
20,BATQCPTUBUKUDO-ANERHFIZNA-N,CHEMBL2158778,3269,A,6.4,chembl20,856370,9606,HRH1,2055,C1=C(C=CC(=C1)OC2CCN(CC2)CC3CCN(CC3)[C@@H](CC4=CC=C(C=C4)F)C(=O)O)Cl,O=C(O)[C@H](Cc1ccc(F)cc1)N1CCC(CN2CCC(Oc3ccc(Cl)cc3)CC2)CC1
21,BAZQBEOFVYAFHT-BIEYTDBTNA-N,CHEMBL565551,3269,A,6.09,chembl20,594567,9606,HRH1,2055,C=1(C(N(C)C)=NC(=NC1)N[C@H]2CC[C@H](CC2)NC(C=3C=CC(=CC3)F)=O)C,Cc1cnc(N[C@H]2CC[C@@H](NC(=O)c3ccc(F)cc3)CC2)nc1N(C)C
22,BAZQBEOFVYAFHT-DVIAZDKANA-N,23027527,3269,A,6.09151,pubchem,443389,9606,HRH1,2055,FC=1C=CC(C(=O)NC2CCC(NC=3N=C(N(C)C)C(=CN3)C)CC2)=CC1,Cc1cnc(NC2CCC(NC(=O)c3ccc(F)cc3)CC2)nc1N(C)C
23,ASARBMLXIRIMCK-SAQDHHBINA-N,CHEMBL1276860,3269,A,7.4,chembl20,685205,9606,HRH1,2055,C12(C3=C(CC4=C(C1)C=CC=C4)C=CC=C3)CCC(C2)N5C[C@@H]6[C@H](C5)[C@H]6C(=O)O,O=C(O)[C@@H]1[C@H]2CN(C3CCC4(Cc5ccccc5Cc5ccccc54)C3)C[C@H]21
24,ASARBMLXIRIMCK-TYWBQZETNA-N,49836527,3269,A,7.400010000000001,pubchem,537324,9606,HRH1,2055,O=C(O)C1[C@H]2[C@@H]1CN(C2)C3CC4(CC3)CC=5C(CC=6C4=CC=CC6)=CC=CC5,O=C(O)C1[C@H]2CN(C3CCC4(Cc5ccccc5Cc5ccccc54)C3)C[C@@H]12
25,AWYSEPZPTVMKBT-UHFFFAOYNA-N,CHEMBL540982,3269,A,7.96,chembl20,582981,9606,HRH1,2055,C1=CC=C2C(=C1)SC(=C2CC3=CC=C(C=C3)F)CCN(C)C,CN(C)CCc1sc2ccccc2c1Cc1ccc(F)cc1
26,AXIFLPLKZRNVDP-MRXNPFEDNA-N,CHEMBL1095819,3269,A,9.05,chembl20,796225,9606,HRH1,2055,C1=CC=C2C(=C1)N=C([C@@H]3CCCN(C3)C)N2CC4=CC=C(C=C4)F,CN1CCC[C@@H](c2nc3ccccc3n2Cc2ccc(F)cc2)C1
27,AXIFLPLKZRNVDP-UHFFFAOYNA-N,CHEMBL1087089,3269,A,9.3,chembl20,796225,9606,HRH1,2055,C1=CC=C2C(=C1)N=C(C3CCCN(C3)C)N2CC4=CC=C(C=C4)F,CN1CCCC(c2nc3ccccc3n2Cc2ccc(F)cc2)C1
28,AQQFXOLTZFTABW-UHFFFAOYNA-N,CHEMBL517244,3269,A,7.4,chembl20,540493,9606,HRH1,2055,C=1C2=C(C=CC1)C3C4=C(C2(CC3)CCCN(CC5=CC=C(C=C5)OCCCN6CCCCC6)C)C=CC=C4,CN(CCCC12CCC(c3ccccc31)c1ccccc12)Cc1ccc(OCCCN2CCCCC2)cc1
29,AQRDKFVOYVDLCT-UHFFFAOYNA-N,CHEMBL3094114,3269,A,6.0,chembl20,1280381,9606,HRH1,2055,C1(COC2=CC=C3C(=C2)CCN(CC3)CC4CC4)=CC=CC=C1,c1ccc(COc2ccc3c(c2)CCN(CC2CC2)CC3)cc1
30,AQVKRBFXFFKXJV-AOYCEVKUNA-N,CHEMBL2158791,3269,A,6.8,chembl20,856370,9606,HRH1,2055,C([C@@](C)(N1CCC(CN2CCC(OC=3C=CC(=CC3C)Cl)CC2)CC1)CC4=CC=C(C=C4)F)(O)=O,Cc1cc(Cl)ccc1OC1CCN(CC2CCN([C@@](C)(Cc3ccc(F)cc3)C(=O)O)CC2)CC1
31,ARFONFXLNJVMPP-UHFFFAOYNA-N,45485493,3269,N,,pubchem,448777,9606,HRH1,2055,OC(C1CCN(CC1)C(=O)CCCC2=CC=C(C=C2)C)(C3=CC=CC=C3)C4=CC=CC=C4,Cc1ccc(CCCC(=O)N2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1
