Ambit_InchiKey,Original_Entry_ID,Entrez_ID,Activity_Flag,pXC50,DB,Original_Assay_ID,Tax_ID,Gene_Symbol,Ortholog_Group,SMILES
AZGOVLGMSGAOMP-FZYUQVBKNA-N,CHEMBL404232,3359,A,5.52,chembl20,989092,9606,HTR3A,2102,C=1C=C2C(/C=C/3\C(N(C(N3C)=N)C)=O)=CNC2=CC1
BAZZAIKMNMNZJS-PKRZOPRNNA-N,CHEMBL494999,79246,A,7.36,chembl20,523350,10116,HTR3A,2102,N=1C=2C=CC=C(C)C2N3C(=CC=C3)C1N4CCN(CC4)C(C(=O)O)C5=CC=CC=C5
ARXTZNGJWWBBMH-LQFNOIFHNA-N,44157937,79246,A,8.52288,pubchem,375321,10116,HTR3A,2102,OC(=NO)CN1CCN(CC1)C2=NC=3C(N4C2=CC=C4)=C(C=CC3)C
ASQVLAWCAVGHRV-UHFFFAOYNA-N,CHEMBL576046,79246,A,7.65,chembl20,592418,10116,HTR3A,2102,N1(C=NC=C1)CCN2CCN(C3=NC4=CC(=CC=C4N5C3=CC=C5)F)CC2
ATBPRFXCCZLQCU-KHCWMJRFNA-N,CHEMBL40260,3359,A,8.48,chembl20,3470,9606,HTR3A,2102,C1(C=2N=C(CN=C(N)N)SC2)=CNC=3C1=CC=CC3
AUYIPDOMSJCFJD-GRNVIRBNNA-N,CHEMBL2011587,79246,A,7.57,chembl20,809641,10116,HTR3A,2102,O(CCOCCOCCOCCOCCOCCNC(=O)C1=C(C(=NC2=CC=CC=C12)N3CCN(CC3)C)C)CCOCCNC(=O)C4=C(C(=NC5=CC=CC=C45)N6CCN(CC6)C)C
AXVLPJHYYFHCHK-UYBDAZJANA-N,CHEMBL2440659,3359,N,4.73,chembl20,990310,9606,HTR3A,2102,C1=C(C=C(C=C1OC2=CN=CN=C2)C(NC=3SC=C(N3)C)=O)F
AATPYXMXFBBKFO-KARVIEMNNA-N,CHEMBL526307,3359,N,1.0,chembl20,565951,9606,HTR3A,2102,C=1C(=C(OC2=CN=C(N=C2N)N)C=C(C1OC)I)C(C)C
CBUHKJLQRNBVRE-PBWFPOADNA-N,76313433,79246,A,7.60206,pubchem,455453,10116,HTR3A,2102,O(C1C[C@@H]2N[C@@H](CC2)C1)C(=O)C=3N(C=4C(C3)=CC=CC4)C
CBUHKJLQRNBVRE-WDNDVIMCNA-N,CHEMBL3084712,79246,A,7.6,chembl20,606511,10116,HTR3A,2102,[C@@H]12N[C@@H](CC1)C[C@H](C2)OC(=O)C=3N(C4=C(C3)C=CC=C4)C
CBXQAAQVKDTXJJ-QWOVJGMINA-N,CHEMBL490071,3359,A,7.86,chembl20,864726,9606,HTR3A,2102,C1=C(Cl)C=C2C(=NC(N3CCN(CC3)C)=NC2=C1)NCC4=CC=CC=C4
BWUVAZMPSVZMLB-NCADKSFONA-N,76335134,3359,A,5.88606,pubchem,643471,9606,HTR3A,2102,O=C(NC1C[C@@H]2N([C@H](C1)CCC2)C)C3=NN(C4=C3C=CC=C4OCCOCCOCCNC(=O)C5=CC6=C(OC5=O)C=C(N(CC)CC)C=C6)C
BWUVAZMPSVZMLB-QLRPJNFXNA-N,CHEMBL3084443,3359,A,5.89,chembl20,800919,9606,HTR3A,2102,C(C=1C(=O)OC2=C(C1)C=CC(N(CC)CC)=C2)(=O)NCCOCCOCCOC3=CC=CC4=C3N(N=C4C(N[C@H]5C[C@H]6N([C@@H](C5)CCC6)C)=O)C
