"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties"
"CHEMBL157217";"";"0";"277.46";"0";"4.17";"1j";"c1nc(CCCCCCCCCCN2CCCC2)c[nH]1";"Ki";"'='";"251188643150958.22";"nM";"";"Outside typical range";"";"UO_0000065";"";"";"";"";"False";"CHEMBL692992";"Inhibitory activity against human Histamine H1 receptor";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL231";"Histamine H1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1145948";"1";"Scientific Literature";"J. Med. Chem.";"2003";"None";""
"CHEMBL307115";"";"0";"557.70";"1";"1.84";"16";"CNC(=O)CNC(=O)C(Cc1ccccc1)N(NC(=O)CCCC(C)NCCc1c[nH]cn1)C(=O)OC(C)(C)C";"Change";"'='";"0.0";"%";"";"";"";"UO_0000187";"";"";"";"";"False";"CHEMBL699237";"Effect on peripheral vasculature of the rabbit as percentage change in contractility.";"F";"BAO_0000221";"tissue-based format";"Oryctolagus cuniculus";"CHEMBL3988033";"Vasculature";"None";"None";"";"";"";"CHEMBL231";"Histamine H1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1123649";"1";"Scientific Literature";"J. Med. Chem.";"1987";"None";""
"CHEMBL444083";"";"0";"562.66";"2";"5.04";"1";"NC(=O)N(O)CCC#Cc1ccc(OCCCCN2CCN(C(c3ccc(F)cc3)c3ccc(F)cc3)CC2)cc1";"Ki";"'='";"3.63";"nM";"8.44";"";"";"UO_0000065";"15.00";"0.28";"3.40";"10.26";"False";"CHEMBL828761";"Binding affinity for recombinant human Histamine H1 receptor expressed in CHO K1 cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO";"None";"";"";"";"CHEMBL231";"Histamine H1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1141893";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2005";"CHEMBL3308072";""
"CHEMBL101691";"";"0";"428.55";"0";"3.10";"33";"O=C(c1ccc(OCCCN2CC[C@H](NS(=O)(=O)c3ccccc3)C2)cc1)C1CC1";"Ki";"'='";"9100.0";"nM";"5.04";"";"";"UO_0000065";"11.76";"0.23";"1.94";"6.66";"False";"CHEMBL691613";"Binding affinity to the human Histamine H1 receptor";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL231";"Histamine H1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1134928";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2002";"None";""
"CHEMBL420108";"";"0";"453.56";"0";"2.97";"40";"N#Cc1ccccc1S(=O)(=O)N[C@H]1CCN(CCCOc2ccc(C(=O)C3CC3)cc2)C1";"Ki";"'='";"6200.0";"nM";"5.21";"";"";"UO_0000065";"11.48";"0.22";"2.24";"5.23";"False";"CHEMBL691613";"Binding affinity to the human Histamine H1 receptor";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL231";"Histamine H1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1134928";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2002";"None";""
"CHEMBL386281";"";"0";"448.45";"0";"3.43";"19";"O=C(NC1CCN(Cc2ccc3ccc(=O)oc3c2)CC1)c1cc(=O)c2ccc(F)cc2o1";"Inhibition";"'='";"36.0";"%";"";"";"";"UO_0000187";"";"";"";"";"False";"CHEMBL854884";"Inhibition of histamine H1 receptor at 10uM";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL231";"Histamine H1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1137588";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2007";"None";""
"CHEMBL172233";"";"0";"324.44";"0";"4.49";"20";"CC(C1=C(CCN(C)CCF)Cc2ccccc21)c1ccccn1";"Ki";"'='";"7.244";"nM";"8.14";"";"";"UO_0000065";"25.09";"0.46";"3.65";"50.47";"False";"CHEMBL692990";"Compound was evaluated for binding affinity towards cloned human histamine H1 receptors stably expressed in CHO-K1 cells using [3H]mepyramine";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"CHO-K1";"None";"";"";"";"CHEMBL231";"Histamine H1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1136812";"1";"Scientific Literature";"J. Med. Chem.";"2003";"CHEMBL3307512";""
"CHEMBL4553116";"";"0";"312.46";"0";"3.15";"2";"C#CCNC1CCc2ccc(OCCCN3CCCCC3)cc21";"Ki";"";"";"";"";"";"Not Determined";"";"";"";"";"";"False";"CHEMBL4399685";"Displacement of [3H] pyrilamine from human H1 histamine receptor";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL231";"Histamine H1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4396932";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2019";"None";""
"CHEMBL294502";"";"0";"374.53";"0";"3.77";"30";"CCCCCC(=O)c1ccc(OCCCN2CCN(C(=O)CC)CC2)cc1";"Ki";"'='";"1905.46";"nM";"5.72";"";"";"UO_0000065";"15.27";"0.29";"1.95";"11.47";"False";"CHEMBL692991";"Binding affinity for the human Histamine H1 Receptor";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL231";"Histamine H1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1135198";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2002";"None";""
"CHEMBL106596";"";"0";"336.44";"0";"3.45";"22";"N#Cc1ccc(-c2ccc(OCCCN3CCCC(O)C3)cc2)cc1";"Ki";"'='";"7762.47";"nM";"5.11";"";"";"UO_0000065";"15.19";"0.28";"1.66";"9.05";"False";"CHEMBL692986";"Binding affinity of human cortical histamine H1 receptor";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL231";"Histamine H1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1134931";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2002";"None";""
"CHEMBL153994";"";"0";"319.45";"0";"3.98";"18h";"Cc1ccc(C(CCc2nc(CCN)c[nH]2)c2ccccc2)cc1";"Ki";"'='";"316227766016837.94";"nM";"";"Outside typical range";"";"UO_0000065";"";"";"";"";"False";"CHEMBL692992";"Inhibitory activity against human Histamine H1 receptor";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL231";"Histamine H1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1145948";"1";"Scientific Literature";"J. Med. Chem.";"2003";"None";""
"CHEMBL90063";"";"0";"195.31";"0";"2.25";"1b";"NCCCCCCCCc1c[nH]cn1";"Alpha";"'='";"0.54";"";"";"";"";"";"";"";"";"";"False";"CHEMBL691446";"Intrinsic activity was determined";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL231";"Histamine H1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1145948";"1";"Scientific Literature";"J. Med. Chem.";"2003";"None";""
"CHEMBL154695";"";"0";"218.32";"0";"2.24";"19c";"NCCc1csc(Cc2ccccc2)n1";"Log IC50";"";"";"";"";"";"Not Determined";"";"";"";"";"";"False";"CHEMBL857169";"Inhibition of human histamine H1 receptor";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL231";"Histamine H1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1145948";"1";"Scientific Literature";"J. Med. Chem.";"2003";"None";""
"CHEMBL346993";"";"0";"384.32";"0";"4.44";"18g";"NCCc1c[nH]c(CCC(c2ccccc2)c2ccc(Br)cc2)n1";"Alpha";"";"";"";"";"";"Not Active";"";"";"";"";"";"False";"CHEMBL691447";"Intrinsic activity; Tested up to 10 uM: no effects up to 1 uM";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL231";"Histamine H1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1145948";"1";"Scientific Literature";"J. Med. Chem.";"2003";"None";""
"CHEMBL274768";"";"0";"319.45";"0";"4.07";"18d";"NCCc1c[nH]c(CCCC(c2ccccc2)c2ccccc2)n1";"Ki";"'='";"630957344480194.2";"nM";"";"Outside typical range";"";"UO_0000065";"";"";"";"";"False";"CHEMBL692992";"Inhibitory activity against human Histamine H1 receptor";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL231";"Histamine H1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1145948";"1";"Scientific Literature";"J. Med. Chem.";"2003";"None";""
"CHEMBL102384";"";"0";"463.00";"0";"3.75";"37";"O=C(c1ccc(OCCCN2CC[C@H](NS(=O)(=O)c3ccccc3Cl)C2)cc1)C1CC1";"Ki";"'='";"4500.0";"nM";"5.35";"";"";"UO_0000065";"11.55";"0.24";"1.60";"7.06";"False";"CHEMBL691613";"Binding affinity to the human Histamine H1 receptor";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL231";"Histamine H1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1134928";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2002";"None";""
"CHEMBL318801";"";"0";"322.41";"0";"3.06";"28";"N#Cc1ccc(-c2ccc(OCCCN3CC[C@H](O)C3)cc2)cc1";"Ki";"'='";"5623.41";"nM";"5.25";"";"";"UO_0000065";"16.28";"0.30";"2.19";"9.29";"False";"CHEMBL697082";"Binding affinity at human cortical Histamine 1 receptor";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL231";"Histamine H1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1134931";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2002";"None";""
"CHEMBL446885";"";"0";"452.47";"0";"4.80";"12";"CCOC(=O)N1CCN(CCCOc2ccc(-c3ccc(OC(F)(F)F)cc3)cc2)CC1";"Ki";"'='";"436.52";"nM";"6.36";"";"";"UO_0000065";"14.06";"0.27";"1.56";"12.41";"False";"CHEMBL692986";"Binding affinity of human cortical histamine H1 receptor";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL231";"Histamine H1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1134931";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2002";"None";""
