molecule_chembl_id,smiles,standard_type,standard_relation,standard_value,standard_units,pchembl_value,molecular_weight,document_chembl_id,pIC50
CHEMBL379021,[2H]C([2H])([2H])Oc1cccc([C@@]2(O)CCCC[C@@H]2CN(C([2H])([2H])[2H])C([2H])([2H])[2H])c1,IC50,'=',2000.0,nM,5.7,272.44,CHEMBL1149431,5.698970004336019
CHEMBL403090,CNCc1cc(N2CCCS2(=O)=O)ccc1Oc1ccc(Cl)cc1C,IC50,'=',11.0,nM,7.96,380.90,CHEMBL1141595,7.958607314841775
CHEMBL41,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,IC50,'=',563.0,nM,6.25,309.33,CHEMBL1138600,6.249491605148654
CHEMBL440230,Clc1cccc(CN(Cc2ccccn2)[C@@H]2CCNC2)c1Cl,IC50,'=',5.0,nM,8.3,336.27,CHEMBL1139125,8.301029995663981
CHEMBL381046,CN1C2C=C(c3ccccc3-c3ccccc3)CC1CC2,IC50,'=',6430.0,nM,5.19,275.40,CHEMBL1141860,5.191789027075778
CHEMBL563897,CCn1c(=O)n([C@@H](c2ccccc2)[C@H](O)CNC)c2ccccc21,IC50,'=',17.5,nM,7.76,325.41,CHEMBL1153531,7.756961951313706
CHEMBL562476,CNC[C@@H](O)[C@H](c1ccccc1)n1ccc2ccccc21,IC50,'=',28.0,nM,7.55,280.37,CHEMBL1153531,7.552841968657781
CHEMBL458639,NCC1CCC(c2ccccc2)O1,IC50,'=',23.0,nM,7.64,177.25,CHEMBL1152751,7.638272163982407
CHEMBL508678,NCC1CCC(CCc2cccnc2)O1,IC50,'<',10000.0,nM,,206.29,CHEMBL1152751,5.0
CHEMBL482295,CN(C)Cc1cc(NS(C)(=O)=O)ccc1Sc1ccc(C(F)(F)F)cc1,IC50,'=',6400.0,nM,5.19,404.48,CHEMBL1155050,5.1938200260161125
CHEMBL259209,CCN(CC)C(=O)C1(c2ccccc2)CC1CN,IC50,'=',77.0,nM,7.11,246.35,CHEMBL1143218,7.113509274827518
CHEMBL256841,CC(C)N(C(=O)C1(c2ccccc2)CC1CNC(=O)CN)C(C)C,IC50,'<',10000.0,nM,,331.46,CHEMBL1143218,5.0
CHEMBL404364,CCCN(CC)C(=O)C1(c2ccccc2)CC1CN,IC50,'=',41.0,nM,7.39,260.38,CHEMBL1143218,7.3872161432802645
