compound_id,base_rdkit_smiles,relation,avg_pIC50
CHEMBL1644601,Brc1cc(O[C@@H]2C[C@H]3CC[C@@H](C2)N3)cc(-c2ccccc2)c1,,6.87942606879415
CHEMBL4294090,Brc1ccc(N2CCN(CCCCOc3ccc4ccccc4c3)CC2)cc1,,4.586700235918748
CHEMBL3775012,Brc1ccc(N2CCN(CCCN3CCC(Cc4ccccc4)CC3)CC2)cc1,,6.214670164989233
CHEMBL4283496,Brc1ccc(N2CCN(CCCOc3ccc4ccccc4c3)CC2)cc1,,5.54515513999149
CHEMBL4442592,Brc1ccc(N2CCN(CCCn3nnnc3C(c3ccccc3)c3ccccc3)CC2)cc1,,5.920818753952375
CHEMBL3775085,Brc1ccc(N2CCN(CCN3CCC(Cc4ccccc4)CC3)CC2)cc1,,5.6777807052660805
CHEMBL152362,Brc1ccc2c(ccn2Nc2ccncc2)c1,>,4.698970004336019
CHEMBL4081927,Brc1cccc(-c2nnnn2CCCN2CCC(Cc3ccccc3)CC2)c1,,5.36251027048749
CHEMBL1644476,Brc1cccc(O[C@@H]2C[C@H]3CC[C@@H](C2)N3)c1,,7.886056647693163
CHEMBL4094228,Brc1ccccc1-c1nnnn1CCCN1CCC(Cc2ccccc2)CC1,,5.460923901207224
CHEMBL378418,Brc1ccccc1CC(c1ccccc1)N1CCNCC1,,7.455931955649724
CHEMBL2113217,C#CCC(C(=O)c1ccc(C)cc1)N1CCCC1,,6.455931955649724
CHEMBL257336,C#CCN(C(=O)[C@@]1(c2ccc3c(c2)OCCO3)C[C@H]1CN)C1CC1,,8.356547323513812
CHEMBL439423,C#CCN(C)C(=O)[C@@]1(c2ccsc2)C[C@H]1CN,,6.958607314841775
CHEMBL411677,C#CCN(CC#C)C(=O)[C@@]1(c2ccc3c(c2)CCO3)C[C@H]1CN,,7.769551078621726
CHEMBL402441,C#CCN(CC#C)C(=O)[C@@]1(c2ccc3c(c2)OCCO3)C[C@H]1CN,,8.769551078621726
CHEMBL408384,C#CCN(CC#C)C(=O)[C@@]1(c2ccc3c(c2)OCO3)C[C@H]1CN,,8.119186407719209
CHEMBL513248,C#CCN(CC#C)C(=O)[C@@]1(c2cccs2)C[C@H]1CN,,8.221848749616356
CHEMBL257388,C#CCN(CC#C)C(=O)[C@@]1(c2ccsc2)C[C@H]1CN,,8.086186147616283
CHEMBL258451,C#CCN(CC(=C)F)C(=O)[C@@]1(c2ccc3c(c2)OCCO3)C[C@H]1CN,,8.397940008672037
CHEMBL260131,C#CCN(CC)C(=O)[C@@]1(c2ccc3c(c2)OCCO3)C[C@H]1CN,,8.229147988357855
CHEMBL472253,C#CCN(CC)C(=O)[C@@]1(c2cccs2)C[C@H]1CN,,7.721246399047171
CHEMBL404730,C#CCN(CC1CC1)C(=O)[C@@]1(c2ccc3c(c2)OCCO3)C[C@H]1CN,,8.4089353929735
CHEMBL408940,C#CCN(CC=C)C(=O)[C@@]1(c2ccc3c(c2)CCO3)C[C@H]1CN,,7.853871964321762
CHEMBL255450,C#CCN(CC=C)C(=O)[C@@]1(c2ccsc2)C[C@H]1CN,,8.55284196865778
