"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type"
"CHEMBL399740";"";"None";"738.62";"2";"9.56";"10";"CN1C2CCC1[C@@H](COC(=O)CCCCCCC(=O)OC[C@@H]1C3CCC(C[C@@H]1c1ccc(Cl)c(Cl)c1)N3C)[C@@H](c1ccc(Cl)c(Cl)c1)C2";"IC50";"'='";"11.0";"nM";"7.96";"";"";"UO_0000065";"10.77";"0.23";"-1.60";"13.47";"0";"CHEMBL948023";"Displacement of [3H]WIN-35428 from human DAT expressed in transfected cell membrane";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL238";"Dopamine transporter";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1143239";"1";"Scientific Literature";"Bioorg Med Chem";"2008";"None";"";""
"CHEMBL316342";"";"None";"315.20";"0";"3.82";"6h (O-1114)";"COC(=O)C1C2CCC(CC1c1ccc(Cl)c(Cl)c1)O2";"IC50";"'='";"47.0";"nM";"7.33";"";"";"UO_0000065";"23.25";"0.50";"3.51";"20.62";"0";"CHEMBL673260";"Inhibition of [3H]WIN-35428 binding to the dopamine transporter (DAT) in monkey caudate-putamen.";"B";"BAO_0000221";"tissue-based format";"Cercopithecidae";"CHEMBL3638267";"Caudate-putamen";"None";"None";"";"";"";"CHEMBL238";"Dopamine transporter";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1130119";"1";"Scientific Literature";"J Med Chem";"1997";"None";"";""
"CHEMBL87031";"";"None";"328.24";"0";"3.73";"18e (O-401)";"COC(=O)C1C(c2ccc(Cl)c(Cl)c2)CC2CCC1N2C";"IC50";"'='";"1.09";"nM";"8.96";"";"";"UO_0000065";"27.30";"0.58";"5.23";"30.34";"1";"CHEMBL672387";"inhibition of [3H]WIN-35428 binding to the dopamine transporter (DAT) in monkey caudate-putamen.";"B";"BAO_0000221";"tissue-based format";"Cercopithecidae";"CHEMBL3638267";"Caudate-putamen";"None";"None";"";"";"";"CHEMBL238";"Dopamine transporter";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1130119";"1";"Scientific Literature";"J Med Chem";"1997";"None";"";""
"CHEMBL226984";"";"None";"419.55";"1";"5.76";"4p";"Cc1ccc([C@H]2C[C@@H]3CC[C@H]([C@H]2c2ncc(-c4cccc([N+](=O)[O-])c4)s2)N3C)cc1";"IC50";"'='";"23.0";"nM";"7.64";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL890743";"Inhibition of human DAT in HEK cells assessed as [3H]dopamine reuptake";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL238";"Dopamine transporter";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1146223";"1";"Scientific Literature";"J Med Chem";"2007";"CHEMBL3307715";"";""
"CHEMBL229699";"";"None";"392.54";"1";"5.99";"4k";"Cc1ccc([C@H]2C[C@@H]3CC[C@H]([C@H]2c2ncc(-c4ccc(F)cc4)s2)N3C)cc1";"IC50";"'='";"181.0";"nM";"6.74";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL890743";"Inhibition of human DAT in HEK cells assessed as [3H]dopamine reuptake";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL238";"Dopamine transporter";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1146223";"1";"Scientific Literature";"J Med Chem";"2007";"CHEMBL3307715";"";""
"CHEMBL471898";"";"None";"426.96";"1";"5.83";"4b";"Cc1ccc([C@H]2CC3CCC([C@H]2c2onc(C)c2-c2ccc(F)cc2)N3C)cc1.Cl";"IC50";"'='";"76.0";"nM";"7.12";"";"";"UO_0000065";"18.23";"0.34";"1.29";"24.32";"0";"CHEMBL948346";"Displacement of [3H]WIN-35428 from DAT";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL238";"Dopamine transporter";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1155007";"1";"Scientific Literature";"Bioorg Med Chem";"2008";"None";"";""
"CHEMBL464422";"";"None";"267.34";"0";"2.66";"14";"COc1ccc(F)cc1CCC1CCC(CCN)O1";"IC50";"'='";"27850.0";"nM";"4.55";"";"";"UO_0000065";"17.04";"0.33";"1.90";"10.24";"0";"CHEMBL1019480";"Displacement of [3H]dopamine from human recombinant DAT expressed in HEK293 cells by scintillation counting";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL238";"Dopamine transporter";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1152805";"1";"Scientific Literature";"J Med Chem";"2009";"CHEMBL3307715";"";""
"CHEMBL450907";"";"None";"281.37";"0";"3.05";"15";"COc1ccc(F)cc1CCCC1CCC(CCN)O1";"IC50";"'='";"16987.0";"nM";"4.77";"";"";"UO_0000065";"16.95";"0.33";"1.72";"10.72";"0";"CHEMBL1019480";"Displacement of [3H]dopamine from human recombinant DAT expressed in HEK293 cells by scintillation counting";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL238";"Dopamine transporter";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1152805";"1";"Scientific Literature";"J Med Chem";"2009";"CHEMBL3307715";"";""
"CHEMBL41";"FLUOXETINE";"4.0";"309.33";"0";"4.44";"Fluoxetine";"CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1";"IC50";"'='";"19500.0";"nM";"4.71";"";"";"UO_0000065";"15.23";"0.29";"0.27";"22.15";"0";"CHEMBL1019480";"Displacement of [3H]dopamine from human recombinant DAT expressed in HEK293 cells by scintillation counting";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL238";"Dopamine transporter";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1152805";"1";"Scientific Literature";"J Med Chem";"2009";"CHEMBL3307715";"";""
"CHEMBL256397";"";"None";"274.41";"0";"2.55";"rac-9n";"CC(C)N(C(=O)[C@@]1(c2ccccc2)CC1CN)C(C)C";"IC50";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL932890";"Inhibition of human DAT";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL238";"Dopamine transporter";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1143218";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2008";"None";"";""
