molecule_chembl_id,smiles,standard_type,standard_relation,standard_value,standard_units,pchembl_value,molecular_weight,document_chembl_id,pKi
CHEMBL332098,CNCC[C@H](Oc1cccc2cc(O)ccc12)c1cccs1,Ki,'=',163.5,nM,6.79,313.42,CHEMBL1149199,6.786482243003695
CHEMBL1170794,Cn1ccc2cc(N3CCNCC3Cc3ccccc3)ccc21,Ki,'=',125.89,nM,6.9,305.43,CHEMBL1177766,6.900008766455316
CHEMBL395368,CSc1ccc(C2CN(C)Cc3cc(OCCCN4CCC(F)CC4)ccc32)cc1,Ki,'=',46.0,nM,7.34,428.62,CHEMBL1138430,7.337242168318426
CHEMBL226984,Cc1ccc([C@H]2C[C@@H]3CC[C@H]([C@H]2c2ncc(-c4cccc([N+](=O)[O-])c4)s2)N3C)cc1,Ki,'=',14.0,nM,7.85,419.55,CHEMBL1146223,7.853871964321762
CHEMBL229381,Cc1ccc([C@H]2C[C@@H]3CC[C@H]([C@H]2c2ncc(-c4ccc(Cl)cc4)s2)N3C)cc1,Ki,'=',212.0,nM,6.67,409.00,CHEMBL1146223,6.673664139071248
CHEMBL388612,CN1[C@H]2CC[C@@H]1[C@@H](c1ncc(-c3ccc(Cl)c(Cl)c3)s1)[C@@H](c1ccc(Cl)cc1)C2,Ki,'=',66.0,nM,7.18,463.86,CHEMBL1146223,7.180456064458132
CHEMBL390743,CN1[C@H]2CC[C@@H]1[C@@H](c1ncc(-c3ccc(F)cc3)s1)[C@@H](c1ccc(Cl)cc1)C2,Ki,'=',12.0,nM,7.92,412.96,CHEMBL1146223,7.920818753952375
CHEMBL1914696,CN1C2CCC1[C@@H](CNc1cccc(Br)n1)[C@@H](c1ccc(Cl)cc1)C2,Ki,'=',5.6,nM,8.25,420.78,CHEMBL1914398,8.2518119729938
CHEMBL1914694,CN1C2CCC1[C@@H](C(=O)Nc1ccnc(Br)c1)[C@@H](c1ccc(Cl)cc1)C2,Ki,'=',82.2,nM,7.08,434.77,CHEMBL1914398,7.0851281824599495
CHEMBL2079586,COC(=O)[C@H]1[C@@H](c2ccc(F)cc2)C[C@H]2CC[C@H]1N2C,Ki,'=',14.7,nM,7.83,277.34,CHEMBL1914398,7.8326826652518236
CHEMBL401550,Cc1cc(Oc2ccccc2Cl)c(CN(C)C)cn1,Ki,'=',1160.0,nM,5.94,276.77,CHEMBL1144031,5.935542010773082
CHEMBL313041,COc1ccc(C2=NNC(=O)C3CC=CCC23)cc1OC,Ki,'<',100000.0,nM,,286.33,CHEMBL1152805,4.0
CHEMBL41,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,Ki,'=',6670.0,nM,5.18,309.33,CHEMBL1152805,5.175874166083451
CHEMBL1175,CNCC[C@H](Oc1cccc2ccccc12)c1cccs1,Ki,'=',240.0,nM,6.62,297.42,CHEMBL1136501,6.619788758288394
CHEMBL119605,CNCC[C@H](Oc1cccc2c(O)c(OC)ccc12)c1cccs1,Ki,'=',2814.0,nM,5.55,343.45,CHEMBL1149199,5.550675906901273
CHEMBL257909,CNCc1cc(C(=O)N2CCCN(C3CC3)CC2)ccc1Oc1ccc(Cl)cc1,Ki,'=',770.0,nM,6.11,413.95,CHEMBL1141555,6.113509274827518
CHEMBL257221,CNCc1cc(C(=O)N2CCCN(C3CC3)CC2)ccc1Oc1ccc(SC)c(C)c1,Ki,'=',7700.0,nM,5.11,439.63,CHEMBL1141555,5.113509274827518
CHEMBL408206,CNCc1cc(C(=O)N2CCN(C(C)C)CC2)ccc1Oc1ccc(Cl)c(Cl)c1,Ki,'=',330.0,nM,6.48,436.38,CHEMBL1141555,6.481486060122113
CHEMBL273157,CNCc1cc(C(=O)N2CCN(C(C)C)CC2)ccc1Oc1ccc(SC)c(C)c1,Ki,'=',4000.0,nM,5.4,427.61,CHEMBL1141555,5.3979400086720375
CHEMBL1224093,CC(C)CC1(C(=O)c2ccc3[nH]ncc3c2)CCCN1,Ki,'=',6.31,nM,8.2,271.36,CHEMBL1221322,8.199970640755867
CHEMBL1224095,O=C(c1ccc2[nH]ccc2c1)C1(Cc2ccccc2)CNC1,Ki,'=',794.33,nM,6.1,290.37,CHEMBL1221322,6.0999990348465305
CHEMBL1224160,O=C(c1ccc2[nH]ccc2c1)C1(Cc2ccccc2)CCCN1,Ki,'=',39.81,nM,7.4,304.39,CHEMBL1221322,7.400007822415902
CHEMBL1224162,O=C(c1ccc2[nH]ccc2c1)C1(Cc2ccccc2)CCNCC1,Ki,'=',10.0,nM,8.0,318.42,CHEMBL1221322,8.0
CHEMBL1224492,CCCCC1(C(=O)c2cc(F)c3[nH]ccc3c2)CCNC1,Ki,'=',3.981,nM,8.4,288.37,CHEMBL1221322,8.400007822415901
CHEMBL1083708,FC(F)Oc1ccccc1CC(c1ccccc1)N1CCNCC1,Ki,'=',3160.0,nM,5.5,332.39,CHEMBL1155538,5.5003129173815966
CHEMBL1172850,COC[C@@]12CCNC[C@]1(c1ccc(Cl)c(Cl)c1)C2,Ki,'=',125.89,nM,6.9,286.20,CHEMBL1177725,6.900008766455316
CHEMBL592374,Clc1ccc([C@]23CNC[C@H]2C3)cc1Cl,Ki,'=',79.43,nM,7.1,228.12,CHEMBL1177725,7.100015437450609
CHEMBL573769,c1ccc(COc2ccccc2C2CCNCC2)cc1,Ki,'=',1000.0,nM,6.0,267.37,CHEMBL1154653,6.0
CHEMBL574347,Cc1ccc(C2CCNCC2)c(Oc2ccc(F)cc2)c1,Ki,'=',1680.0,nM,5.78,285.36,CHEMBL1154653,5.774690718274137
CHEMBL573531,Fc1ccc(COc2ccccc2C2CCNCC2)cc1,Ki,'=',9120.0,nM,5.04,285.36,CHEMBL1154653,5.0400051616715835
CHEMBL575899,Fc1ccccc1COc1ccccc1N1CCNCC1,Ki,'<',10000.0,nM,,286.35,CHEMBL1154653,5.0
CHEMBL584173,Fc1ccc(Oc2ccccc2C2CCNCC2)cc1,Ki,'=',13.0,nM,7.89,271.33,CHEMBL1154653,7.886056647693163
CHEMBL610766,COC(=O)[C@@H]1C2CCC(C[C@@H]1c1ccc(I)cc1)N2C,Ki,'=',3.9,nM,8.41,385.25,CHEMBL1152507,8.4089353929735
CHEMBL606809,CN1C2CCC1[C@@H](C(=O)OCCCCCn1ccnn1)[C@@H](c1ccc(Cl)cc1)C2,Ki,'=',5.5,nM,8.26,416.95,CHEMBL1152507,8.259637310505756
CHEMBL595767,CN1C2CCC1[C@@H](C(=O)NCc1ccc(CNC(=O)[C@H]3C4CCC(C[C@@H]3c3ccc(-c5ccsc5)cc3)N4C)cc1)[C@@H](c1ccc(-c3ccsc3)cc1)C2,Ki,'=',93.0,nM,7.03,755.07,CHEMBL1152507,7.031517051446065
