molecule_chembl_id,smiles,standard_type,standard_relation,standard_value,standard_units
CHEMBL419336,COc1cc2c(cc1OC)C1=NO[C@@H](CN3CCN(C/C(C)=C/c4cccc(F)c4F)CC3)[C@@H]1CO2,Ki,'=',7.1,nM
CHEMBL1170212,c1ccc(CC2CNCCN2c2cnc3[nH]ccc3c2)cc1,Ki,'=',63.1,nM
CHEMBL560535,c1ccc(CN(c2ccc3[nH]ccc3c2)C2CCNCC2)cc1,Ki,'=',0.7943,nM
CHEMBL247161,COc1ccc([C@H]2CN(C)Cc3cc(OCCCN4CCOC[C@@H]4C)ccc32)cc1,Ki,'=',13.0,nM
CHEMBL246955,CSc1ccc(C2CN(C)Cc3cc(OCCCN4CCOCC4)ccc32)cc1,Ki,'=',5.2,nM
CHEMBL395608,CN1Cc2cc(OCCCN3CCC(F)CC3)ccc2C(c2ccc(S(C)(=O)=O)cc2)C1,Ki,'=',135.0,nM
CHEMBL246747,CN1Cc2cc(OCCCN3CCC(F)CC3)ccc2C(c2cccc(C(F)(F)F)c2)C1,Ki,'=',15.0,nM
CHEMBL246542,CN1Cc2cc(OCCCN3CCC(F)CC3)ccc2C(c2ccc(C(F)(F)F)cc2)C1,Ki,'=',8.6,nM
CHEMBL233054,COc1ccc(C2CN(C)Cc3cc(OCCCN4CCC(F)CC4)ccc32)cc1,Ki,'=',9.3,nM
CHEMBL370805,COC(=O)[C@H]1[C@@H](OC(=O)c2ccccc2)C[C@@H]2CC[C@H]1N2C,Ki,'=',310.0,nM
CHEMBL2113279,COc1ccc(-c2cnc([C@H]3[C@@H](c4ccc(C)cc4)C[C@@H]4CC[C@H]3N4C)s2)cc1OC,Ki,'=',7710.0,nM
CHEMBL226933,COc1ccc(-c2cnc([C@H]3[C@@H](c4ccc(C)cc4)C[C@@H]4CC[C@H]3N4C)s2)cc1,Ki,'=',3670.0,nM
