compound_id,base_rdkit_smiles,relation_kcna5,avg_pIC50_kcna5,relation_kcna3,avg_pIC50_kcna3,relation_scn5a,avg_pIC50_scn5a
CHEMBL1290509,CC(C)(CNC(=O)c1ccco1)CN(C1=NS(=O)(=O)c2cc(F)ccc21)c1ccccc1,,6.3872161432802645,,6.698970004336019,,
CHEMBL408935,CCc1ccc(S(=O)(=O)N[C@@H]2c3cc(C(=O)N(CC)c4cccc(C)c4)cnc3OC(C)(C)[C@H]2O)cc1,,6.110138278741812,,,,
CHEMBL1289299,CC(C)(CNC(=O)C1(C#N)CC1)CN(C1=NS(=O)(=O)c2cc(F)ccc21)c1ccccc1,,6.267606240177032,,6.455931955649724,,
CHEMBL3262803,O=C(c1cccs1)N1CCN(CCOc2ccc(Cl)cc2Cl)CC1,,5.8297382846050425,,,,
CHEMBL216375,CCc1c2c(n(C)c1CC)CCC/C2=N\N(C)C(=O)Nc1ccc(C(C)=O)cc1,,6.431798275933005,,,,
CHEMBL148211,CC(C)CCNC(=O)c1ccccc1-c1ccccc1CNCCc1ccccc1,,5.3979400086720375,,,,
CHEMBL3729707,CCN1C(=O)C(C)(C)C(=O)N(C)c2cc(OCCCN(CCn3ccc4sccc4c3=O)Cc3cccnc3C)ccc21,,6.301029995663981,,,,
CHEMBL568098,CC1=C(c2nc3cc(S(=O)(=O)Nc4ccccc4)ccc3n2C)C(c2ccc(Cl)c(Cl)c2)n2nccc2N1,>,6.0,,,,
CHEMBL387671,c1ccc2c(CCO[C@@H]3CCCC[C@H]3N3CCOCC3)cccc2c1,,5.886056647693163,,,,5.3979400086720375
CHEMBL3731401,CCN1C(=O)C(C)(C)C(=O)N(C)c2cc(OCCCN(CCc3cccnc3)Cc3cccc(C#N)c3)ccc21,,6.795880017344075,,,,
CHEMBL2440388,COc1ccc2c(c1)c(/C=N/NS(=O)(=O)c1ccc(C)cc1)cn2CC(=O)Nc1ccc(F)cc1F,,5.661543506395395,,,,
CHEMBL512242,CCc1ccc(S(=O)(=O)N[C@@H]2c3cc(NC(=O)[C@H]4C[C@@H]4c4ccccc4)ccc3CC[C@H]2O)cc1,,6.455931955649724,,,,
CHEMBL1813048,CC(=O)Nc1cccc(Nc2ncnc(N3CCC(OCc4ccc(OC(F)(F)F)cc4)CC3)n2)c1C,>,4.47755576649368,,,,5.640644271001605
CHEMBL1290740,Cn1cnc(C(=O)NCC(C)(C)CN(C2=NS(=O)(=O)c3cc(F)ccc32)c2ccccc2)c1,,4.856985199745905,,4.882728704344236,,
CHEMBL2312932,O=P(NCc1cccnc1-c1cccnc1)(c1ccccc1)c1ccccc1,,5.568636235841013,,,,
CHEMBL216894,COc1ccc2c(=O)n(C[C@H](O)CO)c(C#N)c(-c3ccccc3)c2c1,,5.995678626217358,,,,
CHEMBL385809,CC(C)N(C(=O)C(c1cccnc1)C(CNC(=O)CCc1ccccc1F)c1ccccc1)C(C)C,,7.443697499232712,,,,
CHEMBL228441,Cc1ccc(S(=O)(=O)N[C@@H]2c3cc(C(=O)NCCc4ccccc4)ccc3OC(C)(C)[C@H]2O)cc1,,6.3979400086720375,,,,
CHEMBL4521294,c1ccc(-c2cccc3nc(-c4ccncc4)nc(NCc4ccccn4)c23)cc1,,7.3979400086720375,,,,
CHEMBL3785427,CC(C)(CN1C(=O)c2ccccc2C1C(=O)NCC(F)F)c1ccc(F)cc1,,5.920818753952375,,,,
CHEMBL4202870,Cc1[nH]c(C(=O)NC/C=C/c2c[nH]c(N)n2)cc1Cl,>,4.522878745280337,,4.6020599913279625,,
CHEMBL3298229,COc1cccc2oc(=O)nc(NCC(C)(C)c3ccccc3)c12,,6.705533773838407,,,,
CHEMBL512964,COc1cccc(C(=O)Nc2ccc3c(c2)[C@@H](NS(=O)(=O)c2ccc(C(C)C)cc2)[C@H](O)CC3)c1,,6.366531544420414,,,,
CHEMBL569269,CC1=C(c2nc3cccc(C)c3n2C)C(c2ccc(Cl)c(Cl)c2)n2nccc2N1,,6.958607314841775,,,,
CHEMBL2332453,CC1=C(c2ncnn2-c2ccc(F)cc2)[C@@H](c2ccc(Cl)c(Cl)c2)n2nccc2N1,,6.939302159646388,,,,
CHEMBL3127411,O=C1CC[C@@H](CN(Cc2ccc(F)cc2)S(=O)(=O)c2cccc(Cl)c2)N1,,6.096910013008056,,,,
CHEMBL3937958,Cn1c(=O)ccc2cc(OCCCCCN(CCCc3ccccc3)Cc3cccnc3)ccc21,,6.0915149811213505,,,,
CHEMBL517025,CCCCCN(CCCCC)C(=O)C1=C(C)Nc2ccnn2C1c1ccc(Cl)c(Cl)c1,,6.236572006437063,,,,
CHEMBL4084636,O=S(=O)(c1cccc(Nc2nc(Cl)nc3cccc(-c4ccccc4)c23)c1)N1CCOCC1,,6.6777807052660805,,,,
CHEMBL239808,CCc1ccc(S(=O)(=O)N[C@@H]2c3cc(NC(=O)c4cccc(OC)c4)ccc3CCC[C@H]2O)cc1,,6.698970004336019,,,,
CHEMBL569268,CC1=C(c2nc3ccccc3[nH]2)C(c2ccc(Cl)c(Cl)c2)n2nccc2N1,,6.292429823902063,,,,
CHEMBL467479,CCc1ccc(S(=O)(=O)N[C@@H]2c3cc(NC(=O)C#Cc4ccccc4)ccc3CC[C@H]2O)cc1,,6.366531544420414,,,,
CHEMBL513656,CCc1ccc(S(=O)(=O)N[C@H]2CCCc3ccc(NC(=O)CCc4ccccc4)cc32)cc1,,6.552841968657781,,,,
CHEMBL3622352,COc1cccc2c1C(NC[C@]1(c3ccccc3)CC[C@H](OC(=O)NS(=O)(=O)c3ccccc3)CC1)=NS2(=O)=O,>,5.0,,,,
CHEMBL95335,Cc1ccc(S(=O)(=O)Nc2ccccc2C(=O)N(Cc2ccccc2)CC2CC2)cc1,,5.721246399047171,,,,
CHEMBL216086,COC(=O)CC(c1ccccc1)C(C(=O)N(C(C)C)C(C)C)c1ccccc1,,6.598599459218455,,,,
CHEMBL4169078,N#Cc1cnc(Nc2cc(NC[C@H]3CNCCO3)c(C(F)(F)F)cn2)cn1,>,5.0,,,>,5.0
CHEMBL4068539,CC(=O)Nc1cncc(-c2nc(NCc3ccccn3)c3c(-c4ccccc4)cccc3n2)c1,,7.0,,,,
CHEMBL3729281,CCN1C(=O)C(C)(C)C(=O)N(C)c2cc(OCCCN(CCn3ccc4ccccc4c3=O)Cc3ccco3)ccc21,,6.568636235841013,,,,
CHEMBL2332461,CC1=C(c2ncn(-c3ccccc3C)n2)[C@@H](c2ccc(Cl)c(Cl)c2)n2nc(C)cc2N1,,6.141462802430361,,,,
CHEMBL228386,CC1(C)Oc2ccc(C(=O)NCCc3ccccc3)cc2[C@@H](NS(=O)(=O)c2ccccc2)[C@@H]1O,>,6.0,,,,
CHEMBL3298145,CCc1cccc2onc(NCC(C)(C)c3ccccc3)c12,,6.6595558851598815,,,,
CHEMBL2152524,c1ccc([C@@H]([C@H](c2ccccc2)N2CCCC2)N2CCCC2)cc1,,6.522878745280337,,,,
CHEMBL273418,CC[C@H](NC(=O)c1ccccc1NS(=O)(=O)c1cccc2cccnc12)c1ccccc1,,6.221848749616356,,,,
CHEMBL3127403,N#Cc1cccc(S(=O)(=O)N(Cc2ccccc2Cl)C[C@@H]2CCC(=O)N2)c1,>,5.0,,,,
CHEMBL4208517,Cc1[nH]c(C(=O)NC/C=C/c2c[nH]c(N)n2)c(Br)c1Br,>,4.522878745280337,,4.769551078621726,,
CHEMBL4533149,c1ccc([C@H]([C@H](c2ccccn2)N2CCCCC2)N2CCCCC2)nc1,,5.853871964321762,,,,
CHEMBL406415,CCc1ccc(S(=O)(=O)N[C@@H]2c3cc(C(=O)N(CC)c4ccccc4)cnc3OC(C)(C)[C@H]2O)cc1,,6.422508200162775,,,,
CHEMBL584507,CC(=O)Nc1ccc2c(c1)nc(C1=C(C)Nc3ccnn3C1c1ccc(Cl)c(Cl)c1)n2C,>,6.0,,,,
CHEMBL216337,CCc1c(C)[nH]c2c1/C(=N/NC(=O)Nc1ccc(SC)cc1)CCC2,,6.552841968657781,,,,
CHEMBL3127397,N#Cc1cccc(S(=O)(=O)N(CC[C@@H]2CCC(=O)N2)Cc2ccc(F)cc2)c1,,5.568636235841013,,,,
CHEMBL217096,O=C1CSC(c2ccc(Cl)cc2)N1OCc1ccccc1,,6.001304841688344,,,,
CHEMBL513486,CCc1ccc(S(=O)(=O)N[C@H]2CCCc3ccc(NC(=O)c4cccc(OC)c4)cc32)cc1,,6.229147988357855,,,,
CHEMBL216254,CC(C)N(C(=O)C(c1cccnc1)C(CNC(=O)N[C@@H](C)c1ccccc1)c1ccccc1)C(C)C,,6.309803919971486,,,,
CHEMBL3786542,CC(C)(C)NC(=O)C1c2ccccc2C(=O)N1Cc1ccccc1-c1ccccc1,,5.583601673270349,,,,
CHEMBL4102309,Nc1cccc(C(c2cccnc2)C(O)c2cccnc2-c2cc(Cl)cc(Cl)c2)n1,,6.815308569182402,,,,
CHEMBL2440402,COc1ccc(NC(=O)Cn2cc(/C=N/NS(=O)(=O)c3ccc(C)cc3)c3ccccc32)cc1,,4.771856392402258,,,,
CHEMBL480611,CCCCCNC(=O)C1=C(C)Nc2ccnn2C1c1ccc(Cl)c(Cl)c1,,6.229147988357855,,,,
CHEMBL2332445,CC1=C(c2ncnn2-c2cc(C)ccn2)[C@@H](c2ccc(Cl)c(Cl)c2)n2nc(C(F)(F)F)cc2N1,,6.3872161432802645,,,,
CHEMBL2440405,COC(=O)C(Cc1c[nH]c2ccccc12)NS(=O)(=O)c1ccc(OC(C)C)cc1,,5.405607449624573,,,,
CHEMBL2332465,CC1=C(c2ncnn2Cc2ccccc2)[C@@H](c2ccc(Cl)c(Cl)c2)n2nccc2N1,,6.8696662315049934,,,,
CHEMBL3262801,O=C(c1cccs1)N1CCN(CCOc2ccc(OC(F)(F)F)cc2)CC1,,5.1911141326401875,,,,
CHEMBL385960,CC(C)N(C(=O)C(c1cccnc1)C(CNC(=O)NCCc1ccccc1)c1ccccc1)C(C)C,,6.525783735923745,,,,
CHEMBL570805,CCOc1ccc(CCN2C(=O)N(NS(C)(=O)=O)C[C@@H]2c2ccc(OC)cc2)cc1,,6.113509274827518,,,,
CHEMBL143727,CC(C)CCNC(=O)c1cccnc1-c1ccccc1CNC(=O)OCc1ccccc1,,5.107905397309519,,,,
CHEMBL16312,COc1ccc(-c2cc(=O)c3ccccc3o2)cc1,,5.045757490560675,,,,
CHEMBL1091879,CC(C)C(N1CCOCC1)C(O)(c1cccnc1)c1cccnc1,,5.669586226650809,,,,
CHEMBL3127398,CN1C(=O)CC[C@H]1CN(Cc1ccc(F)cc1)S(=O)(=O)c1cccc(C#N)c1,,6.0915149811213505,,,,
CHEMBL2440391,CCCCOc1ccc(S(=O)(=O)NC(Cc2c[nH]c3ccccc23)C(=O)O)cc1,,4.184289460211037,,,,
CHEMBL386975,CC(C)N(C(=O)C(c1cccnc1)C(CNC(=O)NCc1ccc(Br)cc1)c1ccccc1)C(C)C,,6.441291429466834,,,,
CHEMBL3262823,Cc1ccc(NC(=O)CN2CCN(CCOc3ccc(Cl)cc3)CC2)cc1,,5.29929628285498,,,,
CHEMBL193,COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1[N+](=O)[O-],,5.214670164989233,,,,
CHEMBL2165063,COc1ccc2ncc(=O)n(CCN3CCC(NCc4ccc5c(n4)NC(=O)CO5)CC3)c2c1,>,4.0,,,>,4.0
CHEMBL3298227,COc1cccc2nc(Cl)nc(NCC(C)(C)c3ccccc3)c12,,7.136677139879544,,,,
CHEMBL583465,COc1ccc(CCN2C(=O)N(NS(C)(=O)=O)CC2c2ccc(Cl)cc2)cc1,,6.698970004336019,,,,
CHEMBL570815,COc1ccc(CCN2C(=O)N(NS(=O)(=O)CC#N)C[C@@H]2c2ccc(OC)cc2)cc1,,6.638272163982407,,,,
CHEMBL148342,COc1ccc(CC(=O)NCc2ccccc2-c2ccccc2C(=O)NCc2ccc(F)cc2F)cc1,,5.920818753952375,,,,
CHEMBL3785370,Cc1c(O)ccc2c1C(=O)N(Cc1ccccc1-c1ccc(F)c(F)c1)C2C(=O)NC(C)(C)C,,5.455931955649724,,,,
CHEMBL358799,NC(=O)[C@H](Cc1ccccc1)NC(=O)c1ccccc1-c1ccccc1CNS(=O)(=O)c1cccc2ccccc12,,5.040958607678906,,,,
CHEMBL390106,CC1(C)Oc2ccc(C(=O)NCCc3ccccc3)cc2[C@@H](NS(=O)(=O)c2ccc(C(F)(F)F)cc2)[C@@H]1O,,6.698970004336019,,,,
CHEMBL343464,CC(=O)c1ccc(S(=O)(=O)NCc2ccccc2-c2ccccc2C(=O)N[C@@H](Cc2ccccc2)C(N)=O)cc1,,5.113509274827518,,,,
CHEMBL3732294,CCN1C(=O)C(C)(C)C(=O)N(C)c2cc(OCCCN(CCn3ccc4ccsc4c3=O)Cc3ccncc3)ccc21,,6.42021640338319,,,,
CHEMBL3127400,N#Cc1cccc(S(=O)(=O)N(CCc2ccc(F)cc2)C[C@@H]2CCC(=O)N2)c1,>,5.0,,,,
CHEMBL602058,CC1=C(C(=O)N2CCC[C@H]2c2nnc(N)s2)C(c2ccc(Cl)c(Cl)c2)n2nccc2N1,>,6.0,,,,
CHEMBL3127416,N#Cc1cccc(S(=O)(=O)N(Cc2ccc(F)cc2)C[C@@H]2CCC(=O)N2)c1,,5.585026652029182,,,,
CHEMBL217482,Cc1ccc(C2([n+]3nnnn3CCCc3ccccc3)CC2)cc1,,6.318758762624412,,,,
CHEMBL3262806,N#Cc1ccc(OCCN2CCN(C(=O)c3ccccc3)CC2)cc1,,5.373659632624958,,,,
CHEMBL97079,CC(C)CCNS(=O)(=O)c1cc(C(=O)NC2CCc3ccccc32)c(Cl)cc1Cl,,5.552841968657781,,,,
CHEMBL2440389,COC(=O)C(Cc1c[nH]c2ccccc12)NS(=O)(=O)c1ccc(F)cc1,,5.1904402853647325,,,,
CHEMBL358048,CC(C)CCNC(=O)c1ccccc1-c1ccncc1CNC(=O)OCc1ccccc1,,5.154901959985743,,,,
CHEMBL239805,CCc1ccc(S(=O)(=O)NC2CCc3ccc(NC(=O)c4cccc(OC)c4)cc32)cc1,,6.823908740944319,,,,
CHEMBL4213446,Cc1[nH]c(C(=O)NC/C=C/c2c[nH]c(N)n2)cc1Br,>,4.522878745280337,,4.6020599913279625,,
CHEMBL3262821,Cc1ccc(NC(=O)CN2CCN(CCOc3ccccc3)CC2)cc1,,4.792904459580782,,,,
CHEMBL517791,CC1=C(C(=O)NCCc2ccccc2)C(c2ccc(Cl)c(Cl)c2)n2nccc2N1,,7.0,,,,
CHEMBL1289744,CC(C)(CNC(=O)C1CCCO1)CN(C1=NS(=O)(=O)c2cc(F)ccc21)c1ccccc1,,6.080921907623926,,6.443697499232712,,
CHEMBL3262833,O=C(CN1CCN(CCOc2ccc(OC(F)(F)F)cc2)CC1)Nc1nccs1,,5.640164517660112,,,,
CHEMBL217133,CCc1c(C)[nH]c2c1/C(=N/NC(=O)Nc1ccccc1)CCC2,,6.886056647693163,,,,
CHEMBL2332449,CCOc1cccc(-n2ncnc2C2=C(C)Nc3cc(C(F)(F)F)nn3[C@@H]2c2ccc(Cl)c(Cl)c2)n1,,6.651695136951839,,,,
CHEMBL1289068,CC(C)(CNC(=O)C1CC1)CN(C1=NS(=O)(=O)c2cc(F)ccc21)c1ccccc1,,6.309803919971486,,6.552841968657781,,
CHEMBL3356073,COc1cccc2snc(NCC(C)(C)c3ccccc3)c12,,7.610924374808178,,,,
CHEMBL3622347,COc1cccc2c1C(NC[C@]1(c3ccccc3)CC[C@@H](O)CC1)=NS2(=O)=O,>,6.522878745280337,,,,
CHEMBL466838,CCCc1ccc(S(=O)(=O)N[C@@H]2c3cc(NC(=O)c4cccc(OC)c4)ccc3CC[C@H]2O)cc1,,7.045757490560675,,,,
CHEMBL465930,CC1=C(C(=O)N2CCN(c3ccc(F)cc3)CC2)C(c2cccc(Cl)c2)n2nccc2N1,,6.721246399047171,,,,
CHEMBL445586,COC1=CCC(CCN2C(=O)CSC2c2ccc(C)c(C)c2)C=C1,,6.863279432843593,,,,
CHEMBL228864,CCc1ccc(S(=O)(=O)N[C@@H]2c3cc(C(=N)NCCc4ccccc4)ccc3OC(C)(C)[C@H]2O)cc1,>,5.0,,,,
CHEMBL1290737,CC(C)(CNC(=O)CC(F)(F)F)CN(C1=NS(=O)(=O)c2cc(F)ccc21)c1ccccc1,,6.568636235841013,,6.823908740944319,,
