"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type"
"CHEMBL465277";"";"None";"391.30";"0";"4.49";"6n";"CC1=C(C(=O)N2CCCCC2)C(c2ccc(Cl)c(Cl)c2)n2nccc2N1";"IC50";"'='";"90.0";"nM";"7.05";"";"";"UO_0000065";"18.01";"0.37";"2.56";"14.05";"0";"CHEMBL1013713";"Inhibition of human Kv1.5 channel expressed in mouse L929 cells by EP voltage clamp technique";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"L929";"None";"";"";"";"CHEMBL4306";"Voltage-gated potassium channel subunit Kv1.5";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1152205";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2008";"CHEMBL3307946";"";""
"CHEMBL467041";"";"None";"480.59";"0";"3.84";"7c";"CCc1ccc(S(=O)(=O)N[C@@H]2c3cc(NC(=O)c4ccc(OC)cc4)ccc3CC[C@H]2O)cc1";"IC50";"'='";"450.0";"nM";"6.35";"";"";"UO_0000065";"13.21";"0.25";"2.51";"6.06";"0";"CHEMBL972458";"Inhibition of human Kv1.5 channel expressed in mouse L929 cells by patch-clamp electrophysiology method";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"L929";"None";"";"";"";"CHEMBL4306";"Voltage-gated potassium channel subunit Kv1.5";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1136885";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2009";"CHEMBL3307946";"";""
"CHEMBL494025";"";"None";"563.72";"1";"4.19";"11f";"CCc1ccc(S(=O)(=O)N[C@@H]2c3cc(NC(=O)[C@H]4CCCN4Cc4cccc(OC)c4)ccc3CC[C@H]2O)cc1";"IC50";"'='";"300.0";"nM";"6.52";"";"";"UO_0000065";"11.57";"0.22";"2.33";"6.04";"0";"CHEMBL972458";"Inhibition of human Kv1.5 channel expressed in mouse L929 cells by patch-clamp electrophysiology method";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"L929";"None";"";"";"";"CHEMBL4306";"Voltage-gated potassium channel subunit Kv1.5";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1136885";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2009";"CHEMBL3307946";"";""
"CHEMBL465276";"";"None";"377.28";"0";"4.10";"1";"CC1=C(C(=O)N2CCCC2)C(c2ccc(Cl)c(Cl)c2)n2nccc2N1";"IC50";"'='";"660.0";"nM";"6.18";"";"";"UO_0000065";"16.38";"0.34";"2.08";"12.32";"0";"CHEMBL1067155";"Inhibition of human Kv1.5 channel expressed in mouse L929 cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"L929";"None";"";"";"";"CHEMBL4306";"Voltage-gated potassium channel subunit Kv1.5";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1156891";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2010";"CHEMBL3307946";"";""
"CHEMBL1090818";"";"None";"331.42";"0";"3.16";"7d";"OC(c1cccnc1)(c1cccnc1)C(c1ccccc1)N1CCC1";"IC50";"'='";"2222.0";"nM";"5.65";"";"";"UO_0000065";"17.06";"0.31";"2.49";"11.48";"0";"CHEMBL1108889";"Inhibition of human Kv1.5 channel expressed in CHO cells by whole cell patch clamp assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO";"None";"";"";"";"CHEMBL4306";"Voltage-gated potassium channel subunit Kv1.5";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1156169";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2010";"CHEMBL3308072";"";""
"CHEMBL1088844";"";"None";"340.45";"1";"5.46";"DPO-1";"CC(C)[C@@H]1CC[C@@H](C)C[C@@H]1P(=O)(c1ccccc1)c1ccccc1";"IC50";"'='";"500.0";"nM";"6.30";"";"";"UO_0000065";"18.51";"0.36";"0.84";"36.91";"0";"CHEMBL2153966";"Inhibition of human Kv1.5 ion channel after 3 mins by high-throughput planar patch clamp assay";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4306";"Voltage-gated potassium channel subunit Kv1.5";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2150928";"1";"Scientific Literature";"ACS Med Chem Lett";"2012";"None";"";""
"CHEMBL216310";"";"None";"383.49";"0";"3.55";"4g";"COC(=O)CC(c1cccnc1)C(C(=O)N(C(C)C)C(C)C)c1cccnc1";"IC50";"'='";"708.0";"nM";"6.15";"";"";"UO_0000065";"16.04";"0.30";"2.60";"8.50";"0";"CHEMBL907690";"Inhibition of Kv1.5";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL4306";"Voltage-gated potassium channel subunit Kv1.5";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1137271";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2006";"None";"";""
"CHEMBL228329";"";"None";"508.64";"1";"3.77";"5e";"CCc1ccc(S(=O)(=O)N[C@@H]2c3cc(C(=O)NCCc4ccccc4)ccc3OC(C)(C)[C@H]2O)cc1";"IC50";"'='";"260.0";"nM";"6.58";"";"";"UO_0000065";"12.95";"0.25";"2.82";"6.29";"0";"CHEMBL889046";"Inhibition of human Kv1.5 channel expressed in mouse L929 cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"L929";"None";"";"";"";"CHEMBL4306";"Voltage-gated potassium channel subunit Kv1.5";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1145354";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2007";"CHEMBL3307946";"";""
"CHEMBL438665";"";"None";"591.77";"1";"4.54";"10d";"CCc1ccc(S(=O)(=O)N[C@H]2c3cc(C(=O)N(CC)[C@H]4CCN(Cc5ccccc5)C4)ccc3OC(C)(C)[C@@H]2O)cc1";"IC50";"'='";"200.0";"nM";"6.70";"";"";"UO_0000065";"11.32";"0.22";"2.16";"6.75";"0";"CHEMBL889046";"Inhibition of human Kv1.5 channel expressed in mouse L929 cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"L929";"None";"";"";"";"CHEMBL4306";"Voltage-gated potassium channel subunit Kv1.5";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1145354";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2007";"CHEMBL3307946";"";""
"CHEMBL228441";"";"None";"494.61";"0";"3.52";"7c";"Cc1ccc(S(=O)(=O)N[C@@H]2c3cc(C(=O)NCCc4ccccc4)ccc3OC(C)(C)[C@H]2O)cc1";"IC50";"'='";"400.0";"nM";"6.40";"";"";"UO_0000065";"12.94";"0.25";"2.88";"6.11";"0";"CHEMBL889046";"Inhibition of human Kv1.5 channel expressed in mouse L929 cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"L929";"None";"";"";"";"CHEMBL4306";"Voltage-gated potassium channel subunit Kv1.5";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1145354";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2007";"CHEMBL3307946";"";""
