molecule_chembl_id,smiles,standard_type,standard_relation,standard_value,standard_units
CHEMBL465277,CC1=C(C(=O)N2CCCCC2)C(c2ccc(Cl)c(Cl)c2)n2nccc2N1,IC50,'=',90.0,nM
CHEMBL467041,CCc1ccc(S(=O)(=O)N[C@@H]2c3cc(NC(=O)c4ccc(OC)cc4)ccc3CC[C@H]2O)cc1,IC50,'=',450.0,nM
CHEMBL494025,CCc1ccc(S(=O)(=O)N[C@@H]2c3cc(NC(=O)[C@H]4CCCN4Cc4cccc(OC)c4)ccc3CC[C@H]2O)cc1,IC50,'=',300.0,nM
CHEMBL465276,CC1=C(C(=O)N2CCCC2)C(c2ccc(Cl)c(Cl)c2)n2nccc2N1,IC50,'=',660.0,nM
CHEMBL1090818,OC(c1cccnc1)(c1cccnc1)C(c1ccccc1)N1CCC1,IC50,'=',2222.0,nM
CHEMBL1088844,CC(C)[C@@H]1CC[C@@H](C)C[C@@H]1P(=O)(c1ccccc1)c1ccccc1,IC50,'=',500.0,nM
CHEMBL216310,COC(=O)CC(c1cccnc1)C(C(=O)N(C(C)C)C(C)C)c1cccnc1,IC50,'=',708.0,nM
CHEMBL228329,CCc1ccc(S(=O)(=O)N[C@@H]2c3cc(C(=O)NCCc4ccccc4)ccc3OC(C)(C)[C@H]2O)cc1,IC50,'=',260.0,nM
CHEMBL438665,CCc1ccc(S(=O)(=O)N[C@H]2c3cc(C(=O)N(CC)[C@H]4CCN(Cc5ccccc5)C4)ccc3OC(C)(C)[C@@H]2O)cc1,IC50,'=',200.0,nM
CHEMBL228441,Cc1ccc(S(=O)(=O)N[C@@H]2c3cc(C(=O)NCCc4ccccc4)ccc3OC(C)(C)[C@H]2O)cc1,IC50,'=',400.0,nM
CHEMBL228386,CC1(C)Oc2ccc(C(=O)NCCc3ccccc3)cc2[C@@H](NS(=O)(=O)c2ccccc2)[C@@H]1O,IC50,'>',1000.0,nM
CHEMBL375475,O=C1CCN([C@H]2CCCC[C@@H]2OCCc2cccc3ccccc23)C1,IC50,'=',7700.0,nM
CHEMBL3262814,Cc1ccccc1OCCN1CCN(CC(=O)Nc2ccccc2)CC1,IC50,'=',11820.0,nM
CHEMBL3262833,O=C(CN1CCN(CCOc2ccc(OC(F)(F)F)cc2)CC1)Nc1nccs1,IC50,'=',2290.0,nM
CHEMBL3262803,O=C(c1cccs1)N1CCN(CCOc2ccc(Cl)cc2Cl)CC1,IC50,'=',1480.0,nM
CHEMBL3127405,NC(=O)c1ccc(N(Cc2ccc(F)cc2)S(=O)(=O)c2ccccc2F)cc1,IC50,'=',2200.0,nM
